region,FChomology
lh.bankssts,1.0111843347549438
lh.caudalanteriorcingulate,0.8593862652778625
lh.caudalmiddlefrontal,1.2557398080825806
lh.cuneus,3.705768346786499
lh.entorhinal,1.3958693742752075
lh.fusiform,2.337108612060547
lh.inferiorparietal,1.000547170639038
lh.inferiortemporal,1.4267525672912598
lh.isthmuscingulate,0.9171136021614076
lh.lateraloccipital,2.947221517562866
lh.lateralorbitofrontal,1.2647583484649658
lh.lingual,3.3904247283935547
lh.medialorbitofrontal,2.061948537826538
lh.middletemporal,1.403937578201294
lh.parahippocampal,2.721867561340332
lh.paracentral,2.4747307300567627
lh.parsopercularis,1.9048919677734373
lh.parsorbitalis,1.4911129474639893
lh.parstriangularis,1.976311445236206
lh.pericalcarine,4.346773624420166
lh.postcentral,2.3266489505767822
lh.posteriorcingulate,0.6619564294815063
lh.precentral,2.0201594829559326
lh.precuneus,0.93816077709198
lh.rostralanteriorcingulate,1.613126277923584
lh.rostralmiddlefrontal,1.5283910036087036
lh.superiorfrontal,1.4609466791152954
lh.superiorparietal,2.4761857986450195
lh.superiortemporal,2.555417776107788
lh.supramarginal,1.3366183042526243
lh.frontalpole,2.6572766304016118
lh.temporalpole,1.9857749938964844
lh.transversetemporal,3.575111150741577
lh.insula,1.9618299007415767
rh.bankssts,1.176419019699097
rh.caudalanteriorcingulate,0.9012333154678344
rh.caudalmiddlefrontal,1.3065496683120728
rh.cuneus,3.510239362716675
rh.entorhinal,0.947142779827118
rh.fusiform,2.015091896057129
rh.inferiorparietal,1.2649893760681152
rh.inferiortemporal,1.387196660041809
rh.isthmuscingulate,1.3446775674819946
rh.lateraloccipital,3.042720079421997
rh.lateralorbitofrontal,1.393138766288757
rh.lingual,3.5401790142059326
rh.medialorbitofrontal,2.104947090148926
rh.middletemporal,1.3818358182907104
rh.parahippocampal,2.848374605178833
rh.paracentral,2.36435866355896
rh.parsopercularis,1.826340913772583
rh.parsorbitalis,1.380338430404663
rh.parstriangularis,1.976782321929932
rh.pericalcarine,4.6065354347229
rh.postcentral,2.3904929161071777
rh.posteriorcingulate,0.5671695470809937
rh.precentral,1.96419358253479
rh.precuneus,1.297970414161682
rh.rostralanteriorcingulate,1.7214105129241943
rh.rostralmiddlefrontal,1.5681452751159668
rh.superiorfrontal,1.4657542705535889
rh.superiorparietal,2.4069254398345947
rh.superiortemporal,2.78338623046875
rh.supramarginal,1.672260284423828
rh.frontalpole,2.2654855251312256
rh.temporalpole,1.8209854364395144
rh.transversetemporal,3.488713026046753
rh.insula,2.0196075439453125
