region,megalpha
lh.bankssts,0.3403492271900177
lh.caudalanteriorcingulate,0.2169212996959686
lh.caudalmiddlefrontal,0.2086492031812667
lh.cuneus,0.4201737940311432
lh.entorhinal,0.2862022221088409
lh.fusiform,0.3308482766151428
lh.inferiorparietal,0.3667473793029785
lh.inferiortemporal,0.3288010358810425
lh.isthmuscingulate,0.2988403141498565
lh.lateraloccipital,0.3912184834480285
lh.lateralorbitofrontal,0.2306224703788757
lh.lingual,0.3407973945140838
lh.medialorbitofrontal,0.2077785432338714
lh.middletemporal,0.3222816884517669
lh.parahippocampal,0.3209270238876343
lh.paracentral,0.2807299792766571
lh.parsopercularis,0.237743854522705
lh.parsorbitalis,0.2171911895275116
lh.parstriangularis,0.2244233936071396
lh.pericalcarine,0.387306660413742
lh.postcentral,0.3118898868560791
lh.posteriorcingulate,0.267227828502655
lh.precentral,0.2670628428459167
lh.precuneus,0.3555096685886383
lh.rostralanteriorcingulate,0.2021021693944931
lh.rostralmiddlefrontal,0.1964208930730819
lh.superiorfrontal,0.1997404247522354
lh.superiorparietal,0.3695216178894043
lh.superiortemporal,0.3080056309700012
lh.supramarginal,0.3269819915294647
lh.frontalpole,0.1884028762578964
lh.temporalpole,0.2528746128082275
lh.transversetemporal,0.3242734670639038
lh.insula,0.292094349861145
rh.bankssts,0.3484554588794708
rh.caudalanteriorcingulate,0.2198337614536285
rh.caudalmiddlefrontal,0.2168313264846801
rh.cuneus,0.4283621609210968
rh.entorhinal,0.2783126831054687
rh.fusiform,0.3361018300056457
rh.inferiorparietal,0.3716226518154144
rh.inferiortemporal,0.3382090032100677
rh.isthmuscingulate,0.3030377030372619
rh.lateraloccipital,0.402637630701065
rh.lateralorbitofrontal,0.2308232486248016
rh.lingual,0.347818911075592
rh.medialorbitofrontal,0.2073122859001159
rh.middletemporal,0.3302767276763916
rh.parahippocampal,0.326402485370636
rh.paracentral,0.27455735206604
rh.parsopercularis,0.2407566606998443
rh.parsorbitalis,0.2174274027347564
rh.parstriangularis,0.2252869606018066
rh.pericalcarine,0.3969086408615112
rh.postcentral,0.3127404749393463
rh.posteriorcingulate,0.2702733874320984
rh.precentral,0.2726374864578247
rh.precuneus,0.353849321603775
rh.rostralanteriorcingulate,0.205038920044899
rh.rostralmiddlefrontal,0.1963430941104889
rh.superiorfrontal,0.199860081076622
rh.superiorparietal,0.3655605614185333
rh.superiortemporal,0.3037785589694977
rh.supramarginal,0.3306939303874969
rh.frontalpole,0.1836340874433517
rh.temporalpole,0.2478524446487426
rh.transversetemporal,0.3211587369441986
rh.insula,0.2919455170631408
