region,evoexp
Pir_R,4.203741
AVI_R,8.437267
AAIC_R,7.1480856
FOP1_R,11.280264
FOP3_R,9.963943
FOP2_R,10.424286
PFt_R,6.0860763
AIP_R,6.231851
EC_R,6.558007
PreS_R,4.945607
H_R,3.7288349
ProS_R,8.374928
PeEc_R,8.441482
STGa_R,7.035773
PBelt_R,8.3938
A5_R,6.2603993
PHA1_R,4.063824
PHA3_R,8.292456
STSda_R,5.447485
STSdp_R,13.901509
STSvp_R,40.37168
TGd_R,11.371873
TE1a_R,20.370636
TE1p_R,35.812805
TE2a_R,19.804176
TF_R,12.75081
TE2p_R,13.229556
PHT_R,32.861256
PH_R,12.901848
TPOJ1_R,11.307541
TPOJ2_R,12.617539
TPOJ3_R,23.279764
DVT_R,28.399931
PGp_R,32.341614
IP2_R,11.962868
IP1_R,20.129204
IP0_R,12.080532
PFop_R,8.002474
PF_R,24.85829
PFm_R,38.93922
PGi_R,68.59171
PGs_R,71.01206
V6A_R,8.943243
VMV1_R,10.801773
VMV3_R,10.557173
PHA2_R,3.7545805
V4t_R,4.3536344
FST_R,10.531303
V3CD_R,14.790844
LO3_R,7.5548882
VMV2_R,9.991464
31pd_R,38.669937
31a_R,37.98069
VVC_R,17.954859
25_R,6.952791
s32_R,5.302678
pOFC_R,10.074827
PoI1_R,9.6359
Ig_R,13.753694
FOP5_R,7.2898574
p10p_R,16.177534
p47r_R,14.045235
TGv_R,13.8691435
MBelt_R,10.874239
LBelt_R,8.40004
A4_R,8.585034
STSva_R,15.89829
TE1m_R,30.238089
PI_R,9.085207
a32pr_R,13.905724
p24_R,7.941938
