region,SAaxis
lh.bankssts,0.2546448409557342
lh.caudalanteriorcingulate,0.3208156228065491
lh.caudalmiddlefrontal,1.1052087545394895
lh.cuneus,-1.5299452543258667
lh.entorhinal,0.249867558479309
lh.fusiform,-0.2819247543811798
lh.inferiorparietal,0.3608048558235168
lh.inferiortemporal,0.7265594601631165
lh.isthmuscingulate,0.0497156977653503
lh.lateraloccipital,-1.0745553970336914
lh.lateralorbitofrontal,0.9311090111732484
lh.lingual,-1.3802056312561035
lh.medialorbitofrontal,0.9034463763237
lh.middletemporal,1.2053532600402832
lh.parahippocampal,-0.2451905459165573
lh.paracentral,-1.2982556819915771
lh.parsopercularis,0.518062949180603
lh.parsorbitalis,1.4924790859222412
lh.parstriangularis,0.9287530183792114
lh.pericalcarine,-1.6858686208724976
lh.postcentral,-1.1369917392730713
lh.posteriorcingulate,0.1897236555814743
lh.precentral,-0.7638235092163086
lh.precuneus,-0.2546843290328979
lh.rostralanteriorcingulate,1.1675750017166138
lh.rostralmiddlefrontal,1.2320653200149536
lh.superiorfrontal,0.7912411093711853
lh.superiorparietal,-0.773658037185669
lh.superiortemporal,0.1675729900598526
lh.supramarginal,0.293557345867157
lh.frontalpole,1.148126482963562
lh.temporalpole,0.5970249176025391
lh.transversetemporal,-0.6498070359230042
lh.insula,0.1686710715293884
rh.bankssts,0.1109664589166641
rh.caudalanteriorcingulate,0.4144200682640075
rh.caudalmiddlefrontal,0.9902960658073424
rh.cuneus,-1.5022034645080566
rh.entorhinal,0.2934663295745849
rh.fusiform,-0.2017890661954879
rh.inferiorparietal,0.4606493711471557
rh.inferiortemporal,0.8175299763679504
rh.isthmuscingulate,-0.095764435827732
rh.lateraloccipital,-1.083278775215149
rh.lateralorbitofrontal,0.8954570889472961
rh.lingual,-1.3686232566833496
rh.medialorbitofrontal,1.0628421306610107
rh.middletemporal,1.1462018489837646
rh.parahippocampal,-0.2725003063678741
rh.paracentral,-1.2035843133926392
rh.parsopercularis,0.5137388110160828
rh.parsorbitalis,1.4349695444107056
rh.parstriangularis,0.9408302903175354
rh.pericalcarine,-1.6173455715179443
rh.postcentral,-1.2139211893081665
rh.posteriorcingulate,0.1256745457649231
rh.precentral,-0.8622044324874878
rh.precuneus,-0.1687803566455841
rh.rostralanteriorcingulate,1.0226212739944458
rh.rostralmiddlefrontal,1.184932827949524
rh.superiorfrontal,0.8725394606590271
rh.superiorparietal,-0.7631723284721375
rh.superiortemporal,0.2082149982452392
rh.supramarginal,0.0314304456114769
rh.frontalpole,1.211085319519043
rh.temporalpole,0.5145807862281799
rh.transversetemporal,-0.737545907497406
rh.insula,0.2017811089754104
