region,megtheta
9a_L,0.2962041
10v_L,0.2644212
a10p_L,0.26951897
10pp_L,0.26904565
11l_L,0.27009016
13l_L,0.26456088
OFC_L,0.26150584
47s_L,0.25781256
LIPd_L,0.24133076
6a_L,0.303477
i6-8_L,0.30946776
s6-8_L,0.31282482
43_L,0.2516293
OP4_L,0.24865761
OP1_L,0.2509513
OP2-3_L,0.24970786
52_L,0.24105187
RI_L,0.2506587
PFcm_L,0.2504388
PoI2_L,0.24812844
TA2_L,0.24830532
FOP4_L,0.26000568
MI_L,0.24737982
Pir_L,0.2553413
AVI_L,0.25523162
AAIC_L,0.25110853
FOP1_L,0.2541334
FOP3_L,0.2509937
FOP2_L,0.2540109
PFt_L,0.25414804
AIP_L,0.24166913
EC_L,0.2387425
PreS_L,0.23913267
H_L,0.23968598
ProS_L,0.23963612
PeEc_L,0.23939578
STGa_L,0.24746928
PBelt_L,0.24544366
A5_L,0.24545775
PHA1_L,0.23890513
PHA3_L,0.24418256
STSda_L,0.24559002
STSdp_L,0.2483881
STSvp_L,0.24799833
TGd_L,0.2446944
TE1a_L,0.2465069
TE1p_L,0.24541049
TE2a_L,0.24542402
TF_L,0.24036007
TE2p_L,0.24229333
PHT_L,0.23756921
PH_L,0.22602907
TPOJ1_L,0.24323459
TPOJ2_L,0.23561646
TPOJ3_L,0.22739077
DVT_L,0.22336239
PGp_L,0.22135283
IP2_L,0.24452113
IP1_L,0.23327294
IP0_L,0.22699289
PFop_L,0.2562412
PF_L,0.25269195
PFm_L,0.24331309
PGi_L,0.23897648
PGs_L,0.23084566
V6A_L,0.21623576
VMV1_L,0.24235837
VMV3_L,0.23353602
PHA2_L,0.24101608
V4t_L,0.21568513
FST_L,0.2260309
V3CD_L,0.21510077
LO3_L,0.21568686
VMV2_L,0.23963693
31pd_L,0.24928507
31a_L,0.25964633
VVC_L,0.2387282
25_L,0.25925836
s32_L,0.2698218
pOFC_L,0.2545883
PoI1_L,0.244815
Ig_L,0.24364014
FOP5_L,0.26940238
p10p_L,0.27929053
p47r_L,0.27178478
TGv_L,0.24060082
MBelt_L,0.2435392
LBelt_L,0.24516235
A4_L,0.24664643
STSva_L,0.24764316
TE1m_L,0.2479962
PI_L,0.24901067
a32pr_L,0.30696326
p24_L,0.2986708
V1_R,0.21828009
MST_R,0.21620066
V6_R,0.21596242
V2_R,0.21681683
V3_R,0.20793432
V4_R,0.20928791
V8_R,0.21195666
4_R,0.27302137
3b_R,0.25942665
FEF_R,0.28598866
PEF_R,0.28146416
55b_R,0.2812758
V3A_R,0.2025266
RSC_R,0.25795612
POS2_R,0.22067407
V7_R,0.21630962
IPS1_R,0.22648366
FFC_R,0.22157133
V3B_R,0.21474314
LO1_R,0.21108244
LO2_R,0.2116098
PIT_R,0.20978832
MT_R,0.21635364
A1_R,0.23812383
PSL_R,0.23968655
SFL_R,0.3146138
PCV_R,0.24611327
STV_R,0.23686369
7Pm_R,0.2335952
7m_R,0.23613045
POS1_R,0.23817964
23d_R,0.2654461
v23ab_R,0.24821156
d23ab_R,0.25831503
31pv_R,0.25526825
5m_R,0.26253808
5mv_R,0.2656346
23c_R,0.26556838
5L_R,0.2538738
24dd_R,0.28604728
24dv_R,0.28957257
7AL_R,0.2484443
SCEF_R,0.3089739
6ma_R,0.3085111
7Am_R,0.24123743
7Pl_R,0.2298704
7PC_R,0.24642156
LIPv_R,0.24038064
VIP_R,0.23887897
MIP_R,0.23347396
1_R,0.25202626
2_R,0.2488535
3a_R,0.26036367
6d_R,0.28024694
6mp_R,0.29538706
6v_R,0.2674981
p24pr_R,0.27883047
33pr_R,0.29118162
a24pr_R,0.2917687
p32pr_R,0.30038118
a24_R,0.28177708
d32_R,0.30645448
