region,thionin
V1_L,43.21974933259239
MST_L,33.7281792057412
V6_L,32.04787821339663
V2_L,37.038431909971855
V3_L,37.86157826234609
V4_L,40.3975033105243
V8_L,39.3613190487381
4_L,36.58021966882441
3b_L,34.66252429482213
FEF_L,35.73796115795478
PEF_L,34.49061763369721
55b_L,28.201165787644488
V3A_L,29.86597414538133
RSC_L,39.00503591187343
POS2_L,33.79654233972698
V7_L,18.790550079553025
IPS1_L,27.33037401508126
FFC_L,36.51472605650242
V3B_L,33.29752236685602
LO1_L,37.917908349089856
LO2_L,35.13451713851735
PIT_L,36.79958490982294
MT_L,36.12517577876216
A1_L,37.97903351278495
PSL_L,40.82244902179121
SFL_L,29.69348851701283
PCV_L,32.78693418109378
STV_L,39.62508054190072
7Pm_L,31.209614364249767
7m_L,36.44936892837029
POS1_L,37.04596232943256
23d_L,43.06134338369719
v23ab_L,41.212402252183445
d23ab_L,45.33625287622485
31pv_L,43.24341466923185
5m_L,37.464856221282766
5mv_L,38.43174170998378
23c_L,39.02755354178343
5L_L,34.508375397367686
24dd_L,38.06927968864625
24dv_L,36.76698526137513
7AL_L,32.17120899932329
SCEF_L,35.10039601567485
6ma_L,23.890413965844036
7Am_L,30.62719447548325
7Pl_L,25.896249511108103
7PC_L,27.68752465630895
LIPv_L,29.57124157132818
VIP_L,22.85722510046553
MIP_L,30.03867520717033
1_L,28.179721903977384
2_L,36.58936033389802
3a_L,37.62566744379637
6d_L,26.728651106927824
6mp_L,33.961899118625006
6v_L,28.394188771793495
p24pr_L,39.91359464977657
33pr_L,39.04440811037602
a24pr_L,35.89220376204551
p32pr_L,35.49395280224936
a24_L,35.934253380683586
d32_L,34.47755032781486
8BM_L,32.122745236384546
p32_L,35.2745423020057
10r_L,38.06839383379253
47m_L,35.517059280483025
8Av_L,24.765834802889643
8Ad_L,32.851330606751084
9m_L,35.34233464350078
8BL_L,26.737876274363455
9p_L,27.934028804337423
10d_L,38.52939339516836
8C_L,31.87424813632868
44_L,33.391755954387804
45_L,23.020896777038462
47l_L,27.966199857390617
a47r_L,31.1329049081358
6r_L,31.651248848947343
IFJa_L,38.06232751923587
IFJp_L,34.5010111388706
IFSp_L,31.77135721546184
IFSa_L,32.48124399478996
p9-46v_L,27.330003908173943
46_L,26.07337966410133
a9-46v_L,31.659513789602578
9-46d_L,32.84177583152584
9a_L,38.17681478017784
10v_L,35.72321878876304
a10p_L,34.83110996107981
10pp_L,33.84677714745625
11l_L,35.140687058014954
13l_L,36.415847055630586
OFC_L,34.232532893512264
47s_L,28.932561051673613
LIPd_L,39.7409407859082
6a_L,37.20185375283184
i6-8_L,31.008632211081405
s6-8_L,25.42554393662432
43_L,28.011506540813144
OP4_L,35.11790610438302
OP1_L,38.91451306406479
OP2-3_L,38.3609750023743
52_L,35.309380571488
RI_L,43.93243207868361
PFcm_L,36.01224001683831
PoI2_L,32.8869067134748
TA2_L,34.19682697500441
FOP4_L,30.614106556595384
MI_L,36.37846536535612
Pir_L,32.61079114411665
AVI_L,35.97754185476672
AAIC_L,33.569175432326126
FOP1_L,35.52854339413441
FOP3_L,39.28914128293048
FOP2_L,36.75372226982997
PFt_L,36.96457727617411
AIP_L,38.1060696615689
EC_L,32.229069873453426
PreS_L,32.62371850323943
H_L,38.58214866705132
ProS_L,25.86389205317773
PeEc_L,34.35447525123602
STGa_L,35.16964769287795
PBelt_L,37.90863400761603
A5_L,36.54156790976155
PHA1_L,30.405649681091308
PHA3_L,36.08299462425193
STSda_L,38.733796412355446
STSdp_L,41.894847466882354
STSvp_L,42.79859459168139
TGd_L,33.095329674065
TE1a_L,39.78776036202908
TE1p_L,38.41541328355072
TE2a_L,38.65292378034238
TF_L,37.98272016162157
TE2p_L,38.83022291495121
PHT_L,30.90279368703482
PH_L,33.84156655842718
TPOJ1_L,42.95884914026348
TPOJ2_L,26.95213693197462
TPOJ3_L,24.631929703920434
DVT_L,33.44661036804009
PGp_L,25.856297502864976
IP2_L,32.695587092094534
IP1_L,31.49944515740644
IP0_L,34.08446390038237
PFop_L,31.9013238012605
PF_L,35.52567360284938
PFm_L,30.35354909529503
PGi_L,33.33999732733804
PGs_L,26.97095341842908
V6A_L,15.221251129498942
VMV1_L,32.70070538193442
VMV3_L,35.132579797280286
PHA2_L,42.58572426286794
V4t_L,35.95479615789945
FST_L,34.074813323169465
V3CD_L,39.96082115761121
LO3_L,30.911102923448027
VMV2_L,41.2131515072431
31pd_L,36.996363545440566
31a_L,40.51566020538218
VVC_L,33.78080373585969
25_L,38.143599948396165
s32_L,39.32372285166095
pOFC_L,32.831288100872065
PoI1_L,35.55422935667021
Ig_L,40.6921647624536
FOP5_L,37.699232766176245
p10p_L,41.20786732990736
p47r_L,33.23375007191995
TGv_L,26.02127737924982
MBelt_L,35.77841106534628
LBelt_L,39.20622190060823
A4_L,38.59341317919538
STSva_L,37.784312214034486
TE1m_L,41.86109488221549
PI_L,37.42669954299927
a32pr_L,34.078539170965264
p24_L,34.313599690742734
V1_R,40.892923670097936
MST_R,35.15283340362012
V6_R,33.40607836110736
V2_R,34.88515484294328
V3_R,35.17941836623281
V4_R,38.632393824819744
V8_R,38.92729192550415
4_R,34.38685197035891
3b_R,35.544369229450524
FEF_R,31.86952846374213
PEF_R,33.735479131157014
55b_R,33.13729236097319
V3A_R,34.50355038658315
RSC_R,34.55745951636617
POS2_R,33.44200905102867
V7_R,35.582367091694564
IPS1_R,33.120785128266746
FFC_R,35.0139276494487
V3B_R,37.6186790768336
LO1_R,39.47525502360144
LO2_R,36.13791855400948
PIT_R,24.044475115007824
MT_R,35.99703446310809
A1_R,37.05425884577063
PSL_R,40.19791323539669
SFL_R,20.10748772834664
PCV_R,32.96295484902379
STV_R,40.35718960396037
7Pm_R,21.46785453690833
7m_R,39.29601349906316
POS1_R,37.42438028993102
23d_R,42.82011597332021
v23ab_R,39.27749994184896
d23ab_R,45.43860925356198
31pv_R,44.10317428539509
5m_R,27.08043509037443
5mv_R,31.15971123276221
23c_R,41.12858615470144
5L_R,35.69460071185056
24dd_R,37.426536979775726
24dv_R,35.34726224675601
7AL_R,29.34656266538315
SCEF_R,34.12865798386485
6ma_R,29.651899822415857
7Am_R,25.50949870966786
7Pl_R,23.668799376763182
7PC_R,25.74919302511321
LIPv_R,36.1265855401995
VIP_R,23.367250541782077
MIP_R,30.76001517462865
1_R,30.758740412714623
2_R,36.46684794083545
3a_R,37.942085540213554
6d_R,31.55733762834498
6mp_R,30.03779639285048
6v_R,35.60886829152148
p24pr_R,35.76306917817293
33pr_R,30.619524084967715
a24pr_R,32.73821986509539
p32pr_R,35.9943744954724
a24_R,33.0261579797848
d32_R,33.00436281096767
8BM_R,26.810396393724748
p32_R,35.43605238136639
10r_R,35.13226335097754
47m_R,36.10248806700495
8Av_R,31.449398000685
8Ad_R,31.599472160189464
9m_R,33.88516932763232
8BL_R,26.881813611469344
9p_R,37.50326120324165
10d_R,39.30426372080474
8C_R,35.045082059234446
44_R,38.06400831009816
45_R,32.37367167535156
47l_R,33.87260309039682
a47r_R,35.78391226723148
6r_R,36.5761165691568
IFJa_R,39.27669810337045
IFJp_R,36.04410771578926
IFSp_R,34.389194164797935
IFSa_R,33.627458761267924
p9-46v_R,31.79909214660935
46_R,31.75755724163921
a9-46v_R,32.82094966166865
9-46d_R,33.38558322621591
9a_R,39.61060128287917
10v_R,33.46213092712493
a10p_R,35.26888640193733
10pp_R,31.4684304379024
11l_R,36.55967310859262
13l_R,37.460174935796985
OFC_R,36.105454419514345
47s_R,34.410570622058145
LIPd_R,37.78168498643026
6a_R,36.409953467167846
i6-8_R,32.32663380476471
s6-8_R,27.284974047052877
43_R,39.01994902744926
OP4_R,38.12200287455965
OP1_R,41.41147167633991
OP2-3_R,39.83640160293765
52_R,38.97672909540488
RI_R,35.92054852808496
PFcm_R,38.73869199152958
PoI2_R,37.03223861865297
TA2_R,33.57116917304144
FOP4_R,38.363745571186094
MI_R,37.009739426330285
Pir_R,36.017520920422015
AVI_R,36.99449111005311
AAIC_R,35.10515966579832
FOP1_R,36.256286927928095
FOP3_R,41.99759966961007
FOP2_R,38.7579039312326
PFt_R,37.398411548659816
AIP_R,39.86023047139568
EC_R,36.41103496446878
PreS_R,33.404179794398964
H_R,41.13683871122507
ProS_R,35.957646392842626
PeEc_R,33.95421474259943
STGa_R,37.51780167339926
PBelt_R,36.85149930243368
A5_R,39.58271616082645
PHA1_R,31.600544353879016
PHA3_R,41.429528775941854
STSda_R,38.26666402150644
STSdp_R,39.10219936409048
STSvp_R,41.384456795231486
TGd_R,34.407641466601646
TE1a_R,38.53152547239732
TE1p_R,41.347691831766426
TE2a_R,39.50507508833054
TF_R,41.82210183559613
TE2p_R,40.67195829090383
PHT_R,35.48345431158232
PH_R,34.492639966583084
TPOJ1_R,38.69541383054521
TPOJ2_R,36.2522239182074
TPOJ3_R,36.158786080866825
DVT_R,32.99905053176502
PGp_R,30.066262926561627
IP2_R,39.81741272881308
IP1_R,28.632035369749246
IP0_R,29.079981322937865
PFop_R,37.22224977311124
PF_R,37.151031934219766
PFm_R,31.51685937856956
PGi_R,36.63750551958979
PGs_R,27.52115632542469
