region,thionin
V6A_R,24.201657817551965
VMV1_R,32.898988185056915
VMV3_R,35.402179101918954
PHA2_R,45.23991276802919
V4t_R,35.255859228416725
FST_R,35.77859639438638
V3CD_R,38.15769642656689
LO3_R,32.83947234519464
VMV2_R,39.31569265890121
31pd_R,42.176829443692384
31a_R,41.377260239712605
VVC_R,36.69496199009488
25_R,32.917851144557794
s32_R,35.28175199860558
pOFC_R,33.602377027909895
PoI1_R,39.767615587776135
Ig_R,44.37171641282754
FOP5_R,37.20627057786081
p10p_R,40.32472094966317
p47r_R,34.618678772207446
TGv_R,31.9992582887922
MBelt_R,37.108616543087095
LBelt_R,41.4453160372429
A4_R,37.92950927402848
STSva_R,40.41898411179698
TE1m_R,39.98069768146404
PI_R,41.04484956699915
a32pr_R,34.447724142847214
p24_R,30.834170918250543
