region,thick_I
V1_L,0.2480870911786759
MST_L,0.2561859205380972
V6_L,0.2663803792024254
V2_L,0.2515193159212582
V3_L,0.2523669390378039
V4_L,0.2536075481131407
V8_L,0.2495438700777946
4_L,0.2529308325217369
3b_L,0.254201306208707
FEF_L,0.2538252795651809
PEF_L,0.243773131991419
55b_L,0.250806697414555
V3A_L,0.2517487586401396
RSC_L,0.2487182041897631
POS2_L,0.254980703131732
V7_L,0.2573949732312998
IPS1_L,0.2493032300110906
FFC_L,0.2532350364197834
V3B_L,0.2471359067474509
LO1_L,0.2561710520807614
LO2_L,0.2430321242779842
PIT_L,0.2481230238086536
MT_L,0.2474915890724714
A1_L,0.2491080295117364
PSL_L,0.2524749848670082
SFL_L,0.2435654673586827
PCV_L,0.2495172197237787
STV_L,0.2540324699337228
7Pm_L,0.2486560592577881
7m_L,0.248102199722389
POS1_L,0.2525110488121839
23d_L,0.2441395265962877
v23ab_L,0.253537334478513
d23ab_L,0.2422370717917456
31pv_L,0.2476003548943337
5m_L,0.2551194703052609
5mv_L,0.2486080544622094
23c_L,0.2477253233465333
5L_L,0.2538636456897401
24dd_L,0.255750974457773
24dv_L,0.2427666563650733
7AL_L,0.2518565819682611
SCEF_L,0.2504071175659464
6ma_L,0.2507847061174957
7Am_L,0.2535364317394356
7Pl_L,0.2496376594684283
7PC_L,0.2474911237418541
LIPv_L,0.2601375851014906
VIP_L,0.2537434425506039
MIP_L,0.2522906301189359
1_L,0.2510197673318673
2_L,0.2515207024983284
3a_L,0.2533072030084903
6d_L,0.2525760067066681
6mp_L,0.2488548904625503
6v_L,0.2480370352840716
p24pr_L,0.2449392551988913
33pr_L,0.2435115514071953
a24pr_L,0.2489053098953178
p32pr_L,0.2493250834747402
a24_L,0.2476299030789024
d32_L,0.2497360741481587
8BM_L,0.2576664123349355
p32_L,0.2566683130606116
10r_L,0.2585567589222831
47m_L,0.2496655308554885
8Av_L,0.2453413495109762
8Ad_L,0.2511849684050376
9m_L,0.2509058343533305
8BL_L,0.2449423370774407
9p_L,0.2534651053484908
10d_L,0.2505920405009483
8C_L,0.2570848931418013
44_L,0.2470844964953088
45_L,0.2516744709917492
47l_L,0.251853342237865
a47r_L,0.2552394237170629
6r_L,0.2600500630941811
IFJa_L,0.2503919818330095
IFJp_L,0.2539438275623726
IFSp_L,0.2482862703048564
IFSa_L,0.2534887945974071
p9-46v_L,0.24919277540661
46_L,0.2538505953184314
a9-46v_L,0.2504309391507916
9-46d_L,0.2506291128750821
9a_L,0.2562004166051859
10v_L,0.2517626155227953
a10p_L,0.2513359557256349
10pp_L,0.2427503546467904
11l_L,0.2480939017229851
13l_L,0.2502230236797207
OFC_L,0.250018332967048
47s_L,0.2455935131641704
LIPd_L,0.2536458653249349
6a_L,0.252739534248573
i6-8_L,0.2516392580141325
s6-8_L,0.2371151597289473
43_L,0.2460466888389706
OP4_L,0.2424532647098003
OP1_L,0.2528002448659484
OP2-3_L,0.2558466534599252
52_L,0.243132498474745
RI_L,0.2527315605675951
PFcm_L,0.2519469790499142
PoI2_L,0.2499968275954697
TA2_L,0.2566130455080054
FOP4_L,0.2505295491003981
MI_L,0.2505255371340283
Pir_L,0.2456338752351878
AVI_L,0.2548514114681656
AAIC_L,0.257891375569201
FOP1_L,0.2608383608302046
FOP3_L,0.25319209710162
FOP2_L,0.2622489944817802
PFt_L,0.2499442570620719
AIP_L,0.2501425601303008
EC_L,0.2497648785574203
PreS_L,0.243680432326201
H_L,0.2441044258466835
ProS_L,0.2582523756558115
PeEc_L,0.254216428036298
STGa_L,0.2531578229195653
PBelt_L,0.2486749493740506
A5_L,0.2433586683369579
PHA1_L,0.2440446171210911
PHA3_L,0.2435945902381041
STSda_L,0.2496436236690677
STSdp_L,0.2377622412503338
STSvp_L,0.2565839892080255
TGd_L,0.2524414544571231
TE1a_L,0.2437062183865216
TE1p_L,0.2473941286442968
TE2a_L,0.2440578658769575
TF_L,0.2494852313486264
TE2p_L,0.2451638083276738
PHT_L,0.2475400740208744
PH_L,0.2497803881606257
TPOJ1_L,0.2556722667691299
TPOJ2_L,0.2405050681230858
TPOJ3_L,0.2470690347433339
DVT_L,0.2533087594510932
PGp_L,0.24921167295054
IP2_L,0.2513775841254135
IP1_L,0.2437155690070263
IP0_L,0.2440776874943931
PFop_L,0.2510393376062014
PF_L,0.251837083032678
PFm_L,0.2522216565504813
PGi_L,0.2489272632947315
PGs_L,0.253332275091986
V6A_L,0.2531285486767179
VMV1_L,0.2521831595533242
VMV3_L,0.2475129458127269
PHA2_L,0.2542707240430919
V4t_L,0.2468587220205687
FST_L,0.2478297774400736
V3CD_L,0.2541173239323132
LO3_L,0.2526422580121567
VMV2_L,0.2555985165971395
31pd_L,0.2456846437198001
31a_L,0.2460239340680603
VVC_L,0.2650115810419687
25_L,0.2497413229539439
s32_L,0.2451609656892484
pOFC_L,0.254933528787168
PoI1_L,0.254219226712142
Ig_L,0.2567227649082889
