region,arealscaling
V1_L,1.933845772478316
MST_L,1.9610851631020052
V6_L,1.9372465680627264
V2_L,2.03649319382544
V3_L,2.059443524487373
V4_L,2.0908958879359183
V8_L,2.3893929180334608
4_L,2.394202803567912
3b_L,1.5729576032524004
FEF_L,2.35257566521186
PEF_L,2.245323069639493
55b_L,2.7358177959701706
V3A_L,1.939607948040436
RSC_L,2.537186111121862
POS2_L,2.201924417047412
V7_L,1.894699654676311
IPS1_L,1.8513943968893407
FFC_L,2.531444237537519
V3B_L,1.8495654383792155
LO1_L,2.3380314187052544
LO2_L,2.226261796822419
PIT_L,2.2715219670817968
MT_L,1.9562361031061128
A1_L,2.346017023880188
PSL_L,2.647506490215793
SFL_L,2.958581395696421
PCV_L,2.4267754527950807
STV_L,2.8239274551045006
7Pm_L,2.0583626805041804
7m_L,2.3027409129047567
POS1_L,2.716472024006336
23d_L,2.657612991193036
v23ab_L,2.4171274914399423
d23ab_L,2.6894462234466463
31pv_L,2.376957362045103
5m_L,2.11751453515416
5mv_L,1.90172334900476
23c_L,2.2509378730904896
5L_L,2.352100630523087
24dd_L,2.533034814500571
24dv_L,2.258207221651635
7AL_L,2.2148309371748947
SCEF_L,2.650327119431965
6ma_L,2.7737120703770275
7Am_L,2.396244951216669
7Pl_L,2.226581920431806
7PC_L,2.387971099135056
LIPv_L,1.8940070519844687
VIP_L,2.282279955949405
MIP_L,1.9521413579303128
1_L,2.233665797566116
2_L,1.927223034552346
3a_L,1.6967868757159046
6d_L,2.765990281193263
6mp_L,2.647741185539544
6v_L,2.9480565562950867
p24pr_L,2.58507507365479
33pr_L,2.4517022175388736
a24pr_L,2.6663647927343845
p32pr_L,2.245664769771115
a24_L,3.00085352600304
d32_L,2.5881915755175235
8BM_L,2.737665364254233
p32_L,2.3613459929195857
10r_L,2.088623798195026
47m_L,2.6810379123620867
8Av_L,2.748600643605156
8Ad_L,2.236591797543013
9m_L,2.771953281720636
8BL_L,2.91169828458578
9p_L,2.3693099394256687
10d_L,2.7976423715147947
8C_L,2.3749934658720777
44_L,2.6512617587029204
45_L,2.5459999269970366
47l_L,2.746630321325377
a47r_L,2.6921386041664546
6r_L,2.590733785508415
IFJa_L,2.220610007613102
IFJp_L,2.195417668084678
IFSp_L,2.1938558669361945
IFSa_L,2.1753297267748875
p9-46v_L,2.4005339590169616
46_L,2.376985098594843
a9-46v_L,2.193656979441689
9-46d_L,2.1972658103527567
9a_L,2.4830799521894984
10v_L,2.859145393494133
a10p_L,2.422342655652486
10pp_L,2.8777463316917418
11l_L,2.433064336612307
13l_L,2.409773689982566
OFC_L,2.3621078937388518
47s_L,2.91879226703985
LIPd_L,1.917179659201786
6a_L,2.2647228794809275
i6-8_L,2.5217896499237957
s6-8_L,2.854142874827568
43_L,2.70995116999511
OP4_L,2.7031593571628147
OP1_L,2.654742662268429
OP2-3_L,2.4750607452624847
52_L,1.928877831581753
RI_L,2.11895477789086
PFcm_L,2.508820140379658
PoI2_L,3.269107946699422
TA2_L,3.0327399650570324
FOP4_L,2.690517267495493
MI_L,3.1744943291055687
Pir_L,3.0276309059152
AVI_L,2.552064079970162
AAIC_L,3.952628969971129
FOP1_L,2.727790902224777
FOP3_L,2.0806706504293504
FOP2_L,2.3730928448550324
PFt_L,2.2169603375827567
AIP_L,2.0225747022583587
EC_L,3.1194256017082616
PreS_L,2.583190464099028
