region,megalpha
a10p_L,0.19312774
10pp_L,0.19411463
11l_L,0.20654538
13l_L,0.22892
OFC_L,0.22281893
47s_L,0.24085183
LIPd_L,0.35383344
6a_L,0.22454102
i6-8_L,0.20201582
s6-8_L,0.19765325
43_L,0.28787956
OP4_L,0.31243467
OP1_L,0.3217119
OP2-3_L,0.30995023
52_L,0.32020488
RI_L,0.32985654
PFcm_L,0.3290373
PoI2_L,0.28708178
TA2_L,0.27622986
FOP4_L,0.26549286
MI_L,0.2869563
Pir_L,0.25227404
AVI_L,0.26548684
AAIC_L,0.26460937
FOP1_L,0.28533435
FOP3_L,0.28706795
FOP2_L,0.29474464
PFt_L,0.3107873
AIP_L,0.34325475
EC_L,0.29624233
PreS_L,0.32233647
H_L,0.31084812
ProS_L,0.31778264
PeEc_L,0.29099756
STGa_L,0.2618784
PBelt_L,0.33418095
A5_L,0.3191301
PHA1_L,0.32303348
PHA3_L,0.32280448
STSda_L,0.2972225
STSdp_L,0.33186856
STSvp_L,0.32243395
TGd_L,0.2562712
TE1a_L,0.300282
TE1p_L,0.33071145
TE2a_L,0.30624694
TF_L,0.3136369
TE2p_L,0.33003014
PHT_L,0.3563768
PH_L,0.36564973
TPOJ1_L,0.34697953
TPOJ2_L,0.3661741
TPOJ3_L,0.38315156
DVT_L,0.3829722
PGp_L,0.39408627
IP2_L,0.3415619
IP1_L,0.36753744
IP0_L,0.381502
PFop_L,0.30704147
PF_L,0.32331985
PFm_L,0.34202924
PGi_L,0.35627344
PGs_L,0.3714368
V6A_L,0.40752268
VMV1_L,0.3178136
VMV3_L,0.34314534
PHA2_L,0.32081622
V4t_L,0.37464443
FST_L,0.37322855
V3CD_L,0.4011559
LO3_L,0.3916657
VMV2_L,0.32917127
31pd_L,0.33550102
31a_L,0.30208886
VVC_L,0.3287958
25_L,0.22975759
s32_L,0.2088861
pOFC_L,0.24784985
PoI1_L,0.2979635
Ig_L,0.31714568
FOP5_L,0.23970936
p10p_L,0.19080319
p47r_L,0.21113084
TGv_L,0.28006655
MBelt_L,0.31471092
LBelt_L,0.337192
A4_L,0.32981902
STSva_L,0.29353663
TE1m_L,0.31663346
PI_L,0.26502788
a32pr_L,0.19606559
p24_L,0.19813533
V1_R,0.38573733
