region,SAaxis
IFSp_R,0.5574894
IFSa_R,0.83180183
p9-46v_R,1.1643647
46_R,1.2097389
a9-46v_R,1.2868495
9-46d_R,1.2460362
9a_R,1.3328327
10v_R,1.3534201
a10p_R,0.9711381
10pp_R,1.0571102
11l_R,1.0265439
13l_R,0.97900397
OFC_R,0.68145615
47s_R,1.1376789
LIPd_R,0.021754695
6a_R,0.016057892
i6-8_R,0.98179126
s6-8_R,1.3764473
43_R,-0.29770857
OP4_R,-0.71595615
OP1_R,-0.8671925
OP2-3_R,-1.0409633
52_R,0.03873826
RI_R,-0.65616643
PFcm_R,-0.36629435
PoI2_R,0.25794303
TA2_R,0.32226428
FOP4_R,0.41882434
MI_R,0.92095655
Pir_R,-0.36600193
AVI_R,1.0547332
AAIC_R,0.6503018
FOP1_R,-0.13685448
FOP3_R,0.3247323
FOP2_R,-0.38753918
PFt_R,-0.30918878
AIP_R,-0.32952783
EC_R,-0.07891238
PreS_R,-0.8363915
H_R,-0.15676303
ProS_R,-0.7762348
PeEc_R,0.42626557
STGa_R,0.9620724
PBelt_R,-0.65051746
A5_R,0.26025668
PHA1_R,-0.18518855
PHA3_R,-0.17764227
STSda_R,1.0294679
STSdp_R,0.03559708
STSvp_R,0.84770983
TGd_R,0.856217
TE1a_R,1.6832265
TE1p_R,1.5243235
TE2a_R,1.3505199
TF_R,0.576715
TE2p_R,0.5827413
PHT_R,0.9098345
PH_R,-0.21944317
TPOJ1_R,0.06522801
TPOJ2_R,0.011490738
TPOJ3_R,-0.31759065
DVT_R,-0.6756878
PGp_R,-0.16911197
IP2_R,0.13350889
IP1_R,0.19820039
IP0_R,-0.42912126
PFop_R,-0.34327278
PF_R,0.41933203
PFm_R,1.013398
PGi_R,1.1661837
PGs_R,0.7945233
V6A_R,-1.1831956
VMV1_R,-1.2345933
VMV3_R,-0.9650495
PHA2_R,-0.108388305
V4t_R,-0.8072319
FST_R,-0.5948108
V3CD_R,-0.70151836
LO3_R,-0.46916193
VMV2_R,-1.1672424
31pd_R,0.22487295
31a_R,0.5512463
VVC_R,-0.47809133
25_R,0.7909247
s32_R,1.4971327
pOFC_R,0.33101004
PoI1_R,0.515444
Ig_R,-0.46421564
FOP5_R,0.71310335
p10p_R,1.1522658
p47r_R,1.2186321
TGv_R,0.48040682
MBelt_R,-0.5944269
LBelt_R,-0.690179
A4_R,-0.34087357
STSva_R,1.2411782
TE1m_R,1.6524329
PI_R,0.48446018
a32pr_R,1.1068698
p24_R,0.9608508
