type,r2,target
F1,0.04393767853346331,CogEarlyComp_Unadj
F1,0.04910941714160777,CogEarlyComp_Unadj
F1,0.04643834858955542,CogEarlyComp_Unadj
F1,0.05956188081504099,CogEarlyComp_Unadj
F1,0.04745289669716446,CogEarlyComp_Unadj
F1,0.0408168977761979,CogEarlyComp_Unadj
F1,0.01359949517518455,CogEarlyComp_Unadj
F1,0.027953861499811827,CogEarlyComp_Unadj
F1,0.044857520063045,CogEarlyComp_Unadj
F1,0.0,CogEarlyComp_Unadj
F1,0.08085944670289369,CogEarlyComp_Unadj
F1,0.023536417497606377,CogEarlyComp_Unadj
F1,0.03758479597707709,CogEarlyComp_Unadj
F1,0.032631171503227474,CogEarlyComp_Unadj
F1,0.0,CogEarlyComp_Unadj
F1,0.05535457905331498,CogEarlyComp_Unadj
F1,0.03881499466676286,CogEarlyComp_Unadj
F1,0.005864639370729674,CogEarlyComp_Unadj
F1,0.058014709513549145,CogEarlyComp_Unadj
F1,0.03856505350133388,CogEarlyComp_Unadj
F1,0.0,CogEarlyComp_Unadj
F1,0.03180588291747255,CogEarlyComp_Unadj
F1,0.03791053081791573,CogEarlyComp_Unadj
F1,0.03928326721243691,CogEarlyComp_Unadj
F1,0.027423438940758604,CogEarlyComp_Unadj
F1,0.017331769060784374,CogEarlyComp_Unadj
F1,0.05150787859546946,CogEarlyComp_Unadj
F1,0.021570125207973745,CogEarlyComp_Unadj
F1,0.039899896937899415,CogEarlyComp_Unadj
F1,0.020880046086245274,CogEarlyComp_Unadj
F1,0.04040868451526014,CogEarlyComp_Unadj
F1,0.03267089182066918,CogEarlyComp_Unadj
F1,0.032773463181391516,CogEarlyComp_Unadj
F1,0.03660750839348603,CogEarlyComp_Unadj
F1,0.03698360252106958,CogEarlyComp_Unadj
F1,0.0275608437976953,CogEarlyComp_Unadj
F1,0.03336747873561896,CogEarlyComp_Unadj
F1,0.03448316822969899,CogEarlyComp_Unadj
F1,0.04124023491829265,CogEarlyComp_Unadj
F1,0.0677360965024083,CogEarlyComp_Unadj
F1,0.0,CogEarlyComp_Unadj
F1,0.024216942030320543,CogEarlyComp_Unadj
F1,0.022318374357758186,CogEarlyComp_Unadj
F1,0.012669403491202713,CogEarlyComp_Unadj
F1,0.07226253050722131,CogEarlyComp_Unadj
F1,0.08577117588727412,CogEarlyComp_Unadj
F1,0.008761509175799764,CogEarlyComp_Unadj
F1,0.030521370370100387,CogEarlyComp_Unadj
F1,0.034442540787074205,CogEarlyComp_Unadj
F1,0.04741407077681725,CogEarlyComp_Unadj
F1,0.013704695852446047,CogEarlyComp_Unadj
F1,0.01130745643147224,CogEarlyComp_Unadj
F1,0.0474639357693063,CogEarlyComp_Unadj
F1,0.051104878236325146,CogEarlyComp_Unadj
F1,0.03916836804122836,CogEarlyComp_Unadj
F1,0.012742367826200529,CogEarlyComp_Unadj
F1,0.030764607125495558,CogEarlyComp_Unadj
F1,0.060767691602221174,CogEarlyComp_Unadj
F1,0.009880730235047874,CogEarlyComp_Unadj
F1,0.031973878527130295,CogEarlyComp_Unadj
F1,0.05689318531350285,CogEarlyComp_Unadj
F1,0.01311896283240277,CogEarlyComp_Unadj
F1,0.035145451289678276,CogEarlyComp_Unadj
F1,0.0,CogEarlyComp_Unadj
F1,0.012910157904195474,CogEarlyComp_Unadj
F1,0.057555791884629115,CogEarlyComp_Unadj
F1,0.06390518691130342,CogEarlyComp_Unadj
F1,0.04678340808923276,CogEarlyComp_Unadj
F1,0.022686142603815518,CogEarlyComp_Unadj
F1,0.005734961402371397,CogEarlyComp_Unadj
F1,0.03957073521143406,CogEarlyComp_Unadj
F1,0.0346402538153463,CogTotalComp_Unadj
F1,0.08320831619025959,CogTotalComp_Unadj
F1,0.06442804195166763,CogTotalComp_Unadj
F1,0.0,CogTotalComp_Unadj
F1,0.046035417769557996,CogTotalComp_Unadj
F1,0.07351819169591911,CogTotalComp_Unadj
F1,0.12367462304796573,CogTotalComp_Unadj
F1,0.034789741098153804,CogTotalComp_Unadj
F1,0.02597381953062794,CogTotalComp_Unadj
F1,0.024765326830744505,CogTotalComp_Unadj
F1,0.06815112915444832,CogTotalComp_Unadj
F1,0.04037720542329948,CogTotalComp_Unadj
F1,0.0,CogTotalComp_Unadj
F1,0.0645360498489902,CogTotalComp_Unadj
F1,0.076588891894114,CogTotalComp_Unadj
F1,0.08423867390345618,CogTotalComp_Unadj
F1,0.10881585878324518,CogTotalComp_Unadj
F1,0.03501895904091723,CogTotalComp_Unadj
F1,0.04408964004530802,CogTotalComp_Unadj
F1,0.07949814325579563,CogTotalComp_Unadj
F1,0.058791570362692336,CogTotalComp_Unadj
F1,0.08079879307945537,CogTotalComp_Unadj
F1,0.09582200114140393,CogTotalComp_Unadj
F1,0.016954920985246535,CogTotalComp_Unadj
F1,0.07754322160146598,CogTotalComp_Unadj
F1,0.1474907016840693,CogTotalComp_Unadj
F1,0.0065243474480478625,CogTotalComp_Unadj
F1,0.013083347480483343,CogTotalComp_Unadj
F1,0.0683413217190244,CogTotalComp_Unadj
F1,0.05533228637838383,CogTotalComp_Unadj
F1,0.054818510843626655,CogTotalComp_Unadj
F1,0.08653530035116896,CogTotalComp_Unadj
F1,0.07559395243490519,CogTotalComp_Unadj
F1,0.025621222388538922,CogTotalComp_Unadj
F1,0.05254448589281513,CogTotalComp_Unadj
F1,0.04700750723156377,CogTotalComp_Unadj
F1,0.0,CogTotalComp_Unadj
F1,0.0413550506932755,CogTotalComp_Unadj
F1,0.045566670539114784,CogTotalComp_Unadj
F1,0.0957698661002595,CogTotalComp_Unadj
F1,0.08813340829305172,CogTotalComp_Unadj
F1,0.03987709241526227,CogTotalComp_Unadj
F1,0.05057181541658273,CogTotalComp_Unadj
F1,0.06335060215730814,CogTotalComp_Unadj
F1,0.08618624004774211,CogTotalComp_Unadj
F1,0.07357134909514584,CogTotalComp_Unadj
F1,0.08036815493972171,CogTotalComp_Unadj
F1,0.0641962570180632,CogTotalComp_Unadj
F1,0.05133130320994683,CogTotalComp_Unadj
F1,0.07720132029688853,CogTotalComp_Unadj
F1,0.07439666015696034,CogTotalComp_Unadj
F1,0.09550330537811935,CogTotalComp_Unadj
F1,0.0743755775909497,CogTotalComp_Unadj
F1,0.060247776569361755,CogTotalComp_Unadj
F1,0.0,CogTotalComp_Unadj
F1,0.07291601601395659,CogTotalComp_Unadj
F1,0.027885940634486128,CogTotalComp_Unadj
F1,0.05667756052901174,CogTotalComp_Unadj
F1,0.09608987975427064,CogTotalComp_Unadj
F1,0.014342879310762946,CogTotalComp_Unadj
F1,0.07694539034869008,CogTotalComp_Unadj
F1,0.07425658533792934,CogTotalComp_Unadj
F1,0.05258590173997879,CogTotalComp_Unadj
F1,0.05062607305998745,CogTotalComp_Unadj
F1,0.06829437931363658,CogTotalComp_Unadj
F1,0.049432202430552574,CogTotalComp_Unadj
F1,0.09517611594471742,CogTotalComp_Unadj
F1,0.054323596401899876,CogTotalComp_Unadj
F1,0.10470199485530252,CogTotalComp_Unadj
F1,0.0,CogTotalComp_Unadj
F1,0.05362327441392589,CogTotalComp_Unadj
F1,0.05675994999584044,CogTotalComp_Unadj
F1,0.0868189497788251,CogTotalComp_Unadj
F1,0.09380722745168757,CogTotalComp_Unadj
F1,0.07981235213354665,CogTotalComp_Unadj
F1,0.08711678505001108,CogTotalComp_Unadj
F1,0.027651244617959647,CogTotalComp_Unadj
F1,0.041774390227820035,CogTotalComp_Unadj
F1,0.09103378710958243,CogTotalComp_Unadj
F1,0.03977765188619509,CogTotalComp_Unadj
F1,0.054905523087711794,CogTotalComp_Unadj
F1,0.03454378023682092,CogTotalComp_Unadj
F1,0.06196446261831268,CogTotalComp_Unadj
F1,0.09085195748340935,CogTotalComp_Unadj
F1,0.0,CogTotalComp_Unadj
F1,0.08109845554862771,CogTotalComp_Unadj
F1,0.11787922149251018,CogTotalComp_Unadj
F1,0.0,CogTotalComp_Unadj
F1,0.005991164313733588,CogTotalComp_Unadj
F1,0.07014262673587546,CogTotalComp_Unadj
F1,0.0713414892887414,CogTotalComp_Unadj
F1,0.1226146389142595,CogTotalComp_Unadj
F1,0.06310716454610354,CogTotalComp_Unadj
F1,0.07975208755929664,CogTotalComp_Unadj
F1,0.055816394622611565,CogTotalComp_Unadj
F1,0.03605064606184316,CogTotalComp_Unadj
F1,0.06510793674614435,CogTotalComp_Unadj
F1,0.0,CogTotalComp_Unadj
F1,0.05041674896323678,CogTotalComp_Unadj
F1,0.022407273800937655,CogTotalComp_Unadj
F1,0.09234639346162965,CogCrystalComp_Unadj
F1,0.0,CogCrystalComp_Unadj
F1,0.11604516952101251,CogCrystalComp_Unadj
F1,0.12314123802498356,CogCrystalComp_Unadj
F1,0.11875343257887605,CogCrystalComp_Unadj
F1,0.10601177622854352,CogCrystalComp_Unadj
F1,0.10973263195362803,CogCrystalComp_Unadj
F1,0.12633326040861992,CogCrystalComp_Unadj
F1,0.043788132613943875,CogCrystalComp_Unadj
F1,0.0,CogCrystalComp_Unadj
F1,0.14021055739863153,CogCrystalComp_Unadj
F1,0.06579778276429393,CogCrystalComp_Unadj
F1,0.023695361735854847,CogCrystalComp_Unadj
F1,0.09368635140200499,CogCrystalComp_Unadj
F1,0.1380879573644589,CogCrystalComp_Unadj
F1,0.057794124374655254,CogCrystalComp_Unadj
F1,0.12950007798000351,CogCrystalComp_Unadj
F1,0.04368942823935007,CogCrystalComp_Unadj
F1,0.08380926216286788,CogCrystalComp_Unadj
F1,0.07232299380988272,CogCrystalComp_Unadj
F1,0.07451423056025774,CogCrystalComp_Unadj
F1,0.1294225304407315,CogCrystalComp_Unadj
F1,0.09477400634666899,CogCrystalComp_Unadj
F1,0.04304348916840106,CogCrystalComp_Unadj
F1,0.08801638546489476,CogCrystalComp_Unadj
F1,0.1104805824798697,CogCrystalComp_Unadj
F1,0.052826954469431975,CogCrystalComp_Unadj
F1,0.04596516149216168,CogCrystalComp_Unadj
F1,0.10474542972567802,CogCrystalComp_Unadj
F1,0.09891328621257933,CogCrystalComp_Unadj
F1,0.0,CogCrystalComp_Unadj
F1,0.1482193003920761,CogCrystalComp_Unadj
F1,0.07647668594249302,CogCrystalComp_Unadj
F1,0.14640989366428792,CogCrystalComp_Unadj
F1,0.09557785816418729,CogCrystalComp_Unadj
F1,0.08126501072194148,CogCrystalComp_Unadj
F1,0.10350367480151212,CogCrystalComp_Unadj
F1,0.042678493333096035,CogCrystalComp_Unadj
F1,0.14029191755435333,CogCrystalComp_Unadj
F1,0.1009102279456563,CogCrystalComp_Unadj
F1,0.08680871226178699,CogCrystalComp_Unadj
F1,0.13007554898950213,CogCrystalComp_Unadj
F1,0.061375501907944496,CogCrystalComp_Unadj
F1,0.06519365428195256,CogCrystalComp_Unadj
F1,0.11985605760927309,CogCrystalComp_Unadj
F1,0.10411904987823795,CogCrystalComp_Unadj
F1,0.0963501778478365,CogCrystalComp_Unadj
F1,0.11677715273785572,CogCrystalComp_Unadj
F1,0.0,CogCrystalComp_Unadj
F1,0.14700825742706958,CogCrystalComp_Unadj
F1,0.1111289531830032,CogCrystalComp_Unadj
F1,0.08377728116153704,CogCrystalComp_Unadj
F1,0.11657554588053742,CogCrystalComp_Unadj
F1,0.06993203786402635,CogCrystalComp_Unadj
F1,0.019907961526262397,CogCrystalComp_Unadj
F1,0.10611660199129924,CogCrystalComp_Unadj
F1,0.03980661401055352,CogCrystalComp_Unadj
F1,0.08960133729313469,CogCrystalComp_Unadj
F1,0.11465061099548324,CogCrystalComp_Unadj
F1,0.0937783878386581,CogCrystalComp_Unadj
F1,0.017714498702322334,CogCrystalComp_Unadj
F1,0.07190778117600216,CogCrystalComp_Unadj
F1,0.0871527970285556,CogCrystalComp_Unadj
F1,0.0931438177266597,CogCrystalComp_Unadj
F1,0.1275538928822254,CogCrystalComp_Unadj
F1,0.12101379244252786,CogCrystalComp_Unadj
F1,0.09596526787418258,CogCrystalComp_Unadj
F1,0.0751053700460147,CogCrystalComp_Unadj
F1,0.12376877583821821,CogCrystalComp_Unadj
F1,0.03725617619456101,CogCrystalComp_Unadj
F1,0.06288052067759009,CogCrystalComp_Unadj
F1,0.08240860274809336,CogCrystalComp_Unadj
F1,0.06417662527501033,CogCrystalComp_Unadj
F1,0.10906334589036792,CogCrystalComp_Unadj
F1,0.12953835901369148,CogCrystalComp_Unadj
F1,0.04847310874815336,CogCrystalComp_Unadj
F1,0.02011605263590166,CogCrystalComp_Unadj
F1,0.1027527072768496,CogCrystalComp_Unadj
F1,0.13628150724875598,CogCrystalComp_Unadj
F1,0.09119630219475783,CogCrystalComp_Unadj
F1,0.15394502239966645,CogCrystalComp_Unadj
F1,0.09626366806958042,CogCrystalComp_Unadj
F1,0.015415785758439271,CogCrystalComp_Unadj
F1,0.07332733130901525,CogCrystalComp_Unadj
F1,0.04281931076504453,CogCrystalComp_Unadj
F1,0.08160030379067762,CogCrystalComp_Unadj
F1,0.08752329787220925,CogCrystalComp_Unadj
F1,0.0315087185877565,CogCrystalComp_Unadj
F1,0.11642755846810537,CogCrystalComp_Unadj
F1,0.0247942835379511,CogCrystalComp_Unadj
F1,0.0,CogCrystalComp_Unadj
F1,0.10416276419007908,CogCrystalComp_Unadj
F1,0.12531893654663206,CogCrystalComp_Unadj
F1,0.011617510214374516,CogCrystalComp_Unadj
F1,0.1139136274939676,CogCrystalComp_Unadj
F1,0.11685561487164953,CogCrystalComp_Unadj
F1,0.019110209164681757,CogCrystalComp_Unadj
F1,0.07822675603995921,CogCrystalComp_Unadj
F1,0.0972125229682893,CogCrystalComp_Unadj
F1,0.14372380927496298,CogCrystalComp_Unadj
F1,0.10160235081725688,Age_in_Yrs
F1,0.24132425828307658,Age_in_Yrs
F1,0.13086083816455618,Age_in_Yrs
F1,0.1351923115227618,Age_in_Yrs
F1,0.23102919526614274,Age_in_Yrs
F1,0.20579310094265169,Age_in_Yrs
F1,0.1346127353339608,Age_in_Yrs
F1,0.1727587647175418,Age_in_Yrs
F1,0.1246608140272848,Age_in_Yrs
F1,0.17180156336893326,Age_in_Yrs
F1,0.129474787025193,Age_in_Yrs
F1,0.15747003357734735,Age_in_Yrs
F1,0.20395929415159952,Age_in_Yrs
F1,0.27216767308230894,Age_in_Yrs
F1,0.08071764370587031,Age_in_Yrs
F1,0.19266420658834515,Age_in_Yrs
F1,0.143268232434123,Age_in_Yrs
F1,0.21546846335763348,Age_in_Yrs
F1,0.1421255064923469,Age_in_Yrs
F1,0.19560829437195448,Age_in_Yrs
F1,0.18412253376648147,Age_in_Yrs
F1,0.23764124940302245,Age_in_Yrs
F1,0.18530556097440087,Age_in_Yrs
F1,0.12646881822363432,Age_in_Yrs
F1,0.18038646528347435,Age_in_Yrs
F1,0.1918178839475262,Age_in_Yrs
F1,0.09804709483911722,Age_in_Yrs
F1,0.22680014283355343,Age_in_Yrs
F1,0.2745901467135896,Age_in_Yrs
F1,0.05672105889828771,Age_in_Yrs
F1,0.1197635849344525,Age_in_Yrs
F1,0.17496832952881014,Age_in_Yrs
F1,0.2095763022798115,Age_in_Yrs
F1,0.09295273974966689,Age_in_Yrs
F1,0.18146410267404223,Age_in_Yrs
F1,0.15843456737446493,Age_in_Yrs
F1,0.17151752538691767,Age_in_Yrs
F1,0.1750733369200358,Age_in_Yrs
F1,0.11772665411911065,Age_in_Yrs
F1,0.17541478055169024,Age_in_Yrs
F1,0.1760883368028705,Age_in_Yrs
