region,struct_score
V1_L,-1.5839176049711747
MST_L,-2.5293764157385583
V6_L,-2.1275587509299414
V2_L,-1.8756575645124725
V3_L,-2.8847693493276467
V4_L,-2.912511222659778
V8_L,-2.7753809600421686
4_L,-0.7457009412086534
3b_L,-0.27694538373157224
FEF_L,-0.9074685275198232
PEF_L,-0.5684698875985285
55b_L,-1.0503849724549246
V3A_L,-2.399834026235222
RSC_L,0.539874163652516
POS2_L,-2.07912344631332
V7_L,-0.979832043714123
IPS1_L,-1.0941184231640475
FFC_L,-1.32937546184529
V3B_L,-2.750309991118023
LO1_L,-3.7632963909198685
LO2_L,-3.546006942445293
PIT_L,-3.2557109380627556
MT_L,-2.573268956346009
A1_L,1.6356780019625599
PSL_L,-2.0316533223622355
SFL_L,-1.3341733843427832
PCV_L,-2.5284463718062296
STV_L,-2.3911662009433123
7Pm_L,-3.0338680131314386
7m_L,-2.0327818057819567
POS1_L,-0.5091983141944839
23d_L,1.161017288299531
v23ab_L,-0.3155760579954289
d23ab_L,0.11013622350129935
31pv_L,-1.249150656257107
5m_L,-2.857729356411783
5mv_L,-2.334379612872095
23c_L,-0.3533093818230095
5L_L,-3.369440868529431
24dd_L,-0.6737359483223715
24dv_L,0.18741180599010088
7AL_L,-2.670351198195535
SCEF_L,-1.1110841816582355
6ma_L,-1.140096352903319
7Am_L,-3.4084326581405935
7Pl_L,-2.7782794874373553
7PC_L,-2.200737625526611
LIPv_L,-1.4400564136154472
VIP_L,-2.720272821302819
MIP_L,-2.258377842344455
1_L,-1.743979190693725
2_L,-1.381624800383233
3a_L,1.0986770003082795
6d_L,-1.2324350446225727
6mp_L,-1.3515232184679942
6v_L,-0.9843677622975665
p24pr_L,1.7444670918984118
33pr_L,2.1122028162985935
a24pr_L,1.942222777142929
p32pr_L,0.570496039926092
a24_L,4.36311415357273
d32_L,0.787704963713304
8BM_L,-1.2269221597090636
p32_L,2.8188551132787754
10r_L,3.199643558717373
47m_L,4.222972005226577
8Av_L,-0.623105278506666
8Ad_L,0.21704375731327416
9m_L,-0.07688854213144711
8BL_L,-0.8506812102445326
9p_L,0.19140183023760754
10d_L,1.3520788411904343
8C_L,-0.30840972205673106
44_L,0.6080486313121798
45_L,0.7603175209321642
47l_L,2.1159666004144557
a47r_L,1.8833143729330863
6r_L,0.3771761923592516
IFJa_L,0.18844688491115894
IFJp_L,0.12091264140438202
IFSp_L,0.13568126652345497
IFSa_L,0.4618027028294974
p9-46v_L,-0.26492385823987846
46_L,-0.057321493787025515
a9-46v_L,0.9701104342740092
9-46d_L,0.665010086658404
9a_L,0.6916736451881546
10v_L,4.08652617999208
a10p_L,2.4247378779245032
10pp_L,3.792952162227175
11l_L,3.6649306649888316
13l_L,4.49272946890767
OFC_L,1.3066890517521246
47s_L,5.24541395565244
LIPd_L,-1.0984304762942934
6a_L,-0.0868012604818841
i6-8_L,-0.5270820333957575
s6-8_L,-0.250295107220212
43_L,0.660744354994689
OP4_L,-0.43075213488245573
OP1_L,-0.16562068744743122
OP2-3_L,0.7339762796837005
52_L,2.873261247074459
RI_L,0.24398688736545263
PFcm_L,-0.9839941402123105
PoI2_L,4.652648440647134
TA2_L,1.66258089022542
FOP4_L,2.170305224312049
MI_L,4.088283524507031
Pir_L,5.973438093924942
AVI_L,4.192801419374295
AAIC_L,6.3660153463332225
FOP1_L,1.4317315438051808
FOP3_L,2.1246737625633783
FOP2_L,0.7882878003837361
PFt_L,-2.1073872661666444
AIP_L,-1.4550241529902168
EC_L,6.065415186013542
PreS_L,4.99659683108544
H_L,4.778634274752463
ProS_L,0.6401716599352727
PeEc_L,5.023343169241934
STGa_L,2.1412700166034786
PBelt_L,-0.3122948095771367
A5_L,-0.05828978644233884
PHA1_L,3.238117131679085
PHA3_L,0.9599107412138098
STSda_L,0.688036974049727
STSdp_L,-1.2793374944090914
STSvp_L,-1.6743095730683184
TGd_L,4.43991648267359
TE1a_L,0.8545968686420253
TE1p_L,-2.137519095836201
TE2a_L,1.1574529124434159
TF_L,2.3685106866658265
TE2p_L,-0.5159892474047957
