metric,struct_loading
dki-fa,0.5732088655084467
dki-ad,0.8224830227646436
dki-rd,0.7235768409844764
dki-md,0.8053254456962242
mk,0.527001383690156
ak,0.5201347636430639
rk,0.5011057532152952
kfa,-0.5195656655207793
mkt,0.5290281550883897
icvf,0.13931735744631402
odi,-0.22672349278655682
isovf,0.4152265912383278
msd,0.40750606128697875
qiv,0.5304820626976693
rtop,0.12369593989529871
rtap,0.02195846081356187
rtpp,-0.19616557891235434
thick,0.49288314773951086
myl,-0.3454883281222035
