region,pet_score
V1_L,-2.711475525236048
MST_L,-6.232963891797867
V6_L,-3.0600657772378894
V2_L,-1.837162077954928
V3_L,-2.6857230946302195
V4_L,-5.167388478163801
V8_L,-7.93040026212483
4_L,-3.8837223779741827
3b_L,-3.548652879287545
FEF_L,-6.375855602749256
PEF_L,-5.00555632373719
55b_L,-2.5743465142958564
V3A_L,-2.4514769713140194
RSC_L,4.264013489931852
POS2_L,-3.49101519480272
V7_L,-7.126944849168057
IPS1_L,-11.68491565448244
FFC_L,-10.824494319306408
V3B_L,-7.080317617913333
LO1_L,-5.436996932148364
LO2_L,-9.248445553879305
PIT_L,-10.419388876078223
MT_L,-6.8167922552227616
A1_L,0.5483832197092484
PSL_L,-2.590478004224835
SFL_L,1.6887055124384835
PCV_L,0.10667554506860977
STV_L,-2.307470582601446
7Pm_L,-5.197148039561475
7m_L,-0.8711241582652781
POS1_L,1.1642949705967534
23d_L,4.123245127670001
v23ab_L,2.394320990712828
d23ab_L,3.8860733857565735
31pv_L,1.4729841345356072
5m_L,-0.38735000511890494
5mv_L,0.8678313373061753
23c_L,2.611029271973006
5L_L,-0.7372858387820094
24dd_L,-3.467707270406877
24dv_L,-1.5686345323788204
7AL_L,-3.025125991767746
SCEF_L,-3.950642797550443
6ma_L,0.22766656224485174
7Am_L,-2.814289701162645
7Pl_L,-6.745826810735094
7PC_L,-6.573351137266151
LIPv_L,-11.882892888258866
VIP_L,-6.04800871814241
MIP_L,-12.1301289896638
1_L,-1.5996746649745521
2_L,-4.786645912461349
3a_L,-2.278068914563164
6d_L,-2.8242211646540083
6mp_L,-1.3002871559430758
6v_L,-3.445444579160991
p24pr_L,3.4254945565863175
33pr_L,9.584783392756298
a24pr_L,9.221632735227043
p32pr_L,1.169252343155704
a24_L,11.523412291654402
d32_L,6.641990414646954
8BM_L,1.1030399550974168
p32_L,9.403449444302383
10r_L,8.32985223403175
47m_L,4.242342696093822
8Av_L,0.6865444125575151
8Ad_L,3.1125886643155187
9m_L,5.271084142809985
8BL_L,1.7029679785092438
9p_L,2.4159131653818102
10d_L,4.172478850298621
8C_L,-0.5579905054195055
44_L,-2.2898457990218573
45_L,0.6221483165027413
47l_L,3.298994802170188
a47r_L,2.3629116190841875
6r_L,-4.5171409685183965
IFJa_L,-3.3511668994903787
IFJp_L,-5.840378770191713
IFSp_L,-1.716641439880311
IFSa_L,-0.9371017400623943
p9-46v_L,-0.4492780250126293
46_L,1.4059265207367513
a9-46v_L,1.487531254331162
9-46d_L,3.577014975629599
9a_L,2.394719459520682
10v_L,4.858473731176964
a10p_L,3.5366146297932546
10pp_L,3.2204655082135316
11l_L,5.080954887452235
13l_L,6.146726188030963
OFC_L,5.317130631804818
47s_L,7.23813227628996
LIPd_L,-11.994511084880722
6a_L,-7.455971902770055
i6-8_L,-4.43944087883507
s6-8_L,2.3803870681910246
43_L,0.5842175177092741
OP4_L,0.746599413958588
OP1_L,0.7721153343955872
OP2-3_L,3.8334403484307704
52_L,4.640230780869793
RI_L,-0.6973671760395802
PFcm_L,-3.234496842077936
PoI2_L,8.91580544742143
TA2_L,4.3320631333753035
FOP4_L,3.8145186651880527
MI_L,7.850946440929485
Pir_L,9.983527627736612
AVI_L,4.576987087672213
AAIC_L,8.61488691169545
FOP1_L,2.29289642887523
FOP3_L,5.389208026324913
FOP2_L,2.6199301820986554
PFt_L,-4.278761316743924
AIP_L,-11.530489341023355
EC_L,8.850575299272393
PreS_L,5.303027136100074
H_L,6.509994670431176
ProS_L,2.4615574225342507
PeEc_L,4.474148706649147
STGa_L,1.7739964789247007
PBelt_L,-3.003260530614735
A5_L,-1.6476681209025714
PHA1_L,3.075239544722945
PHA3_L,-0.012074042855081624
STSda_L,1.0824633023980594
STSdp_L,-4.627367318018079
STSvp_L,-4.285121766204628
TGd_L,2.63577812947995
TE1a_L,0.9524419202404448
TE1p_L,-2.0043583326525747
TE2a_L,1.8097028153829626
TF_L,0.9523774736033893
TE2p_L,-1.710967328935227
PHT_L,-3.6694944777488776
PH_L,-9.671847453469143
