region,struct_score
V1_L,-2.0840890760603905
MST_L,-2.5144199470732462
V6_L,-2.2589032839617866
V2_L,-2.2151529903882508
V3_L,-3.066530208155647
V4_L,-3.027811340120683
V8_L,-2.7442780849402837
4_L,-1.0371835657938828
3b_L,-0.9155618078736144
FEF_L,-0.9498185862292498
PEF_L,-0.531887948724792
55b_L,-1.0090357201933273
V3A_L,-2.6292986753830427
RSC_L,-0.07521627146125213
POS2_L,-2.1559812076784644
V7_L,-1.303006476486209
IPS1_L,-1.31800178285662
FFC_L,-1.197561727429221
V3B_L,-2.755234485674475
LO1_L,-3.7001437814728146
LO2_L,-3.434317165736271
PIT_L,-3.1910912725591785
MT_L,-2.573789936112574
A1_L,1.1980852774294184
PSL_L,-1.7991537675791989
SFL_L,-1.170033916510696
PCV_L,-2.38686307052173
STV_L,-2.119296290413385
7Pm_L,-2.9147927572556496
7m_L,-1.8232507366148394
POS1_L,-0.5078409135668007
23d_L,1.3767114337609434
v23ab_L,-0.15865488690313806
d23ab_L,0.40424539027456047
31pv_L,-1.0418092137263666
5m_L,-3.172295579687894
5mv_L,-2.3464920990592617
23c_L,-0.24443752639775285
5L_L,-3.507524805546916
24dd_L,-0.6804054503813147
24dv_L,0.3164316560857003
7AL_L,-2.846883706032607
SCEF_L,-0.9753263845783475
6ma_L,-1.1989452046263385
7Am_L,-3.3875442337214703
7Pl_L,-2.879490432167191
7PC_L,-2.4246400709488913
LIPv_L,-1.8402246745740325
VIP_L,-2.9023982664475647
MIP_L,-2.4119678303234267
1_L,-2.1169180977624453
2_L,-1.7231436356623016
3a_L,0.5158419562475594
6d_L,-1.3294523284317872
6mp_L,-1.4735657276658654
6v_L,-0.7977692094672236
p24pr_L,1.9521817866662672
33pr_L,1.920444070625096
a24pr_L,2.2778742664800076
p32pr_L,0.869805763085627
a24_L,4.682310862321644
d32_L,1.2342493138417392
8BM_L,-0.8567258799468301
p32_L,3.017049681101328
10r_L,3.1333956315659997
47m_L,3.8735621679880663
8Av_L,-0.5565039920890269
8Ad_L,0.27643246502843394
9m_L,0.2690434755093814
8BL_L,-0.674817459005086
9p_L,0.24356893314520384
10d_L,1.40162374571736
8C_L,-0.322412900921281
44_L,0.627167809934594
45_L,0.657364919789549
47l_L,2.066178323882891
a47r_L,1.90057793507369
6r_L,0.5111112107066562
IFJa_L,0.17654732636623782
IFJp_L,0.21160494265536645
IFSp_L,0.08104202341960944
IFSa_L,0.4433851519695967
p9-46v_L,-0.27150747918824625
46_L,0.0571606234902703
a9-46v_L,0.9724186344788831
9-46d_L,0.740929204716568
9a_L,0.6899619659221644
10v_L,3.744046075299287
a10p_L,2.4283295580869284
10pp_L,3.4695360061497924
11l_L,3.5045227779681696
13l_L,4.059406293229673
OFC_L,0.3337885471263958
47s_L,5.110782485071126
LIPd_L,-1.318809840609623
6a_L,-0.1918856613610176
i6-8_L,-0.48353059850518687
s6-8_L,-0.2579628627711225
43_L,0.6900754864532065
OP4_L,-0.2874637860200732
OP1_L,-0.09268461170030994
OP2-3_L,0.563124388653663
52_L,2.7015321864819577
RI_L,0.039476954866417155
PFcm_L,-0.9327024254732706
PoI2_L,4.807317214925749
TA2_L,1.8298265907627027
FOP4_L,2.281465486490853
MI_L,4.332209544000681
Pir_L,5.5266648723214296
AVI_L,4.1810903256182845
AAIC_L,6.43608747572291
FOP1_L,1.5192267029462352
FOP3_L,2.1380719625829814
FOP2_L,0.8555110049202596
PFt_L,-1.9516910564124366
AIP_L,-1.5690074567254513
EC_L,5.411512985614486
PreS_L,3.787764514751324
H_L,4.530542330155
ProS_L,0.2573597389264551
PeEc_L,4.90354591969145
STGa_L,2.4550415407223602
PBelt_L,-0.3196535774416702
A5_L,0.09548363237089126
PHA1_L,3.1245147235757345
PHA3_L,1.0383739612248009
STSda_L,0.7631648111341928
STSdp_L,-1.1355482624895537
STSvp_L,-1.2878810782428372
TGd_L,4.545594854840769
TE1a_L,1.1858278365085353
TE1p_L,-1.7067724030289693
TE2a_L,1.185708801817566
TF_L,2.1959178217089312
TE2p_L,-0.4207483999732028
PHT_L,-2.5538450397890755
PH_L,-2.740079601768346
TPOJ1_L,-2.080797757000539
TPOJ2_L,-2.665426694487106
TPOJ3_L,-2.6037861814509418
DVT_L,-2.761416966252875
PGp_L,-2.66446012697239
IP2_L,-2.486592425289862
IP1_L,-2.913994696759494
IP0_L,-3.9394919976861016
PFop_L,-1.1528633132517563
PF_L,-1.7970858030950585
PFm_L,-2.7084110718685594
PGi_L,-2.584625676522145
PGs_L,-2.689053533780791
V6A_L,-2.909484431044848
VMV1_L,0.1105059655746898
VMV3_L,-1.6843543987089886
PHA2_L,1.0307839116888604
V4t_L,-3.0915538945284364
FST_L,-3.02234517180017
V3CD_L,-3.1002439295069624
LO3_L,-3.369969850614198
VMV2_L,-0.9803737037568165
31pd_L,-1.745041056591154
31a_L,-0.8461612592237732
VVC_L,-0.110725709715613
25_L,4.307298416765859
s32_L,4.309283656919398
pOFC_L,4.458575428441474
PoI1_L,3.9211589039119428
Ig_L,2.1159747176537946
FOP5_L,1.8390750871354615
p10p_L,2.150986726655446
p47r_L,0.8958620313899274
TGv_L,4.089299681944717
MBelt_L,1.4999514560878529
LBelt_L,0.6110115165316554
A4_L,-0.555035092493754
STSva_L,0.6442386007857331
TE1m_L,-0.3262871831822162
PI_L,2.8990180725367605
a32pr_L,1.593418127693506
p24_L,3.6677992167714275
V1_R,-1.847768328788771
MST_R,-2.9264640317815975
V6_R,-1.7703050906855957
V2_R,-1.9527202899551392
