receptor,receptor_loading
5HT1a,0.5682363958774004
5HT1b,-0.005308211352214314
5HT2a,-0.11061589350243663
5HT4,0.11401103534509621
5HT6,0.13456528324507624
5HTT,0.6227628967826626
A4B2,0.16041331552374663
CB1,0.4891865282627226
D1,0.5402057398795869
D2,0.4560376617197037
DAT,0.480334434322832
GABAa,-0.13562476491143108
H3,0.5569907481898572
M1,0.006321407385107924
mGluR5,0.27109255451309505
MOR,0.6206681999318693
KOR,0.3848865401408982
NET,-0.15071541755254392
NMDA,0.2289392827385379
VAChT,0.4663379555176134
