region,arousal
V1_L,-0.0852712693842165
MST_L,-0.7439731241895844
V6_L,0.1477464967668441
V2_L,-0.342431132809418
V3_L,-0.07435338069670641
V4_L,0.13708130640597865
V8_L,0.8650002800510066
4_L,-1.9361779643979078
3b_L,-2.029114492374735
FEF_L,-1.205734773596304
PEF_L,-2.7488726992019004
55b_L,-1.0485854139999689
V3A_L,0.5038041768149711
RSC_L,0.9057589863847766
POS2_L,0.23235258442058374
V7_L,0.6001235346704593
IPS1_L,-1.5372186777364814
FFC_L,-0.04533273172541943
V3B_L,1.2289048685077448
LO1_L,1.4723690679799992
LO2_L,-0.11814249324051174
PIT_L,0.4761832344113005
MT_L,-0.16998802289176532
A1_L,-1.6321052922368755
PSL_L,-2.332983926170383
SFL_L,0.3235569887674617
PCV_L,0.12235309713452247
STV_L,-2.2662616841988172
7Pm_L,-1.1182164008927238
7m_L,-0.45297800723465914
POS1_L,-0.041904390509426424
23d_L,0.10550885595776964
v23ab_L,0.9155252063791827
d23ab_L,0.10605202296616256
31pv_L,-0.9865175971189699
5m_L,-0.6739845295293194
5mv_L,-0.04971416415328286
23c_L,0.573524709400305
5L_L,-0.48541662661645657
24dd_L,-1.168633386063416
24dv_L,-0.20439633263553433
7AL_L,-1.543500163127234
SCEF_L,-1.870705437285969
6ma_L,-0.851590971291382
7Am_L,0.03272049939547917
7Pl_L,-0.652241034417991
7PC_L,-1.7350717102297257
LIPv_L,-2.4977245122988148
VIP_L,-1.1071396626219305
MIP_L,-3.1128914345874636
1_L,-1.3054339573294025
2_L,-2.3497531511077083
3a_L,-1.9083675137839033
6d_L,-1.588994956847467
6mp_L,-1.5202372843945724
6v_L,-1.757195413795113
p24pr_L,1.4116771305976303
33pr_L,2.635696460435751
a24pr_L,2.1724177387727512
p32pr_L,-0.3344396560556145
a24_L,2.09113468089042
d32_L,0.17097782313847495
8BM_L,-0.9486869658992074
p32_L,1.4935586389141506
10r_L,0.5319504372187126
47m_L,0.47064574493840916
8Av_L,-0.3437485282757323
8Ad_L,0.5653232428345347
9m_L,-0.12227910063220995
8BL_L,0.19546887377113412
9p_L,-0.4300864954672359
10d_L,0.0850433761318001
8C_L,-1.91882622426463
44_L,-1.96241203972793
45_L,-1.17264752498822
47l_L,-0.10873182962841689
a47r_L,-0.46003809626748277
6r_L,-3.1261475275647945
IFJa_L,-2.3498442474365158
IFJp_L,-3.7186369939385666
IFSp_L,-2.1588349114077876
IFSa_L,-1.9666212553006943
p9-46v_L,-1.8315790844100344
46_L,-0.9452743062962992
a9-46v_L,-0.6841916701092197
9-46d_L,0.003849732869115587
9a_L,-0.25404240932780525
10v_L,0.10262177741625045
a10p_L,-0.5532960238472914
10pp_L,0.3741873830044244
11l_L,0.09296726412650798
13l_L,0.49288894551600115
OFC_L,0.44892062121986503
47s_L,1.6103284617644467
LIPd_L,-3.100041986214131
6a_L,-1.6184676153407476
i6-8_L,-1.3137717259427752
s6-8_L,1.221149188673506
43_L,-1.6657479617066964
OP4_L,-1.7114823330397255
OP1_L,-1.6646160089877327
OP2-3_L,0.3072347582417555
52_L,0.1887916305525766
RI_L,-1.1826859342779283
PFcm_L,-3.247426525643451
PoI2_L,1.7895449370998993
TA2_L,0.030465772162483678
FOP4_L,0.008166152574159573
MI_L,0.942313927312553
Pir_L,4.790935588241543
AVI_L,0.1532758302268484
AAIC_L,0.6962627792373565
FOP1_L,-1.0217907705703837
FOP3_L,0.9441500832983247
FOP2_L,-0.9343197945218422
PFt_L,-2.5533578382921434
AIP_L,-2.5777025701022978
EC_L,6.769879282120345
PreS_L,2.0793952964501563
H_L,3.2507324408427216
ProS_L,-0.7582204263235341
PeEc_L,2.2495104372592882
STGa_L,0.013177185218169768
PBelt_L,-2.742666447653264
A5_L,-1.9917061780747072
PHA1_L,1.4400372142998459
PHA3_L,0.2996860569578751
STSda_L,-0.929529693174914
STSdp_L,-2.9954269111422875
STSvp_L,-2.840483723567287
TGd_L,0.24321498219464788
TE1a_L,-1.228234369164204
TE1p_L,-1.6888277842130786
TE2a_L,-0.29106445921466123
TF_L,-0.3023607880522719
TE2p_L,-0.35096850235691657
PHT_L,-1.4347296198700257
PH_L,-1.0329654514531579
TPOJ1_L,-2.120624726449895
TPOJ2_L,-1.8267217815681134
TPOJ3_L,-1.5249344230703759
DVT_L,-0.34580131693775773
PGp_L,0.24632734757766292
IP2_L,-3.471242320765662
IP1_L,-2.970489499885011
IP0_L,-0.12145362394245109
PFop_L,-1.3836682663572808
PF_L,-1.6902791257937755
PFm_L,-1.7291187586268666
PGi_L,-2.101703331372674
PGs_L,-0.9428242051596673
V6A_L,-0.07909785144986335
VMV1_L,-0.3739321865215172
VMV3_L,0.15467455878411607
PHA2_L,0.9446900795707001
V4t_L,0.1690259261454305
FST_L,-0.4285963492265901
V3CD_L,0.9115494360776841
LO3_L,0.7133773973122935
VMV2_L,0.1810216518259438
31pd_L,-0.3557230283242664
31a_L,-0.619815209138503
VVC_L,0.6900228773662205
25_L,2.873658194891583
s32_L,0.9027352735333025
pOFC_L,3.329725373705157
PoI1_L,1.7572256483014523
Ig_L,1.4103110039477342
FOP5_L,-0.10160990678167213
p10p_L,-0.2585265929691817
p47r_L,-0.9259058071551123
TGv_L,-0.019145785975682686
MBelt_L,-0.029501411748620743
LBelt_L,-2.0729711987834767
A4_L,-1.7147347649828761
STSva_L,-1.518685414240437
TE1m_L,-0.8579519326976112
PI_L,1.03520750929133
a32pr_L,1.0931741579626444
p24_L,2.3782020881488117
V1_R,0.3513836042458768
MST_R,0.6390187430212588
V6_R,0.6233000600224522
V2_R,0.316337423316705
V3_R,0.2472404659343764
V4_R,0.7039890284252048
V8_R,-0.13874555656307289
4_R,-1.2402457138364518
3b_R,-1.0645683169650666
FEF_R,-0.7121607685773051
PEF_R,-1.411034078959718
55b_R,-0.5503098241530413
V3A_R,0.9804948445881343
RSC_R,0.7676491803418822
POS2_R,0.49159266553706976
V7_R,0.0838750000219285
IPS1_R,-1.8149018717392693
FFC_R,1.4511328960041692
V3B_R,1.082387487141222
LO1_R,1.4045841684904856
LO2_R,1.23008417538369
PIT_R,1.3298227274342291
MT_R,0.06628686009566716
A1_R,-0.4779045742288984
PSL_R,-1.7380780972451924
SFL_R,-0.6366471316979094
PCV_R,0.47127841178120305
STV_R,-1.4781478706619156
7Pm_R,-0.4323531698320524
7m_R,-0.4547226807892958
POS1_R,-0.04496540040872718
23d_R,0.2260385646621227
v23ab_R,0.05799832794573415
d23ab_R,0.7589611591435185
31pv_R,1.5016386946986182
5m_R,0.1685258787543454
5mv_R,0.016879668560581748
23c_R,0.4330406091689757
5L_R,0.20687010833057123
24dd_R,-0.47691877567875085
24dv_R,0.277918584538818
7AL_R,0.16611508244700934
SCEF_R,-0.9742113083531313
6ma_R,-0.8844271303315129
7Am_R,-0.5188810443841314
7Pl_R,-1.033064259701797
7PC_R,-0.5346259637227349
LIPv_R,-1.4795711866151136
VIP_R,0.040227574409680486
MIP_R,-1.4007678654120164
1_R,-0.7851164067671681
2_R,-1.5797335589783708
3a_R,-1.5857870279544208
6d_R,-1.4786801297202703
6mp_R,-1.397400488286176
6v_R,-1.1475730354377411
p24pr_R,1.5980666790514209
33pr_R,1.7836033031153353
a24pr_R,0.4744310547912486
p32pr_R,-0.49036731453695803
a24_R,2.5561942309251062
d32_R,1.062594954037997
8BM_R,-0.3896515135753172
p32_R,0.5852425241523925
10r_R,0.10753475998171134
47m_R,1.7377977240388665
8Av_R,-0.8931258624389589
8Ad_R,0.045058850305667336
9m_R,0.0783122050453655
8BL_R,-0.37019473313173823
9p_R,-0.5472971010729769
10d_R,0.29313083700428844
8C_R,-1.4557707917364806
44_R,-0.7240561270799101
45_R,-0.5591266868832742
47l_R,0.030163152565053482
a47r_R,0.3775684996801186
6r_R,-1.625610899470199
IFJa_R,-0.9495231907743001
IFJp_R,-2.2341279677614385
IFSp_R,-1.1121355059675568
IFSa_R,-0.5892616908644792
p9-46v_R,-0.6021257746849004
