region,strategy
PFcm_R,-1.8244033712812786
PoI2_R,-2.1436627728546895
TA2_R,-1.4653240869176474
FOP4_R,0.08341348312627009
MI_R,-0.036138287886812885
Pir_R,-1.1132275296019578
AVI_R,1.1959441490495928
AAIC_R,1.225134455527872
FOP1_R,-1.0980350654963364
FOP3_R,-1.362331925892658
FOP2_R,-2.1064599010171814
PFt_R,-1.2379210236224703
AIP_R,1.2235098347718216
EC_R,-0.7195391642366518
PreS_R,-0.7305988065886698
H_R,-1.1854955498887547
ProS_R,0.1663101460456363
PeEc_R,-1.4129255227
STGa_R,-0.3942061560158216
PBelt_R,-2.8567845792834787
A5_R,-2.700070892217782
PHA1_R,0.40856092451650755
PHA3_R,0.2034577858709947
STSda_R,-1.797849146481984
STSdp_R,-2.951645460215057
STSvp_R,-2.498091168723718
TGd_R,-1.1368276234674652
TE1a_R,-0.5702455146513745
TE1p_R,-0.9963218693408735
TE2a_R,-0.45935275232797806
TF_R,-0.6778672007711606
TE2p_R,-0.4269744597016592
PHT_R,-0.19688576383111064
PH_R,-0.20085964839055517
TPOJ1_R,-1.8648210320278154
TPOJ2_R,-1.7204429492235045
TPOJ3_R,-0.45258368436109353
DVT_R,1.8001184309904819
PGp_R,0.7600155738881788
IP2_R,2.74333972010051
IP1_R,2.3816195173197636
IP0_R,2.1298491707894116
PFop_R,-1.180754494277316
PF_R,-0.2775628082443683
PFm_R,0.3649570606247267
PGi_R,-0.18414886592182964
PGs_R,1.2268176541043305
V6A_R,1.8385219213275714
VMV1_R,0.36343661545612443
VMV3_R,-0.8750061820778351
PHA2_R,0.2635402207077547
V4t_R,-1.3273430249431588
FST_R,-1.2231613164866832
V3CD_R,0.3429112658478407
LO3_R,-0.12018337131267036
VMV2_R,-0.0054584033184486985
31pd_R,-0.19986985741622726
31a_R,-0.47628046652780365
VVC_R,-0.1317296197209006
25_R,0.12780915646309549
s32_R,2.85645682036279
pOFC_R,-0.19999775444004128
PoI1_R,-3.2206131358615893
Ig_R,-2.4158347910859606
FOP5_R,0.24121490052139155
p10p_R,2.6828867922085275
p47r_R,4.8162515476394345
TGv_R,-1.2830732284024688
MBelt_R,-2.774201303562074
LBelt_R,-3.1451396470400055
A4_R,-1.8744887120538012
STSva_R,-0.9801217034327696
TE1m_R,-1.3726378884722823
PI_R,-2.3377070904452157
a32pr_R,2.0332503947377862
p24_R,0.3527204183395567
