region,language comprehension
V1_L,-0.7588279557916331
MST_L,2.243702571154878
V6_L,-0.9644724433426733
V2_L,-0.6597355529592535
V3_L,-0.6504607926558928
V4_L,-0.3783127750708518
V8_L,-0.27454438382355134
4_L,-0.15474200061422677
3b_L,-0.4824889468799636
FEF_L,4.935295139870956
PEF_L,6.028567726321914
55b_L,3.229950722845298
V3A_L,-1.1282091390066675
RSC_L,-0.764265974732695
POS2_L,-0.5867286256346179
V7_L,-0.3547982944473756
IPS1_L,0.12097107158597001
FFC_L,1.6770784436293689
V3B_L,0.168011562320389
LO1_L,-0.9549293063468964
LO2_L,1.2504113937170414
PIT_L,0.997941059820909
MT_L,0.648923367520795
A1_L,-0.22067716166202453
PSL_L,2.1809208773541746
SFL_L,0.6734234822570971
PCV_L,-1.983623033265102
STV_L,3.7876901867009796
7Pm_L,-0.7693845777630931
7m_L,-1.2383461317053694
POS1_L,-0.6305450093745582
23d_L,-0.6945964049315309
v23ab_L,-1.177565685932407
d23ab_L,-0.862440987827817
31pv_L,-0.9638457751301107
5m_L,-1.3613047432501155
5mv_L,-1.9282649963759737
23c_L,-1.41179577501928
5L_L,-0.8141158824495391
24dd_L,-0.8133831535566557
24dv_L,1.4932681979231701
7AL_L,-1.2424407633922918
SCEF_L,4.365704993531074
6ma_L,-0.11481579362329229
7Am_L,-0.86745208669097
7Pl_L,-0.5791800091955114
7PC_L,-0.37340043504579873
LIPv_L,-0.13038425086089186
VIP_L,-1.0090030706684947
MIP_L,0.018686746366744753
1_L,-0.3598189152964468
2_L,-1.1181856689288088
3a_L,-0.6054266643731882
6d_L,0.2584415171730779
6mp_L,-0.672352088559457
6v_L,2.663730256322181
p24pr_L,-1.0752944500242052
33pr_L,-1.867220291333705
a24pr_L,-1.1893942497111425
p32pr_L,1.4533288038335412
a24_L,-1.9037321473787627
d32_L,-0.9555039019492609
8BM_L,0.9011846446768935
p32_L,-1.5972122059307334
10r_L,-0.8557161569763244
47m_L,2.3919697156037687
8Av_L,-0.11975839235737819
8Ad_L,-0.3221450471289951
9m_L,-0.800409693024713
8BL_L,0.4397778153851013
9p_L,-0.06829771645196095
10d_L,-1.095515451891825
8C_L,1.8956804116704384
44_L,10.222724548858668
45_L,7.0837837025540376
47l_L,5.818059905384301
a47r_L,0.596544225659339
6r_L,6.949456289711249
IFJa_L,5.540532185742508
IFJp_L,5.01433365057584
IFSp_L,4.642390517313619
IFSa_L,4.632610606404986
p9-46v_L,1.130987079080713
46_L,-0.20960140151116172
a9-46v_L,0.005506084640858203
9-46d_L,-0.9912229481302164
9a_L,-0.709038251936996
10v_L,-0.7787143519907318
a10p_L,-1.4383827678151289
10pp_L,-0.5213027608785195
11l_L,-0.8624818309663231
13l_L,-0.7202228477281661
OFC_L,-1.158996877023997
47s_L,0.34675637436608475
LIPd_L,1.513046342032337
6a_L,0.10553816917150836
i6-8_L,-0.20276417831985277
s6-8_L,-0.015030211987072068
43_L,1.5116311306090144
OP4_L,0.23990774437229542
OP1_L,-0.15966854531007227
OP2-3_L,0.47655275362198657
52_L,0.2837893388062696
RI_L,0.18563042248889844
PFcm_L,-0.05059784460122331
PoI2_L,-0.07407108317945338
TA2_L,2.8057681384234487
FOP4_L,3.4417642630115544
MI_L,1.5249984893131356
Pir_L,-0.9640530754941132
AVI_L,3.553333581404339
AAIC_L,0.6577497758364861
FOP1_L,2.6615002777166326
FOP3_L,1.145655005391814
FOP2_L,1.347815039308233
PFt_L,-0.3144081555381489
AIP_L,0.47091279708743045
EC_L,-1.5405340193004988
PreS_L,-1.0923499279330515
H_L,-0.6020770112306618
ProS_L,-0.6586696776740351
PeEc_L,-0.2293812844060933
STGa_L,3.4163028867981318
PBelt_L,1.7422155500672272
A5_L,3.8165328464085464
PHA1_L,-0.7807642057849701
PHA3_L,-0.02874599798254236
STSda_L,5.119668122829409
STSdp_L,6.322819671560216
STSvp_L,10.998279512473175
TGd_L,0.409819663506116
TE1a_L,2.2988258157341135
TE1p_L,3.7592584444060826
TE2a_L,0.3299469885212332
TF_L,0.4571166649100318
TE2p_L,0.7847742162316261
PHT_L,4.116447478461406
PH_L,1.8833974726229232
TPOJ1_L,8.618809715406684
TPOJ2_L,2.816182684453118
TPOJ3_L,0.5141400959882816
DVT_L,-0.5982598025984096
PGp_L,0.36298103626617295
IP2_L,0.9961918414682979
IP1_L,2.094911276877252
IP0_L,0.569213248074408
PFop_L,-1.0019969971521288
PF_L,0.86792465715245
PFm_L,0.253560419048226
PGi_L,0.8950533777139997
PGs_L,-0.02001454490765415
V6A_L,-0.6524084651285031
VMV1_L,-0.8515740896706713
VMV3_L,-0.5664546248221881
PHA2_L,-0.09731462638036185
V4t_L,0.9025710244102884
FST_L,1.6033227234846772
V3CD_L,-0.9884558781891228
LO3_L,-0.4148956000162948
VMV2_L,-1.3030409499425881
31pd_L,-0.9021460379016453
31a_L,-1.46623537890186
VVC_L,0.10696055567322141
25_L,-1.9113842385905906
s32_L,-1.2286471777877876
pOFC_L,-1.6316342550643907
PoI1_L,0.10371709865413702
Ig_L,-0.626211822658797
FOP5_L,4.299918484238218
p10p_L,-1.0562640930652512
p47r_L,2.2186354413718474
TGv_L,0.2475141228643928
MBelt_L,1.2817589089417687
LBelt_L,1.125038780443168
A4_L,1.029663074520996
STSva_L,6.131198009844016
TE1m_L,2.050420542456353
PI_L,2.0362179361968695
a32pr_L,-0.7139957589247393
p24_L,-1.5004504425972471
V1_R,-0.499907464743228
MST_R,-0.9952022475422413
V6_R,-1.0491922337561486
V2_R,-0.7027644482904226
V3_R,-0.813326390236665
V4_R,-0.8600095139617199
V8_R,-1.4658008542806455
4_R,-0.7031659323032938
3b_R,-0.5987706169697012
FEF_R,0.5533021763091902
PEF_R,-0.256364566943693
55b_R,0.23457590638382947
V3A_R,-0.7313836913987675
RSC_R,-0.790030446253138
POS2_R,-0.8106422690005142
V7_R,-0.5306000196075414
IPS1_R,-0.7702228823033824
FFC_R,-0.32159467007246073
V3B_R,-0.510818609795809
LO1_R,-1.0299811727394763
LO2_R,-1.0504894128163413
PIT_R,-0.8274748787750476
MT_R,-1.1614289202778034
A1_R,-0.6827390466002788
PSL_R,-1.404094293019938
SFL_R,-0.98177233307962
PCV_R,-1.4172555859063372
STV_R,-1.3889177384018978
7Pm_R,-0.8220053315949944
7m_R,-1.7239420278736808
POS1_R,-1.1683784337440895
23d_R,-0.7641195763850743
v23ab_R,-1.3589992424915367
d23ab_R,-1.3642212118458397
31pv_R,-1.3709241469854294
5m_R,-1.2084782856644805
