region,language comprehension
5mv_R,-1.3314764847800362
23c_R,-0.86495611314538
5L_R,-0.7895569923334931
24dd_R,-1.5030673365634506
24dv_R,-0.7681581845316776
7AL_R,-1.2720294272780932
SCEF_R,-0.6960848181636563
6ma_R,-0.9823497498177944
7Am_R,-1.325606326418707
7Pl_R,-0.5640419184910916
7PC_R,-0.7971307707088582
LIPv_R,-0.8934978074360032
VIP_R,-1.24154066574583
MIP_R,-0.19083713211365913
1_R,-0.6587615333606066
2_R,-1.2630030699724253
3a_R,-0.6803953949603423
6d_R,-0.6090905273669048
6mp_R,-1.1711899769741683
6v_R,-0.05356625512094708
p24pr_R,-1.3713664335877072
33pr_R,-2.2915766916553095
a24pr_R,-2.01434610477072
p32pr_R,-0.5201429857158658
a24_R,-2.3585900861680114
d32_R,-1.8623613064149427
8BM_R,-0.8004713631189764
p32_R,-1.920035533411538
10r_R,-1.8251542351565913
47m_R,0.1309074482284294
8Av_R,-0.6197517827655118
8Ad_R,-0.5386080268324818
9m_R,-1.5781410676400127
8BL_R,-1.0575276413896637
9p_R,-1.3136582530700591
10d_R,-0.7046947968507129
8C_R,-0.6100380671414936
44_R,2.033260227953102
45_R,1.5674552321194262
47l_R,1.3337376761653945
a47r_R,-0.8442159258132709
6r_R,0.3957576489548686
IFJa_R,1.4143835321073277
IFJp_R,-1.1320298342312034
IFSp_R,0.1620937368489626
IFSa_R,-0.256352729308427
p9-46v_R,-0.01960975410308902
46_R,-0.7462732135433499
a9-46v_R,-1.3487896191179287
9-46d_R,-1.2295836286581483
9a_R,-1.2962775056417084
10v_R,-1.1576497402457289
a10p_R,-0.7200565901833852
10pp_R,-0.7522801093558298
11l_R,-0.9445509882028995
13l_R,-1.1934468628228427
OFC_R,-0.9851920592106872
47s_R,-1.014544426651872
LIPd_R,-0.2445679567944315
6a_R,-1.4310916415596622
i6-8_R,-0.8220153940005158
s6-8_R,-0.6472441986161654
43_R,0.1250926178272654
OP4_R,0.011893665983736063
OP1_R,-0.7453651917421138
OP2-3_R,-0.6288720403047459
52_R,-0.5386822413434661
RI_R,-1.363808369991029
PFcm_R,-1.1061836509488812
PoI2_R,-0.7657986280397356
TA2_R,0.732805625307796
FOP4_R,-0.027284286059759664
MI_R,-0.16934602411896807
Pir_R,-0.21804806388889555
AVI_R,1.1051849915503036
AAIC_R,0.5703511370374492
FOP1_R,-0.31210108328990827
FOP3_R,-0.6916688889064867
FOP2_R,-0.40456333426220803
PFt_R,-1.6838516716509864
AIP_R,-1.1511550564950856
EC_R,-1.3818657683581468
PreS_R,-1.2818146496268767
H_R,-1.306881183150586
ProS_R,-0.14808898163256587
PeEc_R,-1.0932787763358516
STGa_R,2.71221372721297
PBelt_R,0.0414983186190383
A5_R,2.2105505213202865
PHA1_R,-1.6585621058048223
PHA3_R,-1.1283339113200659
STSda_R,2.8620147929504545
STSdp_R,2.2259411924425945
STSvp_R,1.8487159658020178
TGd_R,-0.5856886413117415
TE1a_R,0.33507746001139704
TE1p_R,0.2650173164859745
TE2a_R,-0.012499181431828437
TF_R,0.13376720652116533
TE2p_R,0.31346602640912713
PHT_R,-0.3119204503082942
PH_R,-0.4616258387332854
TPOJ1_R,0.01703742432147101
TPOJ2_R,-0.4686186909832981
TPOJ3_R,-0.9594688302371258
DVT_R,-0.9989831921869673
PGp_R,-0.13549022803051375
IP2_R,-0.8046183239347339
IP1_R,0.024957249263046908
IP0_R,-0.5400103699913439
PFop_R,-1.4596704938608418
PF_R,-0.9212575530350466
PFm_R,-1.0244568327776697
PGi_R,-0.9471491088796858
PGs_R,-0.3499946011084645
V6A_R,-0.43766548239509506
VMV1_R,-1.0242472183249933
VMV3_R,-1.2077009736929736
PHA2_R,-1.3086897680179088
V4t_R,-1.2496560358672368
FST_R,-0.9083174504319136
V3CD_R,-1.352758455660955
LO3_R,-0.6455701620964491
VMV2_R,-0.7241370951754303
31pd_R,-1.4778850865603321
31a_R,-0.848368769581156
VVC_R,-0.95111086516481
25_R,-1.9208601978018
s32_R,-1.4778759312333485
pOFC_R,-1.634200563830665
PoI1_R,-0.4743368123767772
Ig_R,-0.9656325530584636
FOP5_R,0.19562367284279872
p10p_R,-1.2866555507285455
p47r_R,-0.6327080915997089
TGv_R,-0.9767788825685662
MBelt_R,0.1769734179503333
LBelt_R,-0.4199645736855843
A4_R,0.04765156157484887
STSva_R,1.8554727434234015
TE1m_R,-0.2594472333920299
PI_R,1.203096071489401
a32pr_R,-1.475603673036235
p24_R,-1.9277702878545058
