region,extinction
45_L,-1.9078436827500245
47l_L,-1.3742073428657107
a47r_L,-0.5484177240331739
6r_L,-3.150252270346012
IFJa_L,-2.3432900329381803
IFJp_L,-3.171732598288764
IFSp_L,-1.9076955658101797
IFSa_L,-2.2153258483794436
p9-46v_L,-1.6028409742751095
46_L,-1.3360595316980968
a9-46v_L,-1.2934363802448527
9-46d_L,-0.8405162724991184
9a_L,-1.0256685013442426
10v_L,1.0162886695076836
a10p_L,-1.1677688869960656
10pp_L,0.11094022651455049
11l_L,-0.1430193029632084
13l_L,0.32640997961776164
OFC_L,0.9509691187756908
47s_L,0.1940096843565982
LIPd_L,-2.3215648560545916
6a_L,-1.949036113417436
i6-8_L,-1.9253523281624843
s6-8_L,0.33437346576883104
43_L,-1.857195761461014
OP4_L,-1.7404432118241897
OP1_L,-1.384908815595186
OP2-3_L,-0.06425189450295489
52_L,0.20773268999335626
RI_L,-0.7953631607223975
PFcm_L,-1.9694990633518246
PoI2_L,0.7437725880896353
TA2_L,-1.455667441631456
FOP4_L,-1.4025674373971748
MI_L,-0.49917944046904583
Pir_L,1.656300306376346
AVI_L,-0.27091636627360016
AAIC_L,-0.509446934538789
FOP1_L,-1.9013845733000658
FOP3_L,-0.34350124098677937
FOP2_L,-0.9380846690824054
PFt_L,-1.6165825949520638
AIP_L,-1.616431621920054
EC_L,4.905078835502376
PreS_L,5.437563511023406
H_L,7.366992575677134
ProS_L,0.6949740506993476
PeEc_L,1.8336004386490563
STGa_L,-1.0141019409254444
PBelt_L,-2.2723808595760895
A5_L,-2.5215808980722434
PHA1_L,4.292956251523342
PHA3_L,2.6459412549394186
STSda_L,-1.9230553298496529
STSdp_L,-3.1931952971533697
STSvp_L,-3.6662253632975115
TGd_L,-0.4831536289699479
TE1a_L,-1.1957244697546319
TE1p_L,-1.2783138904335183
TE2a_L,-0.06051489432233856
TF_L,0.5465008027102635
TE2p_L,-0.010401030408030705
PHT_L,-1.797691815643119
PH_L,0.7844145413781347
TPOJ1_L,-2.8017380055799372
TPOJ2_L,-2.3184580678587143
TPOJ3_L,-1.5452140171595241
DVT_L,-0.8775990634225096
PGp_L,0.5911739380044877
IP2_L,-3.2059690644464727
IP1_L,-1.7570376555522327
IP0_L,1.392854022226325
PFop_L,-1.1061727396087409
PF_L,-1.6770256695622343
PFm_L,-1.7664586800382287
PGi_L,-2.640979823752931
PGs_L,-0.794357054750645
V6A_L,0.2188066811117383
VMV1_L,1.8492454046871052
VMV3_L,2.7467012897455083
PHA2_L,5.720489518844425
V4t_L,1.057363182452686
FST_L,0.45761156579070683
V3CD_L,1.8202976311686059
LO3_L,0.24013956477414253
VMV2_L,1.8966064891416288
31pd_L,-2.479841506901807
31a_L,-1.5506830139168255
VVC_L,3.1849724500676966
25_L,2.520229246665256
s32_L,1.8859515257460397
pOFC_L,2.2153315296155567
PoI1_L,1.0514044959515403
Ig_L,0.8594167132356167
FOP5_L,-0.6976151882624743
p10p_L,-0.6261536504612262
p47r_L,-1.6118810016249792
TGv_L,-0.3132106330084879
MBelt_L,-1.2326750912528122
LBelt_L,-1.5952807057008773
A4_L,-1.996162797041922
STSva_L,-2.0329544920032485
TE1m_L,-1.1536536138341773
PI_L,0.09409798971951526
a32pr_L,-1.4503941082448568
p24_L,0.05270911026795068
V1_R,2.524907814626382
MST_R,0.23658699694754914
V6_R,0.36239660457303474
V2_R,1.351482755966829
V3_R,1.4285740395678148
V4_R,2.2754654020282974
V8_R,2.2075920312205284
4_R,-1.0275681196785817
3b_R,-0.8093458458547417
FEF_R,-1.4358170913911625
PEF_R,-1.5699427929075318
55b_R,-1.0882119399125725
V3A_R,1.2154871585282092
RSC_R,-0.3461769278019087
POS2_R,-1.1058973217878443
V7_R,1.8564190696704308
IPS1_R,-1.355677157457489
FFC_R,2.331253820566101
V3B_R,2.328513829766877
LO1_R,2.4914031108132138
LO2_R,1.924591027264349
PIT_R,1.860568289799444
MT_R,-0.16001496815687108
A1_R,-0.4546637402927816
PSL_R,-1.5191959498874017
SFL_R,-1.2788030341527041
PCV_R,-1.115919627022492
STV_R,-2.0034660585180717
7Pm_R,-0.45847374018628234
7m_R,-3.0475036161239806
POS1_R,-0.6250086817327724
23d_R,-1.0674390304249022
v23ab_R,-1.2404332055373597
d23ab_R,-1.6286789982681669
31pv_R,-1.3853395538965074
5m_R,-0.5599171289469623
5mv_R,-0.49903189213453025
23c_R,-0.840765708834986
5L_R,-0.5040895971514364
24dd_R,-0.6638326514234291
24dv_R,-0.9379889226385393
7AL_R,0.39198133690739256
SCEF_R,-2.0772785506050955
6ma_R,-1.3006208503633483
7Am_R,-0.25625721781450844
7Pl_R,0.3677671997094067
7PC_R,-0.008328173109515946
LIPv_R,-0.12842011443167395
VIP_R,0.5707539768510694
MIP_R,-0.601952167541154
1_R,-0.24087115592456113
2_R,-0.7645942224350626
3a_R,-1.673425041676284
6d_R,-1.4924831846740851
6mp_R,-1.2409942255157436
6v_R,-0.5833599365511661
p24pr_R,-0.3465530612571976
33pr_R,-1.7497358820612794
a24pr_R,-2.436018276907881
p32pr_R,-1.9675342642390259
a24_R,2.7256650896541803
d32_R,-1.252580931584433
8BM_R,-1.9492796894060351
p32_R,0.2939084198338913
10r_R,1.9233638195258436
47m_R,0.02573370327470527
8Av_R,-1.0186284836233814
8Ad_R,-0.9872671822207244
9m_R,-0.9624170418459799
8BL_R,-1.0041766258187719
9p_R,-0.9072617171096026
10d_R,0.6311486596182472
8C_R,-1.5929412737906612
44_R,-2.1958132906408316
45_R,-2.570810112110077
47l_R,-0.7520929471768746
a47r_R,-0.6003841666845968
6r_R,-2.0678094175168917
IFJa_R,-1.7886051618538918
IFJp_R,-2.927399179403521
IFSp_R,-1.6332826931789166
IFSa_R,-1.4210809046599375
p9-46v_R,-1.1028451931863483
46_R,-0.7823927197698961
a9-46v_R,-0.3218713403656116
9-46d_R,-0.5384248959113608
9a_R,0.07100250280195348
10v_R,1.5036193501377526
a10p_R,-0.2990664074805522
10pp_R,0.8219474728024813
11l_R,-0.3574353126899099
13l_R,-0.7392436788230679
OFC_R,0.7767120758290973
47s_R,-0.20150582693027272
LIPd_R,-1.9499683333957416
6a_R,-1.6344449952420173
i6-8_R,-1.0539595684442622
s6-8_R,-0.6838243585753765
43_R,-1.8129662609112742
OP4_R,-1.856310564835704
OP1_R,0.6363099559957524
OP2-3_R,-0.42889755574570226
52_R,0.03983993484450222
RI_R,-0.8905473164056403
PFcm_R,-0.5405660308777774
PoI2_R,0.28562879575225547
TA2_R,-1.6954319482163063
FOP4_R,-1.439312644797299
MI_R,-0.21555259364633086
Pir_R,1.277217235480242
AVI_R,-0.44403649773976445
AAIC_R,-1.0016156277902124
FOP1_R,-0.7769399377423387
FOP3_R,-0.2151251522369336
FOP2_R,-1.0285491497818315
PFt_R,-0.818036916304764
AIP_R,-1.8824673995124317
EC_R,6.326150166795944
PreS_R,5.418149332652608
H_R,7.482781102467711
ProS_R,0.5548973061067839
PeEc_R,2.080142598669504
STGa_R,-1.396454221226655
PBelt_R,-2.5981342187297143
A5_R,-2.829427007615544
PHA1_R,4.856602622446229
PHA3_R,3.842027755620926
STSda_R,-1.6322840772226115
STSdp_R,-2.2857834828271657
STSvp_R,-2.5091817491523187
TGd_R,-0.26242716934556287
TE1a_R,-0.7376008830437424
TE1p_R,-1.4339842674117012
TE2a_R,-0.047379867680844956
TF_R,1.2428549228015278
TE2p_R,0.9904237595161576
PHT_R,-1.2759175145330475
PH_R,1.631828811701076
TPOJ1_R,-2.3723196509423996
TPOJ2_R,-1.5712590238459996
TPOJ3_R,-2.8332911259745304
DVT_R,-0.5365996297792476
PGp_R,-0.584737993146923
IP2_R,-2.484426564235658
IP1_R,-1.9889575712522394
IP0_R,1.446628248378299
PFop_R,-0.8943506390963312
PF_R,-0.607178009570804
PFm_R,-1.6063039121198395
PGi_R,-2.7431422268729264
PGs_R,-1.170590765332612
V6A_R,-0.42768171497273655
VMV1_R,2.471255792360753
VMV3_R,1.6676891486324505
PHA2_R,6.593512684519292
V4t_R,2.3155550589193274
FST_R,0.5789990047090832
V3CD_R,2.2376861678919435
LO3_R,0.191579831202306
VMV2_R,1.6581500911346936
31pd_R,-0.7679129271742602
31a_R,-1.05344046869343
VVC_R,2.7577578758587142
25_R,2.954029902197205
s32_R,4.23149038162819
pOFC_R,1.0909064457912234
PoI1_R,0.8689102641549632
Ig_R,0.6871839889177423
FOP5_R,-0.6475219027155432
p10p_R,-0.18006373710161802
p47r_R,-0.9838177346868269
TGv_R,-0.04893210249068832
MBelt_R,-1.4875735083029398
LBelt_R,-1.3124723798609603
A4_R,-2.40687603543157
STSva_R,-0.8207914273664143
TE1m_R,-0.9943380710512796
PI_R,-0.530040470912935
a32pr_R,-1.7004100564038094
p24_R,-0.5066867404966782
