region,extinction
V1_L,2.2128263396481236
MST_L,-0.25229200921569206
V6_L,-0.6543369820962072
V2_L,0.8394815120014089
V3_L,0.7673748189560374
V4_L,1.7129979524944945
V8_L,2.713594296331809
4_L,-1.6215870362890556
3b_L,-1.4800364810087638
FEF_L,-1.2840905898853852
PEF_L,-2.3589561777357746
55b_L,-1.1495602840034607
V3A_L,0.129270458098959
RSC_L,0.00796156728901286
POS2_L,-1.5609227031252095
V7_L,1.1865618301442449
IPS1_L,-0.44263082873668425
FFC_L,1.8953552070829742
V3B_L,2.2559992432243106
LO1_L,1.477981845537858
LO2_L,1.1311230260041811
PIT_L,1.5331642136678991
MT_L,0.17497460180205493
A1_L,-1.333970173952275
PSL_L,-2.337145661852178
SFL_L,-1.0729495973120207
PCV_L,-1.4524274244491127
STV_L,-2.458479610841424
7Pm_L,-1.574297472852349
7m_L,-2.7713452795758493
POS1_L,-0.4823456725294722
23d_L,-0.8244636165747409
v23ab_L,-0.769574972279177
d23ab_L,-1.7652897990038796
31pv_L,-2.169012335059457
5m_L,-1.1676934855674186
5mv_L,-0.9481653014240871
23c_L,-0.5582661396639292
5L_L,-0.020471934153069863
24dd_L,-1.108185385379404
24dv_L,-1.153253041627275
7AL_L,-0.6869801765708852
SCEF_L,-2.778171662235537
6ma_L,-1.2225684233573069
7Am_L,-0.3669797550595771
7Pl_L,-0.6957094795555008
7PC_L,-0.9002747979512988
LIPv_L,-0.9418121628498042
VIP_L,0.3048936399406992
MIP_L,-2.156119178986301
1_L,-0.5870002813292073
2_L,-0.7960158592136964
3a_L,-1.8235130503429702
6d_L,-1.196920739342579
6mp_L,-1.5165588471815883
6v_L,-1.5388406395208853
p24pr_L,-0.6385201657170726
33pr_L,-1.2877541523118448
a24pr_L,-1.7457214439102315
p32pr_L,-2.026007676219903
a24_L,2.739377315608916
d32_L,-1.1188459245257085
8BM_L,-2.421798653212693
p32_L,1.6330757263360702
10r_L,2.7518680461470106
47m_L,-0.23533327942523605
8Av_L,-0.6131658799667732
8Ad_L,-0.31988668401042647
9m_L,-0.8961601219842891
8BL_L,-0.8322217171131677
9p_L,-1.5485359555070308
10d_L,0.7282907758156794
8C_L,-2.0325245643857777
44_L,-2.390382685878963
