region,belief
V1_L,-0.2658707361567215
MST_L,-0.3529273812975959
V6_L,3.7084503539419793
V2_L,0.05799924200517673
V3_L,0.20536639349262714
V4_L,-0.1628289278806924
V8_L,-0.4000019827734399
4_L,-1.0710310729577794
3b_L,-1.0035839576445527
FEF_L,0.3632037926392301
PEF_L,0.40709340850860587
55b_L,0.2570380731060491
V3A_L,1.2709462391681035
RSC_L,0.16343896044837383
POS2_L,7.046692704917381
V7_L,2.723003110172445
IPS1_L,5.5105504121420585
FFC_L,-1.0751214151134167
V3B_L,2.2333662924939524
LO1_L,1.3225603785048974
LO2_L,0.2773435345040724
PIT_L,-0.04303459467004163
MT_L,-0.3590267381103644
A1_L,-0.900100371499591
PSL_L,1.089890156819668
SFL_L,0.11724876276650202
PCV_L,3.663121173592721
STV_L,0.053955411386660546
7Pm_L,5.850356941465502
7m_L,4.287247080344285
POS1_L,2.2809090058745807
23d_L,0.37777585913328515
v23ab_L,2.4145525776454093
d23ab_L,0.2990536769789128
31pv_L,0.2636964614457887
5m_L,0.9620508506331236
5mv_L,0.8831383583884236
23c_L,0.3850398443446562
5L_L,1.0041679840222717
24dd_L,0.17010101462289756
24dv_L,1.2734175235211715
7AL_L,2.059926621061065
SCEF_L,0.4004350137783982
6ma_L,0.3820102804911307
7Am_L,3.9279458866021404
7Pl_L,4.453016319208827
7PC_L,1.8012264603867114
LIPv_L,3.399242294215549
VIP_L,2.2114302619791726
MIP_L,4.1640498994263675
1_L,-0.36297112508827206
2_L,-0.06723534309950421
3a_L,-0.9222050315752117
6d_L,-0.8431505922889324
6mp_L,-1.214700762984163
6v_L,0.18565654725995387
p24pr_L,0.8939172174162215
33pr_L,0.8586471593316202
a24pr_L,0.23308495889936334
p32pr_L,1.2120805048810295
a24_L,-2.7977319267832432
d32_L,-1.3333789268282286
8BM_L,-0.006150822529988677
p32_L,-2.335915492762325
10r_L,-1.416816762168128
47m_L,-1.1223688655150879
8Av_L,0.8182171423543413
8Ad_L,1.1116147197721884
9m_L,-0.6773070640112115
8BL_L,0.6767894976903344
9p_L,-0.1166211701857282
10d_L,-0.8424173959986627
8C_L,0.20079367210455562
44_L,-0.28184101043886056
45_L,-0.059975351784216625
47l_L,-0.698171904291393
a47r_L,-0.19744825019657578
6r_L,-0.25303994886151976
IFJa_L,-0.2745826611790436
IFJp_L,-0.5309008163623908
IFSp_L,0.006877787283037971
IFSa_L,-0.7913042123103516
p9-46v_L,-0.1325836826317858
46_L,0.2965671787729634
a9-46v_L,0.08960732812642012
9-46d_L,0.4159388599143529
9a_L,-0.10001805664100599
10v_L,-0.5841139181058939
a10p_L,-0.2862734008601639
10pp_L,-0.1252804390301976
11l_L,-0.959534891027611
13l_L,-1.6877864482950848
OFC_L,-1.441803486582456
47s_L,-1.641749920597874
LIPd_L,4.990051668993665
6a_L,1.5642345790681496
i6-8_L,1.3172701642590225
s6-8_L,2.0737032536854163
43_L,0.1807214758919447
OP4_L,0.4021353782274705
OP1_L,-0.4868762673510294
OP2-3_L,-0.29903268429703206
52_L,-0.8673007833069774
RI_L,0.08059650499575927
PFcm_L,0.8011392453401512
PoI2_L,-0.24006266778295127
TA2_L,-0.9970006612001048
FOP4_L,-0.4674756061952189
MI_L,0.13390384995727303
Pir_L,-2.233789917141802
AVI_L,-0.8227544101595694
AAIC_L,-1.1339080783597986
FOP1_L,0.30778318404491295
FOP3_L,-0.07856756286843432
FOP2_L,0.07879720244244334
PFt_L,1.0009032470413912
AIP_L,3.2978909510235566
EC_L,-2.1705057674940584
PreS_L,-1.3673706737061495
H_L,-2.392081975921683
ProS_L,-1.3113933732925378
PeEc_L,-1.7558434931883093
STGa_L,-1.1498895134703437
PBelt_L,-0.7656477220108019
A5_L,-0.993334314334346
PHA1_L,-1.144476433383394
PHA3_L,-2.2332963651675897
STSda_L,-1.1830876154074021
STSdp_L,-1.7131571586411394
STSvp_L,-1.1852306101515173
TGd_L,-1.2178171258951498
TE1a_L,-0.5897355208381235
TE1p_L,-0.9803391696604546
TE2a_L,-0.6498256439736871
TF_L,-1.5818775649164607
TE2p_L,-1.0705887896145883
PHT_L,-0.5010696873035229
PH_L,-0.656608524698099
TPOJ1_L,0.3974106995494645
TPOJ2_L,0.2901465678997604
TPOJ3_L,0.02640564042582178
DVT_L,4.274500407809266
PGp_L,0.9378463014936999
IP2_L,5.228333501740896
IP1_L,4.270304380820188
IP0_L,3.491890222947358
PFop_L,1.8602325920063862
PF_L,1.5533369337111302
PFm_L,1.9883338716268448
PGi_L,0.4510429468338864
PGs_L,1.009512236927782
V6A_L,2.64804660626011
VMV1_L,-1.7793775209546603
VMV3_L,-0.7970478640133344
PHA2_L,-2.8749939195967023
V4t_L,0.0795845561874159
FST_L,-0.6659026411429635
V3CD_L,0.9544165519139195
LO3_L,0.11624243865859649
VMV2_L,-1.969673753775068
31pd_L,2.568874617896815
31a_L,1.474150755851785
VVC_L,-1.3606728661475902
25_L,-2.7326156910705883
s32_L,-2.1549955420808233
pOFC_L,-1.8145043479301373
PoI1_L,-0.1244311207656475
Ig_L,-0.5509046337110364
FOP5_L,-0.05009804136253369
p10p_L,-0.8275100588687767
p47r_L,-0.1549539819554815
TGv_L,-0.9438228829871936
MBelt_L,-0.1378028291774393
LBelt_L,-1.3177243548289415
A4_L,-0.08429744959674182
STSva_L,-1.2933023085736304
TE1m_L,-1.3121873179762584
PI_L,-0.9725490651549358
a32pr_L,-1.0181099832310874
p24_L,-2.7836483502329594
V1_R,-0.03340691677590934
MST_R,0.8746699362036229
V6_R,3.2324252945004743
V2_R,0.41784560713108576
V3_R,0.35007411642856867
V4_R,0.5056492908766287
V8_R,-0.7325126861891504
4_R,-0.7649172603488882
3b_R,-0.6286276441533086
FEF_R,0.45700402889956493
PEF_R,0.15601904305302733
55b_R,-0.016677343802554728
V3A_R,1.3405507141639064
RSC_R,-0.1542887164097491
POS2_R,6.59439890095678
V7_R,2.4624312290983226
IPS1_R,4.436451375900306
FFC_R,-0.8522929994768913
V3B_R,2.7312648752045585
LO1_R,1.4579361944194487
LO2_R,-0.01962092843266267
PIT_R,0.6467169742866805
MT_R,0.6562561825764616
A1_R,-0.27081462898331476
PSL_R,1.0804608334371082
SFL_R,0.3239240628132582
PCV_R,4.796523864616788
STV_R,0.4005795875573165
7Pm_R,7.500881982873034
7m_R,4.490101773007411
POS1_R,1.6552187359159156
23d_R,0.42275672229947947
v23ab_R,-0.3421464169660117
d23ab_R,0.8790923119081031
31pv_R,1.9123985238812908
5m_R,1.3297285145680102
5mv_R,2.1170583957494475
23c_R,1.703750812332966
5L_R,1.948085109350401
24dd_R,0.6819801653409162
24dv_R,0.8606841663610413
7AL_R,2.7228007082940207
SCEF_R,1.1813626314610324
6ma_R,0.27693702944990617
7Am_R,3.9766597622772153
7Pl_R,2.8711730837992513
7PC_R,2.4624867265591632
LIPv_R,3.7834488761755427
VIP_R,2.849418749768163
MIP_R,3.961657043297278
1_R,-0.2276053575436643
2_R,0.8886644614076544
3a_R,-0.5372547964469171
6d_R,-0.25821114229702696
6mp_R,0.16658909697368468
6v_R,-0.5143313405914863
p24pr_R,0.6262071586214271
33pr_R,0.35416167043322694
a24pr_R,-0.05894004143299162
p32pr_R,0.521045112382574
a24_R,-2.605268966485886
d32_R,-0.9091016711906973
8BM_R,0.19898276353250052
p32_R,-1.4563904443048366
10r_R,-2.036904766369104
47m_R,-1.1480966074919545
8Av_R,-0.37419195049381554
8Ad_R,-0.14832282501104604
9m_R,-0.352334295568194
8BL_R,-0.8828737207141472
9p_R,0.32435114946913207
10d_R,-0.2038093874958262
8C_R,-0.038823704480656765
44_R,0.019717068088957193
45_R,-0.7082086652740581
47l_R,-0.45049422646473114
a47r_R,0.0207504906311512
6r_R,0.5699250377924018
IFJa_R,-0.07423603470088604
IFJp_R,-0.6759968539601953
IFSp_R,0.5758130945090317
IFSa_R,-0.34170859350625277
p9-46v_R,1.2282203514827064
46_R,1.2133824563393019
a9-46v_R,0.673496304462092
9-46d_R,0.5438547680765979
9a_R,0.584207623649032
10v_R,-1.0066050804580968
a10p_R,-0.5555958607324228
10pp_R,-0.3859879630218554
11l_R,-1.1211727763518746
13l_R,-1.7870402048571
OFC_R,-1.1896232985891126
47s_R,-1.4130534588738521
LIPd_R,3.8319326009376335
6a_R,1.7687108326299235
i6-8_R,0.6201213286557112
s6-8_R,-0.1708616044631863
43_R,0.347171969312762
OP4_R,-0.9917450975834156
OP1_R,1.1005354415638255
OP2-3_R,0.3038558528972706
52_R,0.20871503213597511
RI_R,1.460249667516911
PFcm_R,2.6730234816473017
PoI2_R,0.4560087298429133
TA2_R,-0.16892625716815104
FOP4_R,0.559644003919354
MI_R,1.884800593634553
Pir_R,-1.8090867924222191
AVI_R,-0.2878091517553625
AAIC_R,-0.17270295087972654
FOP1_R,1.3560185487109924
FOP3_R,0.40294117318835593
FOP2_R,0.04122302841427442
PFt_R,0.9457748133377718
AIP_R,3.4647079293891676
EC_R,-2.2871111362549743
PreS_R,-2.0519642145878185
H_R,-2.249900042266564
ProS_R,-0.9745591974461344
PeEc_R,-1.4792556600967046
STGa_R,-0.5629793445765436
PBelt_R,-1.235268661262673
A5_R,-1.2988120530628415
PHA1_R,-1.7341115063522927
PHA3_R,-1.1207803015973037
STSda_R,-0.7420982080728162
STSdp_R,-1.7441084170328645
STSvp_R,-1.1866138278420166
TGd_R,-0.9458569559634887
TE1a_R,-0.033206915230101955
TE1p_R,-0.20198301688608905
TE2a_R,-0.4780057510164793
TF_R,-0.8036839860576018
TE2p_R,-0.3056058539353998
PHT_R,0.6066187266690519
PH_R,0.07025535641158918
TPOJ1_R,0.4807355911990596
TPOJ2_R,0.4336264194217217
TPOJ3_R,-0.2809740027531613
DVT_R,4.678144603437324
PGp_R,1.2913107870591258
IP2_R,4.715699200697092
IP1_R,3.1387954633858435
IP0_R,3.4880523960940018
PFop_R,1.4258267145270516
PF_R,2.0761640951423272
PFm_R,2.157474454840413
PGi_R,1.1107873987815258
PGs_R,1.7318866519690763
V6A_R,2.6055888983384383
VMV1_R,-0.6888585867946524
VMV3_R,-2.0824820809359696
PHA2_R,-1.8808819944661772
V4t_R,-0.5767962964966011
FST_R,-0.19483671714862758
V3CD_R,2.045161301417987
LO3_R,1.1387184384848812
VMV2_R,-1.4734651366584512
31pd_R,2.7658369458829077
31a_R,2.3325391710022334
VVC_R,-1.5116377313697706
25_R,-2.867424343443539
s32_R,-1.7176696426182971
pOFC_R,-2.2501893036997833
PoI1_R,-0.579097208930637
Ig_R,0.7104975919927261
FOP5_R,-1.1863463268415204
p10p_R,-0.20590726593409905
p47r_R,0.46320380580778453
TGv_R,-0.5224501135763987
MBelt_R,-1.0016105616805
LBelt_R,-1.059928955049753
A4_R,-1.0534485123282928
STSva_R,-0.3615063235233224
TE1m_R,-1.0199672927071717
PI_R,-1.246145918864838
a32pr_R,-0.18995219231755772
p24_R,-2.3244530707688233
