region,intention
V1_L,-1.0421865885561323
MST_L,0.669336170660867
V6_L,1.5577013105776134
V2_L,-0.8453837066023068
V3_L,-0.7431020512210028
V4_L,-1.222884863110726
V8_L,-2.2326500903541686
4_L,4.375550707813457
3b_L,3.926438154387425
FEF_L,3.247394007808797
PEF_L,1.0702090465450755
55b_L,0.9628182669612091
V3A_L,0.7610284047746062
RSC_L,-0.7333722214300853
POS2_L,3.9304948130361503
V7_L,1.5522059719503551
IPS1_L,1.9164762525608343
FFC_L,-1.3974261325826132
V3B_L,-0.029981946167962226
LO1_L,-0.7520050874430653
LO2_L,-0.22594898544328026
PIT_L,-1.7330487958435412
MT_L,-0.492191725258494
A1_L,-1.079680448226919
PSL_L,0.7962821573723375
SFL_L,-0.03456127334306488
PCV_L,1.6343358670873251
STV_L,1.4141263968187119
7Pm_L,2.471860797760983
7m_L,2.724974424629126
POS1_L,0.20185521189902186
23d_L,0.16090700621456175
v23ab_L,1.4190298009730389
d23ab_L,-0.5739940639699757
31pv_L,-0.4418950029780471
5m_L,2.0196138511605377
5mv_L,1.1746743535188091
23c_L,0.32092249221463476
5L_L,1.7436111824154739
24dd_L,4.664417893116733
24dv_L,1.8421029342456396
7AL_L,1.3116309207826198
SCEF_L,1.425944851137386
6ma_L,0.4020512838380381
7Am_L,1.964548723616342
7Pl_L,2.360566750165162
7PC_L,2.4276988406977535
LIPv_L,1.2342457197292627
VIP_L,1.60874158843792
MIP_L,1.5434905380519535
1_L,1.6697944193499021
2_L,2.6042411893602013
3a_L,2.56753936997035
6d_L,3.1674129695544724
6mp_L,2.8815669264007657
6v_L,0.8265869300803107
p24pr_L,0.1673413109399095
33pr_L,-1.9757729304485743
a24pr_L,-2.5353546591224427
p32pr_L,-1.9436225831330027
a24_L,-2.950575280771583
d32_L,-1.1198280825427998
8BM_L,-1.2049965786588428
p32_L,-2.4831741680921926
10r_L,-2.1209235699255773
47m_L,-1.812174563273543
8Av_L,-0.3564123477633398
8Ad_L,-0.3620090500095796
9m_L,-1.1481092422112253
8BL_L,0.020715615721945194
9p_L,-0.686697388470696
10d_L,-0.7947452123225717
8C_L,-1.0348829995563826
44_L,-1.0743813115005665
45_L,-0.7558354146934656
47l_L,-1.2475495753332209
a47r_L,-0.8651179392794283
6r_L,-0.4459540009789642
IFJa_L,-1.7481753225770533
IFJp_L,-1.9181828231504623
IFSp_L,-2.4704590729610487
IFSa_L,-1.7964934145241043
p9-46v_L,-1.7923483283963406
46_L,-0.7541546925169559
a9-46v_L,-1.0979620693552088
9-46d_L,-0.8670208687340061
9a_L,-0.49969246152858815
10v_L,-1.4182402388903508
a10p_L,-1.2624668515238309
10pp_L,-0.883611184891167
11l_L,-1.4570433297140484
13l_L,-1.7828284116188438
OFC_L,-1.4210563750606675
47s_L,-2.277038002266337
LIPd_L,0.24771461549154053
6a_L,3.367635771247165
i6-8_L,1.7092697986530871
s6-8_L,0.5304991854448063
43_L,0.33424410909015384
OP4_L,0.42348282860569547
OP1_L,0.03300987332503684
OP2-3_L,-0.6483172339436156
52_L,-1.6701775438999
RI_L,0.9105542230461977
PFcm_L,0.09876909007851356
PoI2_L,-1.5813382110940524
TA2_L,-0.8480980582284374
FOP4_L,-1.6531894202050283
MI_L,-2.624697288512171
Pir_L,-2.247192333382352
AVI_L,-3.1338446743587687
AAIC_L,-2.7299933431229775
FOP1_L,-0.08570668666151823
FOP3_L,-1.48887166664841
FOP2_L,-1.2782142888474781
PFt_L,1.6778654837820417
AIP_L,3.803294966660512
EC_L,-1.0972429349369623
PreS_L,-0.18081176997907578
H_L,-0.9484645737650649
ProS_L,-1.788403826493009
PeEc_L,-1.1482507137851852
STGa_L,0.28508167911353266
PBelt_L,0.008383734953956603
A5_L,1.1392881445176752
PHA1_L,0.338306547625619
PHA3_L,-1.033389539464863
STSda_L,0.6896054759880099
STSdp_L,1.2303643804464919
STSvp_L,2.102032919754186
TGd_L,-1.0019084426733944
TE1a_L,-0.37682772257740343
TE1p_L,-0.40187739136581274
TE2a_L,-1.0777299288644995
TF_L,-1.3677734324158666
TE2p_L,-1.275303842399101
PHT_L,1.7164967191895433
PH_L,-0.8083723909177519
TPOJ1_L,3.87570025388098
TPOJ2_L,2.0628079760099762
TPOJ3_L,-0.5286840219142807
DVT_L,1.2774618408727758
PGp_L,-0.8671195567998456
IP2_L,1.6250129575630237
IP1_L,0.13773450066082507
IP0_L,0.18121666499692593
PFop_L,0.16803754524572168
PF_L,0.4963146708894489
PFm_L,0.3560732792251811
PGi_L,-0.6284029854815943
PGs_L,-0.5323438076503166
V6A_L,1.0009000054923423
VMV1_L,-1.3333556974562586
VMV3_L,-0.8799817688852283
PHA2_L,-1.0775767655616295
V4t_L,0.325220595149618
FST_L,1.7932684058983426
V3CD_L,-0.9087029379859084
LO3_L,-1.2710482043858893
VMV2_L,-1.4193768786309557
31pd_L,1.2817192621052091
31a_L,0.3767144152210083
VVC_L,-1.668108233008304
25_L,-2.35144243248711
s32_L,-2.107810985092877
pOFC_L,-2.5200606906258307
PoI1_L,-1.9116851435009696
Ig_L,-1.2936339100379575
FOP5_L,-2.172926396362349
p10p_L,-0.8425988767603223
p47r_L,-2.073642787079436
TGv_L,-0.6987907329127603
MBelt_L,-1.248795272503708
