region,recognition
V1_L,2.4443457079879827
MST_L,1.9772973363603201
V6_L,-0.0645902130792593
V2_L,1.9653644405898594
V3_L,2.5794362748662656
V4_L,5.639792703561599
V8_L,10.844842829040127
4_L,-1.5743116761767484
3b_L,-1.6838501262246561
FEF_L,-0.5950925053700942
PEF_L,-1.5109974741766155
55b_L,-0.6883390959671317
V3A_L,0.060847200582089894
RSC_L,-0.3915350010939742
POS2_L,-0.6882009764343684
V7_L,2.1517147369116625
IPS1_L,3.0685835360590095
FFC_L,15.609580596904486
V3B_L,3.4400522844017236
LO1_L,4.292143455833456
LO2_L,5.21956010591815
PIT_L,8.511087278821623
MT_L,1.8589521960103412
A1_L,-2.3867339155124236
PSL_L,-1.0348231465160362
SFL_L,-1.8796819814607675
PCV_L,-2.540764164958285
STV_L,-0.8676209435360366
7Pm_L,-1.0859807414254687
7m_L,-2.3067392141263054
POS1_L,0.2839198111871328
23d_L,-2.4971681802401937
v23ab_L,-1.2992415694581836
d23ab_L,-1.9566104231937917
31pv_L,-1.2469062608745909
5m_L,-2.2579186149259804
5mv_L,-2.140221488134635
23c_L,-2.1798436994731554
5L_L,-0.948544924229466
24dd_L,-1.860413917977524
24dv_L,-1.1688698999441818
7AL_L,-0.8515216667504208
SCEF_L,-1.5319406836918932
6ma_L,-1.6206462821406096
7Am_L,-0.754307455304095
7Pl_L,0.3131072783709149
7PC_L,-0.4369864330021798
LIPv_L,1.229290666573094
VIP_L,0.4601984780575046
MIP_L,1.623213495994713
1_L,-1.157131441676235
2_L,-1.4189065824983713
3a_L,-1.8053880144049115
6d_L,-1.3947085775561474
6mp_L,-2.3876529936494397
6v_L,-0.6015603156569216
p24pr_L,-2.4311778704454023
33pr_L,-3.254125436678459
a24pr_L,-3.4261172102307085
p32pr_L,-1.0039310628486176
a24_L,-3.6380446743562063
d32_L,-3.207131119232554
8BM_L,-2.198304950803787
p32_L,-2.7787186534022017
10r_L,-2.5606275481158542
47m_L,-0.8102208771925856
8Av_L,-1.2790994050088926
8Ad_L,-2.112286225469615
9m_L,-3.1224811415326443
8BL_L,-1.674386693383199
9p_L,-2.516000376411623
10d_L,-1.8912997203341724
8C_L,-2.388643407603212
44_L,-0.7632082243478496
45_L,-1.0019356489673321
47l_L,-1.824785717323396
a47r_L,-1.240752421901102
6r_L,-1.02533536050279
IFJa_L,-0.004228282054631121
IFJp_L,0.3246330606392114
IFSp_L,-0.3014050293972887
IFSa_L,-0.6820716732447104
p9-46v_L,-1.3194862843200215
46_L,-2.2909775409229374
a9-46v_L,-1.9875529788956796
9-46d_L,-2.81314810702356
9a_L,-2.0461189619665423
10v_L,-1.6165235830613027
a10p_L,-2.1095991484330514
10pp_L,-1.116616213969214
11l_L,-1.7539489084342899
13l_L,-1.7931322434878227
OFC_L,-1.5959163320741254
47s_L,-1.8273873690158757
LIPd_L,1.9962992802754507
6a_L,-1.1461939284818001
i6-8_L,-1.6261434074278585
s6-8_L,-0.9044400162072022
43_L,-1.8765702623316938
OP4_L,-1.7853424930421966
OP1_L,-1.9607285623376824
OP2-3_L,-1.2340577218528181
52_L,-1.6672314063906923
RI_L,-0.5448939537675237
PFcm_L,-2.269582601201893
PoI2_L,-1.95587850092792
TA2_L,-2.64350941284194
FOP4_L,-1.6544756985381799
MI_L,-2.034481048812167
Pir_L,-1.4252604719212298
AVI_L,-1.343193954523317
AAIC_L,-2.6209258352208114
FOP1_L,-2.4760003928582712
FOP3_L,-0.7791421089755518
FOP2_L,-1.048574332234602
PFt_L,-1.7573131175550747
AIP_L,0.3028924806324254
EC_L,3.8596875287726022
PreS_L,4.23647624711699
H_L,5.686691910232289
ProS_L,0.24471328190066804
PeEc_L,3.1392395725177242
STGa_L,-0.810978635266786
PBelt_L,-2.3106927263996444
A5_L,-0.3893168977365422
PHA1_L,5.432633518821081
PHA3_L,7.141460439828657
STSda_L,-1.0113519636519754
STSdp_L,-0.1306130368330062
STSvp_L,0.6863292538514923
TGd_L,-0.6943074036204889
TE1a_L,-0.750653831863144
TE1p_L,1.7133820706141514
TE2a_L,-0.06173439902818713
TF_L,3.561604343060132
TE2p_L,5.336943975393799
PHT_L,1.3949319052553892
PH_L,6.662321657700647
TPOJ1_L,0.5321621073248348
TPOJ2_L,-0.4382260362120421
TPOJ3_L,-0.04817117055957015
DVT_L,1.0021189797558798
PGp_L,1.6857502216552813
IP2_L,0.513381891425523
IP1_L,2.070703984525151
IP0_L,3.846224229534758
PFop_L,-1.8182997158289018
PF_L,-0.9288714270568151
PFm_L,-0.7046831855965813
PGi_L,-1.3036580820002814
PGs_L,-0.6622329033770123
V6A_L,0.7574193460261647
VMV1_L,2.8091781698668186
VMV3_L,7.551772066122081
PHA2_L,7.063315913822551
V4t_L,4.197973214666238
FST_L,3.298998749029797
V3CD_L,5.006551161012772
LO3_L,0.9246470367600996
VMV2_L,3.6335018712783604
31pd_L,-1.7324575526875108
