region,familiarity
V1_L,0.874718932992497
MST_L,0.7911856840357133
V6_L,2.202820895975047
V2_L,1.1371166919223046
V3_L,1.490124909150046
V4_L,2.3872406032896407
V8_L,5.533770129224852
4_L,-1.0616544624185547
3b_L,-1.2588940499252084
FEF_L,-0.701617208487558
PEF_L,-1.4771413383385252
55b_L,-0.39748958667507417
V3A_L,-0.20402933773177317
RSC_L,1.073047251502298
POS2_L,5.567648771646771
V7_L,0.3239726453710896
IPS1_L,2.46745072605208
FFC_L,7.284564613428163
V3B_L,0.8411425253675855
LO1_L,1.9846889659282145
LO2_L,1.9706945396152935
PIT_L,3.2569930030259027
MT_L,0.17960830659316226
A1_L,-1.715564629346119
PSL_L,-0.027098145875136526
SFL_L,-0.33823068597600675
PCV_L,2.0757386527425328
STV_L,-0.0265121118257868
7Pm_L,3.171512488133306
7m_L,4.864313312380413
POS1_L,3.134375933535256
23d_L,-1.580526595193413
v23ab_L,4.075632061258279
d23ab_L,1.3816665136485327
31pv_L,2.195807021849645
5m_L,-0.26289356469475916
5mv_L,-0.27574679928542506
23c_L,-0.7581463294146148
5L_L,0.06418174220370666
24dd_L,-1.792290930652806
24dv_L,-2.1606995438691468
7AL_L,0.1308527544358273
SCEF_L,-1.836090200318334
6ma_L,-1.272366308197378
7Am_L,2.0563473896361355
7Pl_L,1.4169945878527748
7PC_L,-0.32755148377826854
LIPv_L,0.1268019817172088
VIP_L,0.05433449967582487
MIP_L,0.8307137059990262
1_L,-0.8333332242682723
2_L,-1.2775193553135369
3a_L,-1.4131077251862059
6d_L,-0.8742213173340168
6mp_L,-1.764090760759935
6v_L,-0.8862684164409145
p24pr_L,-2.8692560500538913
33pr_L,-2.8696608418744316
a24pr_L,-3.065278207912716
p32pr_L,-2.2171955883054864
a24_L,-2.056598908780035
d32_L,-1.8289477672955081
8BM_L,-1.091160083048705
p32_L,-1.2428829815806928
10r_L,-1.4471398840160925
47m_L,-1.4831491071487017
8Av_L,-0.45093849921852414
8Ad_L,-0.23308194376420974
9m_L,-1.0143363385907385
8BL_L,-0.06774679665226378
9p_L,-1.3550163524995185
10d_L,-1.102656886406585
8C_L,-1.4999584598238733
