region,hyperactivity
V1_L,-0.8058034201292478
MST_L,-2.2813588729903147
V6_L,0.44261238481390774
V2_L,-0.701175069838049
V3_L,-0.3952405286623103
V4_L,-0.7168101734331209
V8_L,-0.19224561219556954
4_L,0.4592085863208172
3b_L,0.28086432061070454
FEF_L,1.7372599984077184
PEF_L,0.20647910015185222
55b_L,0.6579490671502596
V3A_L,0.46260598048754004
RSC_L,0.18401879753552414
POS2_L,0.9724249902463604
V7_L,0.5618665203977771
IPS1_L,0.8665732382879542
FFC_L,-1.2079033718516903
V3B_L,0.1337415551579989
LO1_L,0.28535453829639784
LO2_L,-0.9762144447760078
PIT_L,-0.5756465799766104
MT_L,-2.1967980282093564
A1_L,-1.6410443131976027
PSL_L,-2.06222215442331
SFL_L,0.25940896243899
PCV_L,0.3579062947954227
STV_L,-2.3251949731980135
7Pm_L,0.5394887071595053
7m_L,-0.7668826334416371
POS1_L,-0.6461995346248023
23d_L,0.3903551987607748
v23ab_L,0.5729051764033899
d23ab_L,-0.6624765957016268
31pv_L,-1.0940804259735093
5m_L,0.1624561650660757
5mv_L,0.28652392825205836
23c_L,0.4724297749879898
5L_L,0.555698283602004
24dd_L,1.7720005264940162
24dv_L,1.765239560197027
7AL_L,-0.7574811174620593
SCEF_L,0.48325150253020305
6ma_L,-0.2227589059440769
7Am_L,0.8390318979773875
7Pl_L,2.0571142371738067
7PC_L,0.06813088909562824
LIPv_L,-1.1042889486301999
VIP_L,0.06569617293860437
MIP_L,0.23451955816187037
1_L,-0.33526747980324856
2_L,-0.6989193971587779
3a_L,-0.3373327499827159
6d_L,0.3725219881904077
6mp_L,0.062096599053315
6v_L,-0.4812295284598532
p24pr_L,1.7460769525092292
33pr_L,0.7064233066139447
a24pr_L,0.46537793283912926
p32pr_L,0.3838889952860051
a24_L,-0.4941245716964884
d32_L,-1.205408760294497
8BM_L,-1.5291923716103142
p32_L,-0.14956786408348763
10r_L,-1.3067572204148727
47m_L,-1.025508333078484
8Av_L,-0.10950993315209506
8Ad_L,0.04013774188403877
9m_L,-1.255622736897165
8BL_L,-0.2952463156302934
9p_L,-0.7131634069220664
10d_L,-0.46786257390595437
8C_L,-1.1706962035286363
44_L,-0.9457864744941621
45_L,-1.5932667003851206
47l_L,-1.175343322702889
a47r_L,-0.848631440317832
6r_L,-1.0614516095555038
IFJa_L,-1.0846069734417065
IFJp_L,-1.704605038888721
IFSp_L,-1.294470779599517
IFSa_L,-1.6389835047538706
p9-46v_L,-0.60651291939651
46_L,-0.4088011908047887
a9-46v_L,-0.1996785298524924
9-46d_L,0.20550726279563386
9a_L,-0.6548259458731748
10v_L,-0.8617189903616148
a10p_L,-0.8209610463770715
10pp_L,-0.08565939479129633
11l_L,-0.15841098060466957
13l_L,-0.16544533348108176
OFC_L,-0.2164228146838206
47s_L,0.5046624841378597
LIPd_L,-0.5007766307363486
6a_L,1.5282340435699673
i6-8_L,1.8295020458284703
s6-8_L,1.0406897186607509
43_L,-0.8336051538404753
OP4_L,-1.2798021959320915
OP1_L,-1.5881378215269288
OP2-3_L,-0.11694003702513425
52_L,-0.6328491035849256
RI_L,-0.9846921668166221
PFcm_L,-2.6196126427858717
PoI2_L,1.0081650107753166
TA2_L,-0.44667118613637385
