region,semantic memory
V1_L,-0.4386987971492605
MST_L,1.4717579102158544
V6_L,0.6534585737582884
V2_L,0.22437756217443505
V3_L,0.3685643996035598
V4_L,0.19445335616063833
V8_L,1.6727932632107412
4_L,-0.9145226614375221
3b_L,-0.972818948265461
FEF_L,1.9185306287969832
PEF_L,1.9474383332107719
55b_L,1.146917171474406
V3A_L,-0.35508536527795603
RSC_L,0.15389002438821076
POS2_L,1.1128526699967884
V7_L,-0.36199643932383535
IPS1_L,1.4567507531367412
FFC_L,4.650881919411371
V3B_L,-0.6472717832688164
LO1_L,0.6462773607703529
LO2_L,0.5993759106249184
PIT_L,2.3590640315833467
MT_L,1.2738818530858471
A1_L,-0.9499530879747137
PSL_L,0.5641411556750242
SFL_L,0.64635876490653
PCV_L,-1.510252856691114
STV_L,1.5841422923928707
7Pm_L,-0.8484939530288137
7m_L,0.004627302098045181
POS1_L,2.146943300230708
23d_L,-1.1439076435873545
v23ab_L,1.3894523475313154
d23ab_L,0.10154702428576286
31pv_L,0.529243646936169
5m_L,-1.1209841047569145
5mv_L,-1.5154946946645935
23c_L,-1.3273710710345807
5L_L,-0.6679931211305404
24dd_L,-1.817206647073341
24dv_L,-0.44241349100283034
7AL_L,-1.1004035262319798
SCEF_L,2.5026097314795788
6ma_L,-0.700102390966055
7Am_L,-1.09382828668369
7Pl_L,-0.4667754752295197
7PC_L,-0.5652812956584143
LIPv_L,-0.9059201947637113
VIP_L,-0.7249804673736813
MIP_L,0.5106975445591498
1_L,-0.8093300152458136
2_L,-1.323875441295302
3a_L,-0.8120328808846831
6d_L,-0.8162073382794454
6mp_L,-1.0814291443749444
6v_L,0.9888740536429204
p24pr_L,-1.6112918318154763
33pr_L,-1.5569371184341636
a24pr_L,-1.1277418775849932
p32pr_L,2.312047123092719
a24_L,-1.4052808853544425
d32_L,-1.0674228368598906
8BM_L,1.9698753214220412
p32_L,-0.8866483805924332
10r_L,-0.5253571621873359
47m_L,3.6294256352926513
8Av_L,0.7828944442023825
8Ad_L,0.4493719121071946
9m_L,-1.2028932192556463
8BL_L,0.050425857744411696
9p_L,-0.5214318126798225
