region,sentence comprehension
V1_L,-0.4950480631512998
MST_L,2.081771783859588
V6_L,-0.8762736150373156
V2_L,-0.3815491009438384
V3_L,-0.5612101283448541
V4_L,-0.307991506738428
V8_L,-0.3726284137528021
4_L,-0.5186192767817828
3b_L,-0.773091894089107
FEF_L,3.7643033175739204
PEF_L,5.116687429114644
55b_L,2.306362830248498
V3A_L,-0.6960656531445358
RSC_L,-0.3344368150315507
POS2_L,-0.15173447765081732
V7_L,0.06635149790765288
IPS1_L,-0.36760749186352487
FFC_L,0.5494681071225447
V3B_L,0.8862275824076066
LO1_L,-0.5484555910889741
LO2_L,1.1630945248111133
PIT_L,0.15259072421128236
MT_L,0.700061056478377
A1_L,-0.20745309464855194
PSL_L,2.0825505125124635
SFL_L,0.5853221449092739
PCV_L,-1.2606517725888704
STV_L,3.364151875545589
7Pm_L,-0.3993090747196707
7m_L,-0.36926628717894155
POS1_L,-0.20982079375308527
23d_L,-0.31391908814292213
v23ab_L,-0.006669685710870521
d23ab_L,-0.43079250012544373
31pv_L,-0.39280496242305873
5m_L,-0.9065545304052678
5mv_L,-1.3733164597339762
23c_L,-0.9461362863449776
5L_L,-0.5785862207330791
24dd_L,-1.0227689809157983
24dv_L,0.8482783741098249
7AL_L,-0.9671566338837962
SCEF_L,2.8747994968609403
6ma_L,-0.03578829709954878
7Am_L,-0.8208219598569562
7Pl_L,-0.9485818842199548
7PC_L,-0.5591773766614556
LIPv_L,-0.6377848961499434
VIP_L,-1.04559159801779
MIP_L,-0.6962612897619322
1_L,-0.3295057177776468
2_L,-0.8414492709206519
3a_L,-0.6737889978420081
6d_L,-0.2540658683419394
6mp_L,-0.9889697370562764
6v_L,1.679700649400204
p24pr_L,-0.7840593535600233
33pr_L,-1.6547888449243928
a24pr_L,-1.3999337218308956
p32pr_L,0.5423830085795491
a24_L,-1.0533402876900368
d32_L,-0.12031369180444268
8BM_L,0.785479924356742
p32_L,-0.6481257900124464
10r_L,-0.4835218420798159
47m_L,1.8438686446388675
8Av_L,-0.1806381243825973
8Ad_L,-0.045512325348051164
9m_L,-0.16367835746223894
8BL_L,0.05350847020233229
9p_L,-0.08646533845592962
10d_L,-0.7447347089627843
8C_L,1.8762659457358215
44_L,8.828122934370258
45_L,5.548702218460972
47l_L,4.149275781265642
a47r_L,0.41925583667814975
