region,autobiographical memory
V1_L,0.061163427379110256
MST_L,-0.047410479496125
V6_L,2.6464147043942665
V2_L,0.6592089546792261
V3_L,0.5930294634195986
V4_L,-0.09943622049508652
V8_L,-0.5578732860024712
4_L,-1.8104110751537987
3b_L,-1.7536264405867885
FEF_L,0.7997061696005354
PEF_L,0.30045304653131416
55b_L,0.4831109269473721
V3A_L,0.9521343136631394
RSC_L,2.216631297235633
POS2_L,4.729492404118728
V7_L,1.020266214501131
IPS1_L,1.6707611800116142
FFC_L,0.1910841641052848
V3B_L,0.41168154426467296
LO1_L,0.7417865888721377
LO2_L,-1.1158749020719754
PIT_L,-0.8087793348819973
MT_L,0.11185299557251324
A1_L,-1.74147171175988
PSL_L,-1.3763892621245384
SFL_L,1.1174323660614678
PCV_L,0.8049662474321739
STV_L,-0.9142260661190249
7Pm_L,1.858501766697701
7m_L,3.0188793165569128
POS1_L,4.163998555909971
23d_L,-0.5930055033790873
v23ab_L,4.544840886248301
d23ab_L,1.6897845594518894
31pv_L,1.8199800009466056
5m_L,-0.574285205131067
5mv_L,-0.6800538860395828
23c_L,-0.4888338921997157
5L_L,-0.36360670853738475
24dd_L,-1.728107894950524
24dv_L,-1.399924035994571
7AL_L,-1.209640856374238
SCEF_L,-0.2632984779775984
6ma_L,-0.49214726218679816
7Am_L,0.6744119157293538
7Pl_L,1.41510990142986
7PC_L,-1.6279229281676304
LIPv_L,-2.756786052986286
VIP_L,-0.7953288164538931
MIP_L,-0.19581580161599874
1_L,-1.0773219399675578
2_L,-2.2370615839677543
3a_L,-1.602673741186795
6d_L,-0.8169361845454254
6mp_L,-1.7254482930814257
6v_L,-0.3419708731823136
p24pr_L,-1.980434242798582
33pr_L,-2.319412104790632
a24pr_L,-2.4528539173527517
p32pr_L,-0.0811114726043174
a24_L,-0.44974253036629336
d32_L,-0.24506219119291303
8BM_L,1.6074895676967862
p32_L,0.23461175413772525
10r_L,0.4242241083043672
47m_L,1.4996133127691458
8Av_L,0.8698383433358465
8Ad_L,1.3185803803619696
9m_L,0.6162488403468724
8BL_L,0.8224153295907662
9p_L,0.4945097434538948
10d_L,0.6007281182305245
8C_L,0.8160783966735897
44_L,0.6778624751155947
45_L,0.8600416493640751
47l_L,1.2133462232606647
a47r_L,0.6687423428105506
6r_L,-0.8783706891603402
IFJa_L,1.347692352443943
IFJp_L,-0.316079395237712
IFSp_L,2.517667818353023
IFSa_L,1.0086285639684807
p9-46v_L,1.3895146934713063
46_L,-0.0494741864038228
a9-46v_L,1.0782582528678342
9-46d_L,0.24438612295362022
9a_L,0.22217548883525345
10v_L,0.5299430230548364
a10p_L,0.32763492392681604
10pp_L,-0.01150286181645642
11l_L,-0.1982699770339675
13l_L,-0.7491004113796057
OFC_L,-0.09705985590598705
47s_L,0.014348687522686908
LIPd_L,-1.0478432967796458
6a_L,0.10915676415466513
i6-8_L,1.9625243052610946
s6-8_L,1.4827907458890879
43_L,-1.9030000633677022
OP4_L,-1.0449768399904842
OP1_L,-1.310573008232516
OP2-3_L,-0.530506246472181
52_L,-1.0466086420786553
RI_L,-0.700901383809896
PFcm_L,-2.0751845184967794
PoI2_L,-1.665202498721883
TA2_L,-0.7707677562973773
FOP4_L,-1.534019775495677
MI_L,-2.1580256955076957
Pir_L,0.11012550043773814
AVI_L,0.06831885170638713
AAIC_L,-0.4309596751549942
FOP1_L,-2.1966633696442748
FOP3_L,-1.1711218739158777
FOP2_L,-1.1359074376880463
PFt_L,-2.4450874350445257
AIP_L,-3.1411305853850595
EC_L,3.7440270412844603
PreS_L,6.273725600633972
H_L,6.937348730178535
ProS_L,0.5235693408460872
PeEc_L,3.178783759600012
STGa_L,0.34288216074788064
PBelt_L,-1.2544065428150424
A5_L,-0.24270456115146413
PHA1_L,6.69186334436223
PHA3_L,5.721594064143151
STSda_L,0.719492318301158
STSdp_L,-1.1280744407842382
STSvp_L,-0.24711002769182622
TGd_L,0.6600459763365093
TE1a_L,0.69794345288498
TE1p_L,1.3373826066186005
TE2a_L,0.7417816084701394
TF_L,1.938507000824408
TE2p_L,0.7340673654464895
PHT_L,-0.9508567398557918
PH_L,-0.2522795395149665
TPOJ1_L,-1.253131507009372
TPOJ2_L,0.019097586643424203
TPOJ3_L,2.274412653568921
DVT_L,2.4980834353297423
PGp_L,1.874314903279325
IP2_L,-2.320016977200741
IP1_L,1.9785552265148065
IP0_L,2.1398859909687493
PFop_L,-1.7628446206671868
PF_L,-1.4558647597196768
PFm_L,-0.4406800734612159
PGi_L,1.208279483834564
PGs_L,1.1937913390731918
V6A_L,1.1952728081497614
VMV1_L,1.5388784153683543
VMV3_L,-0.26164209283578843
PHA2_L,8.78546577607922
V4t_L,-1.6331145906352191
FST_L,-1.2364736334588387
V3CD_L,0.8865201381721052
LO3_L,0.7136594063290496
VMV2_L,2.2358479325591536
31pd_L,2.1763757870165477
31a_L,0.2657952294973285
VVC_L,1.789031172471242
25_L,-0.5001702314258496
s32_L,0.2800455875196113
pOFC_L,-0.5464031568935743
PoI1_L,-0.8603753984150948
Ig_L,-1.2043153464265017
FOP5_L,-0.24252215378657316
p10p_L,0.08095582426312697
p47r_L,1.5852786422836078
TGv_L,1.312117186906026
MBelt_L,-1.1874241389434792
LBelt_L,-1.6511852283673092
A4_L,-0.6489136929841777
STSva_L,1.1313312258850603
TE1m_L,0.8338748946357045
PI_L,0.6432901164208448
a32pr_L,-0.021626550473757458
p24_L,-1.0276625358141842
V1_R,0.027749016290090793
MST_R,-1.042774272473926
V6_R,1.4531028455424624
V2_R,0.6293846103929354
V3_R,0.5018250388326033
V4_R,-0.2597250903240368
V8_R,-1.7675750057092643
4_R,-1.4340527981831923
3b_R,-1.2529909564716852
FEF_R,-0.596869650234752
PEF_R,-1.0516196496628512
55b_R,-0.8511382105613489
V3A_R,0.5719897409181222
RSC_R,1.0785995045812318
POS2_R,4.248423730075996
V7_R,0.8521303445499536
IPS1_R,0.3409519754068232
FFC_R,0.6157305869650279
V3B_R,0.8882295101655406
LO1_R,-0.19903960042941576
LO2_R,-1.2871436143883654
PIT_R,-0.8935353700566485
MT_R,-0.8038316049930083
A1_R,-1.7192698737663574
PSL_R,-1.1912175208172577
SFL_R,-1.0167224284207683
PCV_R,1.3815763652926685
STV_R,-1.5750125639538253
7Pm_R,2.3876882335069114
7m_R,3.9223354758867983
POS1_R,3.1505201934539486
23d_R,0.23311896916976513
v23ab_R,2.541436279712862
d23ab_R,1.6163043457684285
31pv_R,1.3105454953185007
5m_R,-0.7377629260360239
5mv_R,-0.2043842501976545
23c_R,0.07040318432626999
5L_R,0.20561347256235565
24dd_R,-1.4253732218589876
24dv_R,-1.9437995041182372
7AL_R,-0.04418870076955127
SCEF_R,-1.3618013301615168
6ma_R,-0.35880464132230294
7Am_R,0.24705379126532445
7Pl_R,-0.39576227443606765
7PC_R,-1.1957713779207866
LIPv_R,-2.334590688598796
VIP_R,-0.7346370104627482
MIP_R,-0.362621309397735
1_R,-0.8248434223989902
2_R,-1.78698318275426
3a_R,-1.486774039651603
6d_R,-0.5654426729906878
6mp_R,-0.9220477018187158
