region,autobiographical memory
6v_R,-0.9058821984844795
p24pr_R,-1.6331716756380772
33pr_R,-2.139432100283628
a24pr_R,-2.413920796463496
p32pr_R,-1.1256070865907242
a24_R,-1.2185597936560912
d32_R,-0.35414326307081784
8BM_R,-0.5850576553773211
p32_R,-0.43983388747513397
10r_R,-1.2662688856208417
47m_R,0.4877372315055716
8Av_R,-0.43315681303932974
8Ad_R,0.5542027263644034
9m_R,0.11611962871022306
8BL_R,-0.6954300309232133
9p_R,0.15245209724323505
10d_R,0.4544651589926582
8C_R,-0.19834199768821228
44_R,-0.0981247767130448
45_R,-0.7406520865951864
47l_R,0.3766953000382718
a47r_R,0.3697515666564402
6r_R,-1.6399714832896741
IFJa_R,-0.09127136160894889
IFJp_R,-1.3098634046016158
IFSp_R,1.3397396817990812
IFSa_R,-0.02759326278021708
p9-46v_R,1.3728168557111957
46_R,0.6698835181062422
a9-46v_R,1.6407213123615227
9-46d_R,0.952271789723413
9a_R,1.2315735509344505
10v_R,0.07090324877656581
a10p_R,0.19553734141311488
10pp_R,0.21392702254658455
11l_R,-0.0007427274707859362
13l_R,-0.8763376634507961
OFC_R,-0.3442390822863988
47s_R,-0.12399191554801763
LIPd_R,-1.2834601067932367
6a_R,0.2719371080139723
i6-8_R,1.5588259938643567
s6-8_R,-0.4474697232456816
43_R,-1.85398239819587
OP4_R,-1.1046202408543324
OP1_R,-0.6980150301749208
OP2-3_R,-0.9437670731645754
52_R,-1.8762306355107938
RI_R,-2.047787970864079
PFcm_R,-1.9981795062296654
PoI2_R,-2.2499799477692415
TA2_R,-0.8312944385705846
FOP4_R,-2.3103001816829356
MI_R,-2.9653269776056885
Pir_R,-0.8220704823415781
AVI_R,-1.290866033132232
AAIC_R,-1.7294024146695492
FOP1_R,-2.5930315134026505
FOP3_R,-2.0564642997193103
FOP2_R,-1.9900820939985309
PFt_R,-2.245322540144723
AIP_R,-2.3734145955515427
EC_R,4.000729053401002
PreS_R,5.372760584435699
H_R,6.341809745241911
ProS_R,2.5001304891698397
PeEc_R,2.3048812721532186
STGa_R,0.266208880699615
PBelt_R,-2.171858743630416
A5_R,-1.1464146151995984
PHA1_R,6.959456134014998
PHA3_R,5.29565162271006
STSda_R,1.0448734397494033
STSdp_R,-1.0915744764787945
STSvp_R,-0.6103163671663282
TGd_R,0.4657162707591448
TE1a_R,1.3483264372668535
TE1p_R,0.2877235212715189
TE2a_R,1.2547428459733652
TF_R,2.402136141193924
TE2p_R,0.4739050002896809
PHT_R,0.8326716078190166
PH_R,-0.16678685743174568
TPOJ1_R,-1.9709058169729314
TPOJ2_R,-1.3451565298556565
TPOJ3_R,0.07284635545217281
DVT_R,1.4959540444387036
PGp_R,1.6340274592332436
IP2_R,-0.8046481950447448
IP1_R,0.08296922920466983
IP0_R,2.0460911074563404
PFop_R,-0.9753202039289999
PF_R,-1.1940313643430398
PFm_R,-0.9105392255235984
PGi_R,0.08305441598697784
PGs_R,0.1836004293843279
V6A_R,0.37528112641060135
VMV1_R,1.4331085505647407
VMV3_R,-0.29870216809721367
PHA2_R,7.989134626829633
V4t_R,-2.442271008681189
FST_R,-1.154767108244758
V3CD_R,1.664554227429241
LO3_R,0.3551083817917674
VMV2_R,1.2457070903048308
31pd_R,1.5789175251551382
31a_R,1.1739558447596954
VVC_R,3.2575598575869362
25_R,-0.9298003916237972
s32_R,0.2315301461204285
pOFC_R,-0.7633523507859586
PoI1_R,-1.273422581892872
Ig_R,-1.4502387840193194
FOP5_R,-0.9324839477232617
p10p_R,1.0832149760488392
p47r_R,-0.03364756413418103
TGv_R,1.002983263970372
MBelt_R,-1.642488443482818
LBelt_R,-2.2297152588075697
A4_R,-1.6821668374860308
STSva_R,1.5627177295323582
TE1m_R,0.33433941329059247
PI_R,0.05820262398554872
a32pr_R,-0.9419506214420943
p24_R,-1.68750530544832
