region,context
V1_L,-0.5364392355450213
MST_L,-0.9353410976141348
V6_L,-0.7272693258120944
V2_L,-0.2195188597793693
V3_L,-0.17462744307862127
V4_L,0.8579883482411028
V8_L,1.9171811592723396
4_L,-0.9872142577557071
3b_L,-0.9444715223436321
FEF_L,0.5833577625260358
PEF_L,-0.045975043519051684
55b_L,-0.17463489541488483
V3A_L,-1.0458607487079223
RSC_L,0.63881866732517
POS2_L,-0.33980166801970624
V7_L,0.36451603334661625
IPS1_L,0.3624346717912531
FFC_L,3.3613608991898363
V3B_L,0.25367722129574183
LO1_L,1.0545458262543816
LO2_L,0.8887131618981345
PIT_L,2.0438844203461235
MT_L,-1.264733001404289
A1_L,-1.20495193605997
PSL_L,-0.6435822224480009
SFL_L,-0.9618344967172809
PCV_L,-1.3310589137449247
STV_L,-0.2568397193878625
7Pm_L,-0.6264669891481041
7m_L,-1.8118180844827492
POS1_L,1.4100741657805158
23d_L,-0.5545614985444437
v23ab_L,-0.7183742516751285
d23ab_L,-0.9840443288746463
31pv_L,-0.8471678067765435
5m_L,-1.1576491685676213
5mv_L,-1.1105031893655286
23c_L,-0.5070587156605652
5L_L,-0.6716646519073639
24dd_L,-1.5131950529330422
24dv_L,-1.4333641404123856
7AL_L,-1.0378211961053239
SCEF_L,-1.0553981674082176
6ma_L,-0.7756983272588294
7Am_L,-0.2807105372881547
7Pl_L,-0.1757170535159298
7PC_L,-0.3075525025520292
LIPv_L,-0.4410124130211403
VIP_L,-0.4086368003840943
MIP_L,-1.0691820948129418
1_L,-0.46649054074903434
2_L,-0.7175634625871579
3a_L,-0.9875580339816434
6d_L,-0.7819562188535281
6mp_L,-1.2653288144213202
6v_L,-0.01697719669976085
p24pr_L,-1.3985206083408062
33pr_L,-2.0354522185791586
a24pr_L,-2.3179859245631254
p32pr_L,-1.2167858640306835
a24_L,-0.1883062756709799
d32_L,-1.7273387981970376
8BM_L,-1.248647818082281
p32_L,-0.2368489830358332
10r_L,0.19956509047911639
47m_L,1.1396301673135512
8Av_L,-0.37852646155131625
8Ad_L,-0.013541173118987431
9m_L,-1.2417688076138322
8BL_L,-0.8161880059129034
9p_L,-1.2786549298291778
10d_L,-0.23937942874072748
8C_L,-0.8272688086085679
44_L,0.5805285556832915
45_L,0.3917235754048796
47l_L,0.786544779607285
a47r_L,-0.15135790349699094
6r_L,-0.02442163320104186
IFJa_L,-0.03229909677919758
IFJp_L,-1.056742895668984
IFSp_L,0.4084514680745975
IFSa_L,0.09846016564028583
p9-46v_L,-0.7073874730817858
46_L,-1.1565771757104624
a9-46v_L,-1.075424899602367
9-46d_L,-0.9281460327119101
9a_L,-1.3066793185781156
10v_L,0.12820833543054042
a10p_L,-1.3846407837549302
10pp_L,-0.20093971551009016
11l_L,-0.25459569075837846
13l_L,-0.010756138315775335
OFC_L,-0.14531278984723867
47s_L,0.5115989817767959
LIPd_L,0.07376209969877447
6a_L,-0.4332828743398364
i6-8_L,-0.5678292087073247
s6-8_L,0.33599857694395824
43_L,0.04240609360722563
OP4_L,0.036690984712966446
OP1_L,-0.8081146569106636
