region,memory
V1_L,-0.7493086834779848
MST_L,-0.715526166518312
V6_L,1.1590831180037504
V2_L,-0.08820335108582
V3_L,0.17575592572208984
V4_L,-0.28045399020676226
V8_L,-0.5852628138124217
4_L,-0.8462789057379038
3b_L,-0.8366504115662505
FEF_L,1.4622376349528232
PEF_L,0.9941876186247509
55b_L,0.6128786366640119
V3A_L,0.27832339256323574
RSC_L,0.985671307404749
POS2_L,1.3592882580057106
V7_L,0.41191003746171256
IPS1_L,1.3930437209695092
FFC_L,0.06561506987650409
V3B_L,-0.340391794066289
LO1_L,-0.06990181336548616
LO2_L,-1.345625993486199
PIT_L,-1.017048992826991
MT_L,-0.7149016942610973
A1_L,-0.7130249713439457
PSL_L,-0.8099556430628451
SFL_L,1.0001730306594112
PCV_L,-0.5144834575185632
STV_L,-0.7465139524738414
7Pm_L,0.6381176369889544
7m_L,-0.25317548049513094
POS1_L,1.479666510929158
23d_L,-0.18668772880988843
v23ab_L,0.8154589305383291
d23ab_L,0.4122311895879899
31pv_L,0.9264447434092865
5m_L,-0.35959428430332785
5mv_L,-0.2574320682878618
23c_L,-0.17161328102142695
5L_L,-0.5108736550487468
24dd_L,-0.6253791260813172
24dv_L,-0.18392583988675773
7AL_L,-0.9639865406537536
SCEF_L,0.8811147040323022
6ma_L,-0.030580276796969653
7Am_L,-0.25481377368739
7Pl_L,1.4229379000008398
7PC_L,-0.4056936032793907
LIPv_L,-1.0161407797676676
VIP_L,-0.30424751447228265
MIP_L,1.2516944499820897
1_L,-0.6062507293516199
2_L,-1.0916233051283135
3a_L,-0.6224280081493286
6d_L,-0.19346955220929468
6mp_L,-1.0318590741435254
6v_L,0.30984480655600416
p24pr_L,-1.0251378975323322
33pr_L,-1.512509516681194
a24pr_L,-1.4050584084023476
p32pr_L,1.1773025645407422
a24_L,-1.5675237604088317
d32_L,-0.7879658885425158
8BM_L,1.7476884488891489
p32_L,-0.37404880718228695
10r_L,-0.6089123169090391
47m_L,0.743366410913152
8Av_L,0.48527270676714146
8Ad_L,0.3745855156245501
9m_L,-0.4922005254234002
8BL_L,-0.04452854030775777
9p_L,0.3624338862566751
10d_L,0.017941486122424476
8C_L,1.2806213500410444
44_L,0.649334178417079
45_L,0.43700542478753013
47l_L,0.8119875489156718
a47r_L,0.3440638209957432
6r_L,0.25578814089529306
IFJa_L,2.2498393407427497
IFJp_L,1.7009644900000875
IFSp_L,2.258135555436178
IFSa_L,1.1725499316639785
p9-46v_L,1.7012072409539514
46_L,0.0820645366038765
a9-46v_L,1.2542893964074269
9-46d_L,0.05585063091288077
9a_L,0.03147679100818058
10v_L,-0.08082857931874718
a10p_L,0.21099998250700883
10pp_L,-0.25475801567539774
11l_L,-0.37508317059820684
13l_L,-0.5798027949796358
OFC_L,-0.26952750834158606
47s_L,-0.056204325628130575
LIPd_L,0.752646500620508
6a_L,1.2051960164321445
i6-8_L,2.6760299263421308
s6-8_L,0.8676979055922988
43_L,-1.434719734029865
OP4_L,-0.47101023121677027
OP1_L,0.07909903756742695
OP2-3_L,0.33659631122267303
52_L,-0.7118793910552907
RI_L,-0.1333720573213103
PFcm_L,-0.6989750852093954
PoI2_L,-0.735683344042453
TA2_L,-0.6528611077981606
FOP4_L,-0.5232554583129904
MI_L,-0.4164682878080918
Pir_L,0.3572773060017022
AVI_L,1.3006397108762466
AAIC_L,0.38143207020278114
