region,imagery
V1_L,0.9862650113009954
MST_L,-0.09264748186214072
V6_L,1.6057170604566053
V2_L,0.3716830121613517
V3_L,0.7805505048520349
V4_L,0.9578636915788299
V8_L,0.8785542690573351
4_L,6.330589742071528
3b_L,5.858784477488713
FEF_L,4.672277412913621
PEF_L,1.8601498224664916
55b_L,1.641303082916142
V3A_L,0.9765325829190978
RSC_L,-1.3510930807531893
POS2_L,0.6108672672421944
V7_L,1.856830683657667
IPS1_L,4.1049341297960344
FFC_L,0.7314911548208666
V3B_L,2.0033647859157613
LO1_L,1.4340565114725208
LO2_L,2.2942378268315626
PIT_L,2.3658962817333653
MT_L,-0.16902780899004027
A1_L,0.48234224399221637
PSL_L,0.3892680729618186
SFL_L,-0.19847222458226124
PCV_L,0.16106767345822093
STV_L,-0.7546854268255198
7Pm_L,1.0261836034338239
7m_L,-1.1238798078175734
POS1_L,-1.2399595954651697
23d_L,0.04034285194001836
v23ab_L,-1.619939667101805
d23ab_L,-1.4598927043782315
31pv_L,-1.4427818507714916
5m_L,4.8817441643783095
5mv_L,2.8979448546020947
23c_L,0.9510660842409694
5L_L,4.240062705971156
24dd_L,7.826004244553124
24dv_L,4.337039180180745
7AL_L,4.557479120461399
SCEF_L,4.666897482142176
6ma_L,1.6402189106800475
7Am_L,2.6877006376705577
7Pl_L,3.8965261440734174
7PC_L,5.467858803819668
LIPv_L,5.645257885179017
VIP_L,5.750657620147224
MIP_L,4.370592746258943
1_L,2.5877252405756987
2_L,4.216998362040743
3a_L,3.887727614426051
6d_L,4.747511272725965
6mp_L,6.03180994624773
6v_L,1.4485708987152848
p24pr_L,2.0215665725666008
33pr_L,-1.8589241696349135
a24pr_L,-2.6407071247604534
p32pr_L,-1.1919136109328619
a24_L,-3.3828350101743574
d32_L,-2.724081537712522
8BM_L,-2.1290541000210537
p32_L,-3.0882584603362067
10r_L,-2.9069806814210635
47m_L,-2.629949005246237
8Av_L,-0.7097961664226857
8Ad_L,-1.1928821705381973
9m_L,-2.580580808973787
8BL_L,-1.006909497075923
9p_L,-1.5564492102003264
10d_L,-1.3534099653377507
8C_L,-1.4493445458290275
44_L,-2.208320142126731
45_L,-2.514713230653002
47l_L,-2.8605394184319533
a47r_L,-1.2184181838742805
6r_L,0.14010672377790803
IFJa_L,-1.4942364554877108
IFJp_L,-1.5268017705472652
IFSp_L,-2.252249021821425
IFSa_L,-2.0486754550381328
p9-46v_L,-1.4951816130356281
46_L,-0.6419730204840999
a9-46v_L,-1.31922662900913
9-46d_L,-1.2204068720579984
9a_L,-0.6477751969849647
10v_L,-1.5639755511117837
a10p_L,-1.507268795830147
10pp_L,-0.8122590111263265
11l_L,-1.6480343525668768
13l_L,-2.041692780180636
OFC_L,-1.7279968184528094
47s_L,-2.8988686050222734
LIPd_L,2.033928473963981
6a_L,7.327444526964647
i6-8_L,2.9744398064240767
s6-8_L,-0.616445229119221
43_L,1.7920356984022308
OP4_L,0.9671324213179325
OP1_L,1.179944695123783
OP2-3_L,0.09438829430540788
52_L,-0.6332400978655544
RI_L,1.540041088474229
PFcm_L,2.640531710824234
PoI2_L,-0.6555501803722745
TA2_L,-1.3185479251893102
FOP4_L,-1.723254055781745
MI_L,-2.1778520626458535
Pir_L,-3.1126383630920724
AVI_L,-2.8638040885065656
AAIC_L,-3.724827747868546
FOP1_L,1.6474154286558338
FOP3_L,-0.6910640709097998
FOP2_L,0.051217771205031584
PFt_L,2.3199564510530557
AIP_L,6.9805018332277005
EC_L,-2.171934618523461
PreS_L,-2.0360415628131205
H_L,-2.303820858178216
ProS_L,-1.157352596728047
PeEc_L,-1.7864993024041256
STGa_L,-2.398935932056018
PBelt_L,1.2465946087441877
A5_L,-1.078327804024165
PHA1_L,-1.4384064026961194
PHA3_L,-0.9320311484572202
STSda_L,-2.2565227911495342
STSdp_L,-0.8278163191624708
STSvp_L,-2.332432939213266
TGd_L,-1.7846465510872127
TE1a_L,-1.5733995961237175
TE1p_L,-1.5727809925409917
TE2a_L,-1.0918129738096065
TF_L,-1.3415785277532555
TE2p_L,-0.8914322990600316
PHT_L,-0.6191957583482355
PH_L,1.991682996978368
TPOJ1_L,-0.5357872826598375
TPOJ2_L,-1.830111223352814
TPOJ3_L,-1.5617796161508097
DVT_L,1.3870699457330802
PGp_L,0.5628281784857584
IP2_L,4.203217182704962
IP1_L,1.6536698582169291
IP0_L,1.9969183899027756
PFop_L,1.8274074474297393
PF_L,1.5821230375559558
PFm_L,0.5665081442237125
PGi_L,-1.7233138771641745
PGs_L,-0.4396938456301582
V6A_L,1.500264709777389
VMV1_L,-0.34465548452293693
VMV3_L,0.8933482619414178
PHA2_L,-1.625584465459377
V4t_L,1.778006427237429
FST_L,1.68308543138925
V3CD_L,2.356674492341904
LO3_L,-0.5588944723135374
VMV2_L,-0.8068260305407322
31pd_L,-1.4262051027270897
31a_L,0.6929203727745525
VVC_L,0.2264984425510148
25_L,-3.0945013922631035
s32_L,-2.7503742232765003
pOFC_L,-2.7534617155248826
PoI1_L,-1.0616241263257493
Ig_L,0.09196924648022624
FOP5_L,-2.2629900056195424
p10p_L,-0.919376288410995
p47r_L,-2.082055387726664
TGv_L,-1.1449043202495917
MBelt_L,-0.1631157950845102
LBelt_L,0.44747435100874416
A4_L,0.10988603669708914
STSva_L,-2.7932826490661413
TE1m_L,-1.518751177372225
PI_L,-2.455804121672537
a32pr_L,-3.0230426203291083
p24_L,-3.7015163716808295
V1_R,0.8579673780837528
MST_R,0.3186747893665349
V6_R,1.12421021018177
V2_R,0.5833488149670615
V3_R,1.168517435803203
V4_R,1.5782729556290296
V8_R,0.9667190298707525
4_R,4.70506914974739
3b_R,4.588903229880935
FEF_R,4.957225528142976
PEF_R,1.8948715706289812
55b_R,2.1256067463154116
V3A_R,2.0708417316908365
RSC_R,-1.2333901443905422
POS2_R,1.0742768208535625
V7_R,1.640783447096432
IPS1_R,2.585531327094515
FFC_R,0.5689125047108531
V3B_R,1.739677536733792
LO1_R,2.0023391627434517
LO2_R,1.8539418637193614
PIT_R,2.268082029702772
MT_R,0.3417466686490296
A1_R,0.10121883947544144
PSL_R,0.7802780364325449
SFL_R,-0.6417361173722415
PCV_R,1.2509499681465612
STV_R,-0.5106459999620105
7Pm_R,2.5073267073142707
7m_R,-0.8772690185637172
POS1_R,-1.0214635167996842
23d_R,0.2278419847453093
v23ab_R,-1.7627217922727874
d23ab_R,-0.4082794349124749
31pv_R,-0.31993288954397275
5m_R,1.8637127722593734
5mv_R,1.5203399693755058
23c_R,0.8224439361981256
5L_R,1.3409312890763048
24dd_R,6.86131821050465
24dv_R,5.6135752325379995
7AL_R,3.6356618445085096
SCEF_R,3.547492867583979
6ma_R,0.6799468534457802
7Am_R,4.159219787832886
7Pl_R,2.975144617437796
7PC_R,3.954112596646612
