region,inference
V1_L,-0.29858216216582467
MST_L,-0.030887465331668678
V6_L,-0.015087301326658423
V2_L,-0.12549671637116844
V3_L,-0.5464641858771182
V4_L,-0.18329872659612467
V8_L,-0.6739499032580168
4_L,-1.4869702399431797
3b_L,-1.8241239298610836
FEF_L,1.2323280938048145
PEF_L,1.9292026364079704
55b_L,0.7042656301727686
V3A_L,-0.35233602999871927
RSC_L,0.8423214233949662
POS2_L,1.2742742525113353
V7_L,0.6984825054899524
IPS1_L,0.25712196336890153
FFC_L,-0.159275799759537
V3B_L,0.5687607903583228
LO1_L,-0.2267929205400379
LO2_L,-0.22795175264191206
PIT_L,-0.944452539980636
MT_L,-0.9625549714111158
A1_L,-2.27710077873347
PSL_L,-0.19535336178696197
SFL_L,0.05218654904274239
PCV_L,-0.7300512540251684
STV_L,0.7453592262361582
7Pm_L,0.49201680712713997
7m_L,0.08406093064409462
POS1_L,1.5810170489658806
23d_L,-1.4815696672834218
v23ab_L,0.9579473540741639
d23ab_L,-0.4114478964105567
31pv_L,-0.3523942968018486
5m_L,-1.3776540958774166
5mv_L,-1.4955974001116545
23c_L,-1.2599287749139738
5L_L,-0.5695407301703017
24dd_L,-2.004130161331599
24dv_L,-1.3087777530273443
7AL_L,-0.9604234318770444
SCEF_L,-0.1556249482980119
6ma_L,-0.6041386616726733
7Am_L,0.3423545087665814
7Pl_L,-0.1919091786144872
7PC_L,-1.0973611369920129
LIPv_L,-0.301615136610988
VIP_L,-0.16472697707372805
MIP_L,-0.8077214685318734
1_L,-0.9223245647113872
2_L,-1.7779605102483875
3a_L,-1.5564511234918417
6d_L,-0.840928595036333
6mp_L,-1.6132837241408458
6v_L,0.2337179910033136
p24pr_L,-2.3325295274923583
33pr_L,-2.7006563907492933
a24pr_L,-2.5931483131615614
p32pr_L,-1.2178605226768517
a24_L,0.6363076392508815
d32_L,0.6943444144346491
8BM_L,0.3786541349021398
p32_L,0.7052396545932317
10r_L,0.4599943944543821
47m_L,1.2572119340057735
8Av_L,0.23511441232346067
8Ad_L,1.1164507060708146
9m_L,0.9188375136910494
8BL_L,0.383610855663984
9p_L,-0.11679121924692057
10d_L,0.5335952481573115
8C_L,0.5594388301452992
