region,rehearsal
V1_L,-1.400530080167167
MST_L,-2.664951752818008
V6_L,-0.5454367568888397
V2_L,-1.0009379514096168
V3_L,-0.7683742965213733
V4_L,-1.0782351895297018
V8_L,-0.7883586177083008
4_L,0.8668254707821036
3b_L,0.8922640447628153
FEF_L,3.8315000606133585
PEF_L,3.5459629857417503
55b_L,2.1834297274750356
V3A_L,-0.15700498280839814
RSC_L,-0.9674891093414303
POS2_L,-0.3464434832036806
V7_L,0.09763802006775027
IPS1_L,2.5887336656493587
FFC_L,-0.6651236796043777
V3B_L,-1.5355392750405017
LO1_L,-1.1102457001220434
LO2_L,-1.183414681741914
PIT_L,-0.9638777507445515
MT_L,-2.845850587883552
A1_L,1.4640583574639203
PSL_L,-0.305769892161052
SFL_L,-0.6760425862794056
PCV_L,-1.540149720519363
STV_L,-0.41446910863397357
7Pm_L,0.910849323121795
7m_L,-2.506561901105018
POS1_L,-1.2069171643298997
23d_L,-0.9053287631088909
v23ab_L,-1.3333107417907197
d23ab_L,-2.1956825093160663
31pv_L,-1.7111451172021903
5m_L,-0.13656491449188388
5mv_L,-0.6734241439628391
23c_L,-0.9590461674268969
5L_L,0.17403168090986243
24dd_L,1.2552575877428436
24dv_L,1.7884311762351466
7AL_L,-0.714453098467247
SCEF_L,2.5032163206088542
6ma_L,-0.17671933513741345
7Am_L,0.1625688608115162
7Pl_L,2.91516068951883
7PC_L,1.2404298642862592
LIPv_L,0.6167439355955797
VIP_L,0.3633208573886671
MIP_L,2.911767427452026
1_L,-0.146866130709864
2_L,-0.11211465169505981
3a_L,0.553855236779117
6d_L,0.6250189565765164
6mp_L,-0.040637988046535685
6v_L,1.7817406421401378
p24pr_L,0.0603440819228571
33pr_L,-2.204132106232478
a24pr_L,-1.2077203464475397
p32pr_L,2.0806404281474014
a24_L,-2.7570471448666436
d32_L,-2.752042166477817
8BM_L,-1.1677123228270814
p32_L,-1.6695994920597161
10r_L,-2.7404418294293102
47m_L,-2.17702544754947
8Av_L,0.04642616339725832
8Ad_L,-1.0026663550866988
9m_L,-2.1661764059058743
8BL_L,-1.5144366808728298
9p_L,-1.1694875580010557
10d_L,-1.4081276667575293
8C_L,0.6568576816524844
44_L,1.4742349254263059
45_L,-0.7720382040831231
47l_L,-1.2516464604716586
a47r_L,-0.8994262520649838
6r_L,3.2743998404689934
IFJa_L,1.8036422098345788
IFJp_L,2.542056420623747
IFSp_L,1.2228237836488107
IFSa_L,0.250421031075049
p9-46v_L,1.663452747992666
46_L,0.016783875957570284
a9-46v_L,0.5748699951201113
9-46d_L,-0.32920470098906396
9a_L,-1.1154807451022941
10v_L,-1.656006836619586
a10p_L,-0.9625805249935717
10pp_L,-0.8439912929453713
11l_L,-0.8808042741640802
13l_L,-1.8166647057857817
OFC_L,-1.1336892455350625
47s_L,-1.7196340010702884
LIPd_L,2.952949668093855
6a_L,2.825936716305138
i6-8_L,3.875695472115305
s6-8_L,-0.4132009883874547
43_L,1.314089230340695
OP4_L,1.0543332823371792
OP1_L,-0.2820781125312664
OP2-3_L,-0.21746228861623518
52_L,0.47366922701453273
RI_L,0.6299274096060172
PFcm_L,-0.005373538932012795
PoI2_L,-0.7788049455521449
TA2_L,0.08546610978285704
FOP4_L,0.25640752023397295
MI_L,0.39335037332357203
Pir_L,-1.1483428174322978
AVI_L,1.5873449222169917
AAIC_L,-0.4398886379729614
FOP1_L,1.2204626881669836
FOP3_L,-0.7507311582734988
FOP2_L,-0.4500465292382569
PFt_L,-0.3646735520862728
AIP_L,2.097143923272574
EC_L,-0.9421218008004358
PreS_L,-0.0809169430928446
H_L,-0.14205570021289285
ProS_L,-1.5539169781904498
PeEc_L,-0.79246943455311
STGa_L,-0.29015746002221987
PBelt_L,2.597251364349419
A5_L,2.581611120539374
PHA1_L,-0.051150791419141556
PHA3_L,-0.14271100208345064
STSda_L,0.6162139625311674
STSdp_L,2.7586992233424517
STSvp_L,0.5423794253815758
TGd_L,-1.2921675326891733
TE1a_L,-0.2871970134681415
TE1p_L,-0.39380119343618497
TE2a_L,-0.7343484041302952
TF_L,-0.9167268290857035
TE2p_L,-1.0832014803370038
PHT_L,-1.2587792948908205
PH_L,-1.1921151516778603
TPOJ1_L,0.7664908418708061
TPOJ2_L,-2.060166225486021
TPOJ3_L,-1.7782992531023678
DVT_L,0.3460922287115973
PGp_L,-0.3963737022077552
IP2_L,2.978056698053685
IP1_L,2.8802012300195043
IP0_L,0.2712538235977883
PFop_L,-0.20425763530757998
PF_L,-0.6090372209961272
PFm_L,0.3508946881761323
PGi_L,-1.1501320317163133
PGs_L,-0.37529707393349787
V6A_L,0.3815447568428989
VMV1_L,-0.9520811382519562
VMV3_L,-0.7976053704745005
PHA2_L,0.2592986636435991
V4t_L,-1.7498620002116687
FST_L,-2.6233148757363995
V3CD_L,-1.1533287248093995
LO3_L,-1.726269243252438
VMV2_L,-1.2329662759491984
