region,rehearsal
31pd_L,-2.343851744120534
31a_L,-1.8602611148032624
VVC_L,-0.09186253364306336
25_L,-3.0974683986943194
s32_L,-2.547320162427246
pOFC_L,-2.028356928399321
PoI1_L,-0.13107667815679427
Ig_L,-0.22269154929886262
FOP5_L,0.9566564791444663
p10p_L,-0.9031136542113337
p47r_L,-0.5340432333910773
TGv_L,-0.37128998899698423
MBelt_L,1.2075753152252082
LBelt_L,2.337112931244755
A4_L,1.7317948676129342
STSva_L,-0.32154080083700587
TE1m_L,-0.28334693641473996
PI_L,-0.3215026001766171
a32pr_L,-1.7695182237097038
p24_L,-2.814621023051191
V1_R,-1.2696827705749887
MST_R,-2.5642335290609926
V6_R,-0.6711585583559773
V2_R,-1.206684549272402
V3_R,-0.7946985440287148
V4_R,-1.0476617841458769
V8_R,-1.3110850095136384
4_R,0.5783727679571568
3b_R,0.6594085592911929
FEF_R,1.9127082576513208
PEF_R,1.3966165784325781
55b_R,0.9527011454847522
V3A_R,-0.3599941400200193
RSC_R,-1.518887324519527
POS2_R,0.4064283871794065
V7_R,1.066250611082941
IPS1_R,2.0197108554964838
FFC_R,-0.4544490668167691
V3B_R,-0.14045679159318716
LO1_R,-1.8985229766562925
LO2_R,-2.1775868768580424
PIT_R,-1.6503221286908722
MT_R,-2.5301271852203704
A1_R,0.9489874952739573
PSL_R,-1.1064300726297456
SFL_R,-1.3507035164818653
PCV_R,-0.04332999216638123
STV_R,-1.5886412245410257
7Pm_R,3.3701358422770618
7m_R,-1.147275412589421
POS1_R,-1.727162683763394
23d_R,-1.012191656480826
v23ab_R,-1.3345645515656748
d23ab_R,-1.639010040707439
31pv_R,-1.287933927253831
5m_R,-0.2678692430785455
5mv_R,-0.77039050146941
23c_R,-1.3283365125999347
5L_R,0.01907102886702977
24dd_R,0.8410976404613301
24dv_R,0.40545407093468677
7AL_R,-0.11039339212443439
SCEF_R,0.5695878896033869
6ma_R,0.3403854030791365
7Am_R,0.8074150179277861
7Pl_R,0.9148386740674275
7PC_R,0.05384484132283907
LIPv_R,0.9060119084389112
VIP_R,0.26852271243865744
MIP_R,2.080857099876787
1_R,0.1994851768184059
2_R,-0.03313631233021961
3a_R,0.4442501853354359
6d_R,0.33778840548329686
6mp_R,0.8489710220106269
6v_R,0.6216266566526437
p24pr_R,-0.3708524143373815
33pr_R,-1.7278315113958422
a24pr_R,-1.0806465923430328
p32pr_R,1.1950285162272225
a24_R,-3.215571018935447
d32_R,-2.2165110172283278
8BM_R,-1.2444287678953507
p32_R,-2.7436935720852533
10r_R,-3.6956112523910547
47m_R,-1.0075835566848057
8Av_R,-1.150616947387752
8Ad_R,-0.47128909864435714
9m_R,-2.1337499331986542
8BL_R,-1.1723451170009154
9p_R,-0.00964520394366744
10d_R,-0.8022755347027746
8C_R,0.14610327024697362
44_R,-0.6740975167979185
45_R,-1.3526870334875996
47l_R,-1.5015635248271684
a47r_R,-0.6266133774221003
6r_R,0.2938316170270932
IFJa_R,0.8368425147313776
IFJp_R,-0.2279855193218152
IFSp_R,1.4698674797070623
IFSa_R,-0.03770250393768197
p9-46v_R,1.6525485840781884
46_R,1.3381363263064996
a9-46v_R,0.7902199928643789
9-46d_R,0.43987990225556683
9a_R,-0.4799479846533919
10v_R,-2.1189921846759154
a10p_R,-0.8940201939852543
10pp_R,-0.3533233571522609
11l_R,-0.5520807785985162
13l_R,-1.788668955800147
OFC_R,-1.521504665165896
47s_R,-1.3374235469688012
LIPd_R,4.155567341657097
6a_R,4.90839375066891
i6-8_R,2.843857199049969
s6-8_R,-1.2747481273355328
43_R,-0.6254354191356423
OP4_R,0.8650484563723327
OP1_R,0.9238783837600097
OP2-3_R,-0.650079092181692
52_R,-0.1661237895286762
RI_R,-0.6002892664302142
PFcm_R,-0.2444072374447324
PoI2_R,-1.8432158920956203
TA2_R,0.0914048682831704
FOP4_R,-0.16143151452825347
MI_R,-0.7178483131420383
Pir_R,-1.914454160461503
AVI_R,0.9135259004802068
AAIC_R,-0.4603321900467669
FOP1_R,-0.6797143273459242
FOP3_R,-0.21978096861973784
FOP2_R,-0.7605034886133589
PFt_R,-0.900378377430462
AIP_R,1.9393192761484859
EC_R,-1.1214592082522516
PreS_R,-1.1979452255568355
H_R,-0.8737985492281151
ProS_R,-1.4387287552842338
PeEc_R,-0.9157929275090674
STGa_R,-0.8497205606255508
PBelt_R,0.44564914919713294
A5_R,1.9801494183748503
PHA1_R,-0.6834708431129796
PHA3_R,-1.1091339949727015
STSda_R,1.0778023564598807
STSdp_R,2.1729576113500833
STSvp_R,1.6874047794199343
TGd_R,-1.0299580617670983
TE1a_R,-0.22226094958480896
TE1p_R,0.22565796608388092
TE2a_R,-0.6233697474333428
TF_R,-0.2469326740954683
TE2p_R,-0.7933265719149087
PHT_R,0.12439135574013535
PH_R,-0.6678090011987843
TPOJ1_R,-0.5697166296377466
TPOJ2_R,-1.7509398204647846
TPOJ3_R,-1.4107313007017213
DVT_R,0.04540026161579686
PGp_R,-1.182446633846827
IP2_R,3.7113571780887464
IP1_R,1.3619313086306877
IP0_R,0.7904003416990788
PFop_R,-0.34264521474022663
PF_R,-0.4504742777764093
PFm_R,0.0874613938652073
PGi_R,-1.4192752740140075
PGs_R,-0.67793197101869
V6A_R,0.14483641654567653
VMV1_R,-0.8398270497440471
VMV3_R,-0.6866328767962969
PHA2_R,-0.9042876675710305
V4t_R,-2.1198505213017578
FST_R,-1.647298209025597
V3CD_R,-0.915971591900409
LO3_R,-2.34122544554917
VMV2_R,-1.3976708518641212
31pd_R,-1.0349191857150453
31a_R,-1.6640151264511036
VVC_R,-0.1996095482190627
25_R,-2.4540460933470603
s32_R,-2.7436433890761807
pOFC_R,-2.4470572131112145
PoI1_R,-1.3550501477468082
Ig_R,-1.1245502723019425
FOP5_R,-0.20557817215641674
p10p_R,-0.5856097152988333
p47r_R,-0.9421074576195075
TGv_R,-0.8855385390845937
MBelt_R,0.5791995863065851
LBelt_R,1.3853751335638356
A4_R,0.29254701843690895
STSva_R,0.5416311018020359
TE1m_R,0.05064683022427947
PI_R,-0.9779373726506172
a32pr_R,-1.1113759412797795
p24_R,-2.786016791701503
