region,goal
V1_L,-0.9155672046502844
MST_L,1.2202756115689355
V6_L,0.8398838651846104
V2_L,-0.490835737692141
V3_L,-0.2783075016470785
V4_L,-0.12368452442355399
V8_L,0.7709581133817636
4_L,0.8104660285825371
3b_L,0.6764099845683526
FEF_L,1.65573699422955
PEF_L,0.2806801168535948
55b_L,-0.3384294388061272
V3A_L,0.4384850095785444
RSC_L,0.340478259061236
POS2_L,2.1636532215139943
V7_L,1.3575624558921988
IPS1_L,4.627902773831423
FFC_L,0.15907222731161194
V3B_L,1.2999632494142106
LO1_L,1.2020036766843345
LO2_L,3.070264601082926
PIT_L,3.2076825065676964
MT_L,2.059927897778201
A1_L,-2.452019370867209
PSL_L,-0.12145315526725087
SFL_L,-0.38937398642275584
PCV_L,0.36256321574818434
STV_L,-0.3419852773157607
7Pm_L,2.6164474464200533
7m_L,1.4674141065378048
POS1_L,1.1069431445828566
23d_L,0.3834811217489535
v23ab_L,4.739927035319749
d23ab_L,1.9542379732559993
31pv_L,1.872971130927499
5m_L,-0.8026798468759128
5mv_L,-0.4319966854338546
23c_L,0.11645373648483358
5L_L,-0.17757486202713554
24dd_L,1.1113586129547028
24dv_L,0.4190319994031231
7AL_L,0.9235684703896403
SCEF_L,-0.4638437335275986
6ma_L,0.1437398474298332
7Am_L,2.0086599030102694
7Pl_L,3.0254652244024913
7PC_L,2.828222282782845
LIPv_L,6.029118663865995
VIP_L,3.0623808578087703
MIP_L,4.303347937050903
1_L,0.06283537478154623
2_L,1.0477848154961307
3a_L,0.3288908900537033
6d_L,1.3952738870626615
6mp_L,-1.046714279490857
6v_L,0.8490133728639032
p24pr_L,-0.34041520137410647
33pr_L,-1.844394238393041
a24pr_L,-1.8172372066690803
p32pr_L,-0.8443358065215731
a24_L,0.904989268294092
d32_L,-1.7405447375295762
8BM_L,-0.652193652330545
p32_L,0.7549713648408148
10r_L,2.121439234831761
47m_L,-0.5832345057340547
8Av_L,-0.1796998244077201
8Ad_L,0.1981294291398946
9m_L,-0.46767975800099093
8BL_L,0.5282708641393504
9p_L,-0.8651006298211847
10d_L,0.7210249446976088
8C_L,-0.2520959266312636
44_L,-2.6755997520099086
45_L,-2.495803375018609
47l_L,-1.6561495686803895
a47r_L,-0.5083546434948121
6r_L,-0.6294786463010843
IFJa_L,-1.3188260281541346
IFJp_L,-0.26002964812259133
IFSp_L,-1.2513392263779348
IFSa_L,-1.7867409208709035
p9-46v_L,0.11285728894351704
46_L,-0.5891199522122055
a9-46v_L,-0.17781705520586774
9-46d_L,-0.4436772364980695
9a_L,-0.29942556074113247
10v_L,1.390602290108644
a10p_L,-0.9070073105747244
10pp_L,0.27099203238019065
11l_L,-5.507522059034092e-05
13l_L,-0.0864528590125219
OFC_L,0.2806545687880177
47s_L,-0.6005992763985288
LIPd_L,5.346285355672655
6a_L,4.600989936568096
i6-8_L,2.281248181082039
s6-8_L,0.9308220328140849
43_L,-0.5304218723341415
OP4_L,-0.15878180966195504
OP1_L,-1.097595607869595
OP2-3_L,-0.9555788548137406
52_L,-1.8325671124324532
RI_L,-0.5188311189929613
PFcm_L,-0.7607573351953886
PoI2_L,-1.2203115825068735
TA2_L,-2.7415180593929893
FOP4_L,-1.685903822387247
MI_L,-0.6948715846706778
Pir_L,-2.192607879335759
AVI_L,-0.4367711697556943
AAIC_L,-1.139876057726159
FOP1_L,-1.7069587883896042
FOP3_L,-0.12106282401463714
FOP2_L,-0.6196676192443569
PFt_L,1.660921811759974
AIP_L,5.729791303446495
EC_L,-2.44457021188608
PreS_L,-1.4915439221394915
H_L,-2.2646908975192166
ProS_L,-1.0442650609974475
PeEc_L,-2.0128555418478444
STGa_L,-1.94529128442845
PBelt_L,-2.9395431628551103
A5_L,-2.767071609988111
PHA1_L,-0.8456529537360064
PHA3_L,-1.5838196467467622
STSda_L,-2.690160219416839
STSdp_L,-4.157885927665497
STSvp_L,-3.478366220805064
TGd_L,-1.4868033456914278
TE1a_L,-1.0085786649893833
TE1p_L,-1.5619618743687815
TE2a_L,-0.2984220427856201
TF_L,-1.6588316443349362
TE2p_L,-0.967475331664686
PHT_L,-0.6399079119855556
PH_L,2.051798291879051
TPOJ1_L,-1.5965961544784117
TPOJ2_L,-0.1603367580277452
TPOJ3_L,1.4946263762042602
DVT_L,2.125800692042835
PGp_L,1.2691606995722524
IP2_L,6.281663734818099
IP1_L,3.1472588677205073
IP0_L,2.6382780032218736
PFop_L,-0.042572557011828854
PF_L,1.4819030285099801
PFm_L,1.8175132997543202
PGi_L,2.267898139745698
PGs_L,1.9871652209295043
V6A_L,1.7206729748566032
VMV1_L,-1.6952932429781848
VMV3_L,-0.7974676198906057
PHA2_L,-1.886674881629899
V4t_L,3.8116859298328505
FST_L,3.342166266239565
V3CD_L,1.1250876844453284
LO3_L,1.3410209273322147
VMV2_L,-1.998543863585307
31pd_L,2.233331800705684
31a_L,1.507325053900868
VVC_L,-0.07085514734775075
25_L,0.7441214658939526
s32_L,3.092237610020596
