region,effort
RI_L,-0.7132573336670001
PFcm_L,-1.3459232534344892
PoI2_L,0.1339425620973217
TA2_L,-0.7454962953654212
FOP4_L,-0.16576912807166422
MI_L,1.2215626082339788
Pir_L,-1.421275352438316
AVI_L,1.7042469311549417
AAIC_L,-0.011463273202099205
FOP1_L,-0.013716818251866067
FOP3_L,0.4846647615650986
FOP2_L,-0.3005835127459158
PFt_L,-0.16613485654914528
AIP_L,2.5482476523631057
EC_L,-2.325010605174124
PreS_L,-2.108464810133423
H_L,-2.0631094496549984
ProS_L,-1.8146606921941615
PeEc_L,-1.9678251694833515
STGa_L,-1.3771196313724365
PBelt_L,-1.837777688443019
A5_L,-1.1232079283157275
PHA1_L,-1.9900143473873038
PHA3_L,-2.0890141051386304
STSda_L,-0.8010172747760683
STSdp_L,-2.0457947780333807
STSvp_L,-1.7873822338234946
TGd_L,-1.8858041086577273
TE1a_L,-0.8421656544608392
TE1p_L,-1.0866856449162057
TE2a_L,-1.093625637407174
TF_L,-1.5973258519919964
TE2p_L,-1.0631339881604285
PHT_L,-1.313924357655028
PH_L,-1.0818276078011593
TPOJ1_L,-1.3743519811675864
TPOJ2_L,-2.135692886370923
TPOJ3_L,-0.9628739220028717
DVT_L,-0.5529962451980845
PGp_L,-0.4058775822669482
IP2_L,2.3567453227736226
IP1_L,0.7037254361165061
IP0_L,-0.37160828619417247
PFop_L,-0.9801223827903689
PF_L,-0.016019694213639902
PFm_L,-0.2647246880460556
PGi_L,-1.2118539017019885
PGs_L,-0.6008861611108802
V6A_L,-0.43394811606801653
VMV1_L,-1.4683071450965128
VMV3_L,-1.546450835450757
PHA2_L,-2.302824142967846
V4t_L,-1.238134513047638
FST_L,-2.255907448164018
V3CD_L,-0.14926960035539136
LO3_L,-0.9699414944115199
VMV2_L,-2.7086222475359842
31pd_L,-1.5831829534319726
31a_L,0.02926017265715628
VVC_L,-1.614096644933579
25_L,0.7628641760142121
s32_L,1.5511257129467382
pOFC_L,1.3906937672932493
PoI1_L,-0.5055289941084906
Ig_L,-1.2655124543137681
FOP5_L,0.13267160740699116
p10p_L,-0.9001985292960981
p47r_L,-1.5536044259812476
TGv_L,-1.13379202308323
MBelt_L,-1.0926253895329543
LBelt_L,-1.9972423094751328
A4_L,-1.1047282243818421
STSva_L,-1.6368685421864566
TE1m_L,-1.6805945953209531
PI_L,-1.271725378693512
a32pr_L,1.3743440912024318
p24_L,3.935909288413079
V1_R,-0.6932422651080594
MST_R,-2.6784804076592645
V6_R,-0.686225811844995
V2_R,-0.7012048946921342
V3_R,-0.4983579880482796
V4_R,-0.9900954268461627
V8_R,-0.7836105624670672
4_R,0.8297262996026499
3b_R,0.9144957392637191
FEF_R,1.8929593743315904
PEF_R,0.5157895126645053
55b_R,0.19300993581165535
V3A_R,-1.0255640571224391
RSC_R,0.2294090271127008
POS2_R,-0.14580109425709112
V7_R,-0.6131148673541924
IPS1_R,1.5981985577680742
FFC_R,-1.3698223893263568
V3B_R,0.10807577788959222
LO1_R,-1.2540509304735978
LO2_R,-1.8339944555557273
PIT_R,-1.7793822184650183
MT_R,-3.020600518483887
A1_R,-2.243111654861436
PSL_R,-0.6955252233741959
SFL_R,-0.6188166149252851
PCV_R,-0.6433259630296717
STV_R,-1.4456901583151514
7Pm_R,0.8401238045617372
7m_R,-1.7238177786733815
POS1_R,-1.398563347481072
23d_R,0.9861748709430078
v23ab_R,-0.8731085098796443
d23ab_R,0.355340457586106
31pv_R,0.03167968754665845
5m_R,-0.42093358362382066
5mv_R,-0.6079922243909858
23c_R,-0.18518212164157608
5L_R,-0.719428903709117
24dd_R,2.21952319966797
24dv_R,4.457450902011282
7AL_R,-0.6168819115856237
SCEF_R,2.414916450545068
6ma_R,-0.09555954937862247
7Am_R,-0.034066575304965915
7Pl_R,0.20965896877632512
7PC_R,0.348598572886964
LIPv_R,0.8922692561002354
VIP_R,-0.20999651570357566
MIP_R,1.2102077823227364
1_R,0.5486501528027874
2_R,0.4528824318807397
3a_R,0.6543353964636763
6d_R,1.2753913441210953
6mp_R,0.37078589331693673
6v_R,-0.8304269631378273
p24pr_R,3.220086220909086
33pr_R,3.88659185028338
a24pr_R,5.291215444727127
p32pr_R,3.9357167305960226
a24_R,2.947931637977225
d32_R,0.7848748788421368
8BM_R,-0.34366498350145946
p32_R,0.8778307420787731
10r_R,0.5114466859310136
47m_R,0.4915592808527162
8Av_R,-1.3675030276506774
8Ad_R,-0.6883305178258642
9m_R,-0.9099172634484367
8BL_R,-1.3124475711933772
9p_R,-0.7137357260750443
10d_R,-0.5052804101696752
8C_R,-0.9992198690630689
44_R,-1.3990356630631708
45_R,-1.1967411178317688
47l_R,-0.0491908457046371
a47r_R,0.4713770878524551
6r_R,-0.23176156645662768
IFJa_R,-0.5841981713892787
IFJp_R,-0.6148007013820682
IFSp_R,-0.5276800897026479
IFSa_R,-0.9606474493735733
p9-46v_R,-0.13989337872362317
46_R,-0.03527658785922526
a9-46v_R,0.09465754885951408
9-46d_R,0.16704765747500153
9a_R,-0.9219049737907431
10v_R,-0.7373636123798499
a10p_R,-0.15545008727207119
10pp_R,-0.3295009971142275
11l_R,-0.5070484868992292
13l_R,-1.1653066319987768
OFC_R,-1.264415604924007
47s_R,0.0792870212183899
LIPd_R,2.207228386506479
6a_R,2.301737045727132
i6-8_R,0.16759084606045926
s6-8_R,-0.8493631378337847
43_R,-0.5216378715568531
OP4_R,-1.1006393861541925
OP1_R,-0.8818309978218448
OP2-3_R,-1.0162136558475592
52_R,-2.2676965027709604
RI_R,-2.6599106089714337
PFcm_R,-1.443497716992259
PoI2_R,-1.0778303456661322
TA2_R,-1.0244372329850358
FOP4_R,0.3033850849774342
MI_R,0.9349742756761769
Pir_R,-0.8521679076348938
AVI_R,3.0095983547377667
AAIC_R,2.3963611899412482
FOP1_R,-0.2631897482601792
FOP3_R,-0.08815515164663275
FOP2_R,0.23559862325030714
PFt_R,0.3478658628858695
AIP_R,1.3968602701343744
EC_R,-1.2685195377089475
PreS_R,-2.3605865797389294
H_R,-2.3087143852412932
ProS_R,-1.1714470107146369
PeEc_R,-1.7398385944483166
STGa_R,-0.8681312981939323
PBelt_R,-2.4883683528238745
A5_R,-2.041897217865391
PHA1_R,-2.0528946154113523
PHA3_R,-1.7301268930813127
STSda_R,-1.6843156931072003
STSdp_R,-1.6416763150404414
STSvp_R,-2.113325564579356
TGd_R,-1.1365844963512928
TE1a_R,-1.7121957480046737
TE1p_R,-1.2453451989253495
TE2a_R,-1.353752253773337
TF_R,-1.3612834511417615
TE2p_R,-1.15130868173672
PHT_R,-1.0785171034240377
PH_R,-1.3567538951729343
TPOJ1_R,-1.8310560461263408
TPOJ2_R,-2.7585561907583873
TPOJ3_R,-2.906955996881182
DVT_R,-0.15279654997798423
PGp_R,-1.50687849778454
IP2_R,1.3351559307804686
IP1_R,0.9646399245375058
IP0_R,-0.11915951790025738
PFop_R,-1.092820184939641
PF_R,-0.09416898658744892
PFm_R,-0.2469331615686615
PGi_R,-1.8342473171356013
PGs_R,-0.9884024539607414
V6A_R,-0.3498661056512471
VMV1_R,-0.6080834220214643
VMV3_R,-0.9814970358664614
PHA2_R,-1.705979814870396
V4t_R,-2.070122150393036
FST_R,-2.251666226827896
V3CD_R,-0.697277697895025
LO3_R,-1.8403080258801592
VMV2_R,-1.0453141756061897
31pd_R,-0.5201085728667934
31a_R,0.44032205539260894
VVC_R,-1.4931853295078545
25_R,2.1287895633009017
s32_R,0.6780969038456808
pOFC_R,1.9575665971018987
PoI1_R,-1.6861512125027722
Ig_R,-0.962555101789266
FOP5_R,-0.33862270303716396
p10p_R,-0.5793169925071006
p47r_R,-0.6091246554122534
TGv_R,-1.7221920841422245
MBelt_R,-2.040676906016265
LBelt_R,-2.849700188680291
A4_R,-1.8201763117799017
STSva_R,-1.401331980354462
TE1m_R,-1.4812054210048067
PI_R,-1.5307315523535319
a32pr_R,3.8652311542363793
p24_R,3.892043855348611
