region,effort
V1_L,-0.8159469619765626
MST_L,-1.991002359196899
V6_L,-1.0696744604288475
V2_L,-0.7139908248430038
V3_L,-0.8372428859534821
V4_L,-0.9657734397161531
V8_L,-0.9273738120749102
4_L,1.471070145113394
3b_L,1.3794442724243448
FEF_L,2.1974282254595723
PEF_L,1.4561288707156916
55b_L,0.3380785605566794
V3A_L,-0.6415213701755188
RSC_L,0.22619538437779232
POS2_L,-0.7174795351746016
V7_L,-0.7406324570710949
IPS1_L,1.0230005884842068
FFC_L,-1.2233448599051184
V3B_L,-1.122523217868202
LO1_L,-0.8627672410307845
LO2_L,-0.6680616678234085
PIT_L,-0.27893113403871184
MT_L,-2.2111795246180983
A1_L,-2.0852272116648436
PSL_L,-0.8095260672790829
SFL_L,-0.40928474334473536
PCV_L,-1.5396752760795578
STV_L,-1.2050611642983842
7Pm_L,-0.7188646712080755
7m_L,-2.2657199028645265
POS1_L,-0.7965417702521066
23d_L,1.568087401715871
v23ab_L,0.08165229190356572
d23ab_L,0.47391876469785327
31pv_L,-0.1466448228368057
5m_L,-0.47928533735003176
5mv_L,-1.1140124732251777
23c_L,-0.26249423933549465
5L_L,-0.1570052786091468
24dd_L,3.0496932634025793
24dv_L,3.821079526310923
7AL_L,-0.9602846079251278
SCEF_L,2.4787597869297784
6ma_L,0.7335876831460262
7Am_L,0.09624633036027852
7Pl_L,1.2348851842368787
7PC_L,0.5031507312217933
LIPv_L,0.33437442206901585
VIP_L,0.21294928874822566
MIP_L,1.2224934430847103
1_L,0.2917873470785222
2_L,0.24771376914231052
3a_L,0.6930868885152801
6d_L,1.2184462284121174
6mp_L,0.38143509331970105
6v_L,0.4876021260955137
p24pr_L,2.9920505238449655
33pr_L,3.357625363981524
a24pr_L,4.677606911059011
p32pr_L,3.215486145156829
a24_L,2.8536108460932925
d32_L,0.17572856594916203
8BM_L,-1.5069522419363741
p32_L,1.5745040371349956
10r_L,0.9740808710311283
47m_L,-1.177636374753572
8Av_L,-0.4882020946921437
8Ad_L,0.2721731655095276
9m_L,-0.6217764869058039
8BL_L,-0.8454208016345147
9p_L,-1.2764160137465062
10d_L,0.16336995887712183
8C_L,-0.4064088638048653
44_L,-0.4954135486480904
45_L,-0.9683230634008405
47l_L,-1.5725807878542595
a47r_L,-0.9889864574505421
6r_L,0.2914506427288665
IFJa_L,0.25496383357821534
IFJp_L,1.099918317447192
IFSp_L,-0.5077777761074173
IFSa_L,-1.0391514989746728
p9-46v_L,-0.4346131179037739
46_L,-0.7550397400507836
a9-46v_L,-0.6065439070077141
9-46d_L,-0.45877397329870934
9a_L,-0.8163391367721655
10v_L,-0.7873766456098543
a10p_L,-1.168127520444631
10pp_L,-0.6649588942428434
11l_L,-0.7035008254882346
13l_L,-1.604959816978194
OFC_L,-1.0457257224061265
47s_L,-0.8865453700448647
LIPd_L,2.4287396269827655
6a_L,2.7569553340961104
i6-8_L,1.8120067498422978
s6-8_L,0.8490250027112375
43_L,-0.14440144964289187
OP4_L,0.06924790685663147
OP1_L,-1.0572511001974187
OP2-3_L,-0.5752636813881918
52_L,-1.3507092745415692
