region,search
V1_L,6.184051085459833
MST_L,4.453525674657067
V6_L,2.2036792980264774
V2_L,3.658823349272593
V3_L,3.6156386834126204
V4_L,5.841149392771333
V8_L,6.3602972383779255
4_L,-1.1553874086463654
3b_L,-1.3187441380983904
FEF_L,0.3062767876758279
PEF_L,-0.362105316900928
55b_L,-0.32148559532253224
V3A_L,2.790395201422645
RSC_L,-0.4499655544034096
POS2_L,0.9746896101161825
V7_L,5.990438962661934
IPS1_L,6.992038467957985
FFC_L,6.003664073313438
V3B_L,8.604298902532515
LO1_L,5.851287056086373
LO2_L,6.990907321982379
PIT_L,7.494365870776409
MT_L,4.992175913143142
A1_L,-3.2072085871263094
PSL_L,-0.26707733382116233
SFL_L,-1.5577909142552966
PCV_L,-0.36504898246495
STV_L,-0.956886956910624
7Pm_L,2.0273600922487383
7m_L,-1.1715052076741561
POS1_L,-0.19900281729307534
23d_L,-1.6268766317947212
v23ab_L,-1.7652128436035353
d23ab_L,-1.7203813940392498
31pv_L,-1.3865255718636444
5m_L,-1.0665045472769166
5mv_L,-0.5818025441254324
23c_L,-0.48376842185190344
5L_L,-0.03173045407385111
24dd_L,-0.11968864694591949
24dv_L,-0.1470570773581838
7AL_L,1.3487380960170785
SCEF_L,-1.1858669453400814
6ma_L,-0.7662440988524175
7Am_L,1.42348838168904
7Pl_L,3.1299491563148303
7PC_L,1.569736774966412
LIPv_L,5.618086260492048
VIP_L,3.817016498345752
MIP_L,5.741630876375827
1_L,-0.6291382841994045
2_L,-0.027065984289985887
3a_L,-1.3337466981079844
6d_L,-0.6733615316345672
6mp_L,-1.3449929591361802
6v_L,-0.4907568309449178
p24pr_L,-0.9257208276730226
33pr_L,-1.5698376170112578
a24pr_L,-2.094242320941658
p32pr_L,-1.0053680247811037
a24_L,-2.4465906982179093
d32_L,-2.441856633555537
8BM_L,-2.1274519173802564
p32_L,-2.1507799198645725
10r_L,-1.2930640923829952
47m_L,-1.567410703395235
8Av_L,-0.8861313449675554
8Ad_L,-1.43596862646235
9m_L,-2.4755745379171716
8BL_L,-1.1815126121077357
9p_L,-1.9174267685250634
10d_L,-1.1012758687616508
8C_L,-1.5318881185294497
44_L,-2.012642814761831
45_L,-1.9676050368368199
47l_L,-2.7535337485892537
a47r_L,-0.9215489094617573
6r_L,-1.4525011912836148
IFJa_L,-0.2784255360047654
IFJp_L,0.5698302156146918
IFSp_L,-1.1544902249917206
IFSa_L,-1.1826564792989591
p9-46v_L,-1.0111683820955257
46_L,-1.3805783456005183
a9-46v_L,-0.9326004249874466
9-46d_L,-1.5386006163256645
9a_L,-1.112097674570198
10v_L,-0.8030557099418287
a10p_L,-1.1680829838862894
10pp_L,-0.7212866918257624
11l_L,-0.8925630434417537
13l_L,-1.241492574219107
OFC_L,-1.1668543647344012
47s_L,-2.192475044437504
LIPd_L,4.46918284154687
6a_L,1.0820934678373781
i6-8_L,-0.13075014365708817
