region,mental imagery
p47r_L,-2.057824509460151
TGv_L,-1.0880503903207817
MBelt_L,-0.40234155428218193
LBelt_L,-0.4447946946149723
A4_L,-0.5977240556986737
STSva_L,-2.8592499059374883
TE1m_L,-1.1001255234996468
PI_L,-2.314112793872223
a32pr_L,-3.142203910275399
p24_L,-4.081392218632257
V1_R,4.626755550496046
MST_R,2.8013345301150356
V6_R,3.9117044286908813
V2_R,3.335803963301455
V3_R,3.9487973714297344
V4_R,6.147357298867093
V8_R,5.8393716184208
4_R,1.876333394350467
3b_R,1.8225784729487262
FEF_R,2.3467366362497324
PEF_R,1.8338772684496751
55b_R,1.0064426612312054
V3A_R,3.7753751873879673
RSC_R,-1.1702894764614338
POS2_R,1.221643086615252
V7_R,5.296419062481943
IPS1_R,4.396135196022923
FFC_R,3.3073486189214822
V3B_R,6.018588574705695
LO1_R,6.350473928309539
LO2_R,6.098297968569029
PIT_R,5.983869557423727
MT_R,2.1925514433420448
A1_R,-0.24312046838663745
PSL_R,0.1601290246736054
SFL_R,-1.2924568696315049
PCV_R,0.6466367369919496
STV_R,-1.0148926632724968
7Pm_R,3.1504404754275375
7m_R,-1.8628281408374816
POS1_R,-0.42390742415032145
23d_R,-0.8315003991055865
v23ab_R,-1.894623573143544
d23ab_R,-1.8075734859903954
31pv_R,-1.3464979754316806
5m_R,0.7109636187593099
5mv_R,1.1035552881680557
23c_R,0.22921721432924852
5L_R,0.8055870199495446
24dd_R,3.2844629089152715
24dv_R,2.2265150519195376
7AL_R,2.835311758177744
SCEF_R,0.8568471751254944
6ma_R,-0.49952265427190623
7Am_R,3.5534104584521033
7Pl_R,3.289037924096797
7PC_R,3.0873702989296397
LIPv_R,5.132601597246181
VIP_R,5.481612451650155
MIP_R,4.568739027727347
1_R,1.1707325924861223
2_R,2.1363996217767496
3a_R,1.1974094872670686
6d_R,1.5399432243411888
6mp_R,2.063780966546297
6v_R,0.8957540177845894
p24pr_R,0.928860776626365
33pr_R,-1.5783085725860457
a24pr_R,-2.84330385283882
p32pr_R,-1.321716410322936
a24_R,-3.5588270161906412
d32_R,-3.15670032204936
8BM_R,-2.2345532531581247
p32_R,-3.711443407370144
10r_R,-3.432641704618944
47m_R,-2.4507177517279812
8Av_R,-0.9696355729924537
8Ad_R,-1.52260007670966
9m_R,-2.632952007011069
8BL_R,-1.5724329507011794
9p_R,-1.8677031987882837
10d_R,-0.6285721748992835
8C_R,-1.8303953217831177
44_R,-2.456736352516096
45_R,-2.744355641331114
47l_R,-2.182694040686141
a47r_R,-2.2054646448948096
6r_R,-0.6049122300752764
IFJa_R,-2.1872338210705364
IFJp_R,-1.5670267835994915
IFSp_R,-1.7919420356439366
IFSa_R,-1.7202314612142258
p9-46v_R,-1.440927628210423
46_R,-1.185250182886372
a9-46v_R,-1.524536595021372
9-46d_R,-1.906128367922137
9a_R,-1.7525586783761773
10v_R,-1.4424944228490018
a10p_R,-1.4274890474900683
10pp_R,-1.0135804156271582
11l_R,-2.107895966736309
13l_R,-2.259702021005824
OFC_R,-0.9318672689084235
47s_R,-3.2874431032953058
LIPd_R,2.1200028732869955
6a_R,2.7086232684055056
i6-8_R,0.09368343198116778
s6-8_R,-1.3806055338556351
43_R,-0.1488005102993714
OP4_R,-1.3576950212651127
OP1_R,-0.10830492509340292
OP2-3_R,-0.3178966255548955
52_R,-0.35918877866771276
RI_R,0.5462168740199477
PFcm_R,1.0376544453629304
PoI2_R,-1.0657471636959972
TA2_R,-1.2366451925511484
FOP4_R,-1.516158112869533
MI_R,-0.6374894832386374
Pir_R,-2.8995340892607815
AVI_R,-1.9347247175359759
AAIC_R,-3.212827897935463
FOP1_R,0.45353937362260666
FOP3_R,-0.9153072161983103
FOP2_R,0.39365775665525216
PFt_R,2.466770162900236
AIP_R,3.7187908338989057
EC_R,-1.6677567229712733
PreS_R,-2.1369728235600363
H_R,-2.0080977536374087
ProS_R,-0.48443434932218654
PeEc_R,-1.0997953222138563
STGa_R,-2.302037586024611
PBelt_R,-0.8681755620759593
A5_R,-1.4471169392163088
PHA1_R,-1.1480114662108032
PHA3_R,0.3558935440850437
STSda_R,-2.072785735948278
STSdp_R,-1.2671068803826173
STSvp_R,-1.6220886055791992
TGd_R,-1.7563881495669587
TE1a_R,-1.9112331082168188
TE1p_R,-0.691510640797769
TE2a_R,-1.13611190594994
TF_R,-0.5716654438586578
TE2p_R,0.9259884693002381
PHT_R,0.1863834259548653
PH_R,5.878087312990017
TPOJ1_R,-0.40245621048814456
TPOJ2_R,-0.7174839305581848
TPOJ3_R,-2.4635185737931176
DVT_R,2.7198528883881736
PGp_R,-0.0551728846671286
IP2_R,1.6433537945584817
IP1_R,0.5532089347873766
IP0_R,4.526180120638262
PFop_R,-0.21846989438497816
PF_R,1.8816696970296998
PFm_R,-0.029097922558077697
PGi_R,-2.086249196854597
PGs_R,-0.9713993184074428
V6A_R,2.1247715743424616
VMV1_R,2.3420098370227316
VMV3_R,4.430112338587237
PHA2_R,-0.5957266577174964
V4t_R,7.22870610831878
FST_R,3.7629638834495602
V3CD_R,5.349107709887085
LO3_R,1.2627582518398326
VMV2_R,2.217696089059696
31pd_R,-0.20822323514167443
31a_R,-0.2188576290478765
VVC_R,3.0366812923076236
25_R,-3.0775453000299255
s32_R,-2.443531570490696
pOFC_R,-2.970112225003736
PoI1_R,-1.3467802253329197
Ig_R,0.062387468380696844
FOP5_R,-1.721798761458999
p10p_R,-2.120325913827423
p47r_R,-2.055732330917073
TGv_R,-1.0537361649840047
MBelt_R,-0.9999538608453864
LBelt_R,0.12191977665942058
A4_R,-0.8139424333473596
STSva_R,-1.8417526383622478
TE1m_R,-1.4919181744970973
PI_R,-2.5366206167369425
a32pr_R,-3.090665785703931
p24_R,-3.8771089465503237
