region,mental imagery
V1_L,4.910949997897186
MST_L,2.9449128614547035
V6_L,1.9572576077463506
V2_L,2.751412317392608
V3_L,2.9779260297875885
V4_L,4.670942194718715
V8_L,5.066967082027148
4_L,2.300878996318059
3b_L,2.1671641472681267
FEF_L,2.2680055972218764
PEF_L,0.25156375719284574
55b_L,0.4666774888712842
V3A_L,2.362424457627447
RSC_L,-1.0751652254890272
POS2_L,0.1297806920674537
V7_L,4.559014151406827
IPS1_L,5.344700699314675
FFC_L,4.995721957889761
V3B_L,6.537011108575382
LO1_L,4.921630389645886
LO2_L,6.205066953915794
PIT_L,6.667885534008205
MT_L,3.3863448372320324
A1_L,-0.3921665101037528
PSL_L,-0.1780760317497446
SFL_L,-1.2184588861189447
PCV_L,-0.4117474385621709
STV_L,-1.0423106887573446
7Pm_L,0.8510708782761651
7m_L,-1.9588377921889986
POS1_L,-0.9635484576936963
23d_L,-0.7269688231996517
v23ab_L,-2.595514514372035
d23ab_L,-2.3614715921769163
31pv_L,-2.20156603902396
5m_L,1.7378434161727079
5mv_L,1.1138012279377212
23c_L,0.39761764355920487
5L_L,1.8502125778862808
24dd_L,3.73852623983446
24dv_L,2.104500163550368
7AL_L,2.644786901346654
SCEF_L,1.553850939145587
6ma_L,0.12360142994160139
7Am_L,1.653459985456115
7Pl_L,2.971971043262622
7PC_L,3.224676855513894
LIPv_L,4.719328750711512
VIP_L,4.603343215969802
MIP_L,4.194661707949094
1_L,1.0118616229209703
2_L,2.1532645312785914
3a_L,1.0416542773095918
6d_L,1.681048374464656
6mp_L,2.05385521662725
6v_L,0.22432659670842897
p24pr_L,0.9311438299315351
33pr_L,-1.0638693769206402
a24pr_L,-2.2635147451301156
p32pr_L,-1.034497740390205
a24_L,-3.6209012078994403
d32_L,-3.0673485649309638
8BM_L,-2.692237373531239
p32_L,-3.2224008314432084
10r_L,-2.425625720163437
47m_L,-2.202052454740961
8Av_L,-1.1925590403387225
8Ad_L,-1.7965346836112177
9m_L,-3.038499481831641
8BL_L,-1.5524975132269032
9p_L,-2.14338157024576
10d_L,-1.6263386870879586
8C_L,-2.2826404746074425
44_L,-2.3851507699509606
45_L,-2.3684008017432987
47l_L,-3.1939083391238414
a47r_L,-1.316097239232514
6r_L,-0.9336496112498219
IFJa_L,-1.1398510313961137
IFJp_L,-0.738179298397938
IFSp_L,-2.080389801583551
IFSa_L,-1.5853795159727337
p9-46v_L,-1.8233823916261762
46_L,-1.4689430691763354
a9-46v_L,-1.6531943596323704
9-46d_L,-1.8743217984691776
9a_L,-1.159603889067106
10v_L,-1.1143397132676736
a10p_L,-1.505763654613573
10pp_L,-0.7529157874816297
11l_L,-1.2412448360210557
13l_L,-1.6599576973361867
OFC_L,-1.5996627889954913
47s_L,-2.7771637636576267
LIPd_L,2.0207883688315236
6a_L,3.6309087580691344
i6-8_L,0.7492955412617798
s6-8_L,-1.1836241973657402
43_L,-0.20727613607839518
OP4_L,-0.22619668145426663
OP1_L,-0.4374029392818014
OP2-3_L,-0.13572318826197757
52_L,-0.4268591227538564
RI_L,0.5595042134308416
PFcm_L,0.7011536963236957
PoI2_L,-0.6885566906762031
TA2_L,-2.117465676439436
FOP4_L,-1.9167869978928056
MI_L,-1.8038001758631568
Pir_L,-2.9108632050418906
AVI_L,-2.226073986507576
AAIC_L,-3.5453195701132634
FOP1_L,-0.4479531509389723
FOP3_L,-0.8184262603971427
FOP2_L,-0.715307416806589
PFt_L,0.9781426168678243
AIP_L,4.07034034213228
EC_L,-1.743833134229537
PreS_L,-1.504982255500412
H_L,-1.790799353357399
ProS_L,-0.20565253780628848
PeEc_L,-1.2853664903976998
STGa_L,-2.217659723470524
PBelt_L,-0.25587770505905155
A5_L,-1.4812322024663969
PHA1_L,-0.7627478408177558
PHA3_L,0.37442898512993783
STSda_L,-2.3969965735469625
STSdp_L,-1.026510910081503
STSvp_L,-2.1731660545467686
TGd_L,-1.7279234420068097
TE1a_L,-1.5858854502618915
TE1p_L,-0.7213019966437091
TE2a_L,-0.8093095771485028
TF_L,-0.6934451663580851
TE2p_L,0.554779411089939
PHT_L,0.03492898514262919
PH_L,5.870134836108821
TPOJ1_L,-0.6319320764458147
TPOJ2_L,-1.4689356429527225
TPOJ3_L,-1.0023537948483445
DVT_L,2.145498823116902
PGp_L,2.74197753587105
IP2_L,2.2698938635358434
IP1_L,2.33960852890793
IP0_L,5.500377806782422
PFop_L,1.082804724015087
PF_L,0.7565597573644117
PFm_L,-0.1872456972355951
PGi_L,-2.1708044018767048
PGs_L,-0.3407119715962049
V6A_L,2.2440968222789244
VMV1_L,1.4138733329982798
VMV3_L,4.286159793362758
PHA2_L,-1.1998686817993502
V4t_L,5.819800407213531
FST_L,5.604999009328214
V3CD_L,6.164602268425347
LO3_L,1.3376901434421524
VMV2_L,1.0838653444081428
31pd_L,-2.248551957735639
31a_L,-0.7864616472695186
VVC_L,3.7810092914330777
25_L,-3.1741198056761264
s32_L,-2.5439991863281706
pOFC_L,-2.5128737652937603
PoI1_L,-0.34971264131714347
Ig_L,-0.10067857332529921
FOP5_L,-1.5730367275720616
p10p_L,-1.3379988971177577
