region,manipulation
V6A_L,3.0266494138863616
VMV1_L,-1.4062678758532572
VMV3_L,0.6355898048021303
PHA2_L,-1.5160465491911586
V4t_L,1.0498543470045096
FST_L,-0.07174269199488832
V3CD_L,1.6705682939958826
LO3_L,-0.24404393615110503
VMV2_L,-1.2088637237311528
31pd_L,-1.8397689677220097
31a_L,-1.3649277835827849
VVC_L,2.46568952406694
25_L,-3.687969867977978
s32_L,-2.766006483562619
pOFC_L,-2.961067924395907
PoI1_L,-1.5644011848031592
Ig_L,-0.8144517026755174
FOP5_L,0.3817657436638521
p10p_L,-1.6110273467187557
p47r_L,-0.2847633110216211
TGv_L,-1.0869270195015561
MBelt_L,-1.386762413372902
LBelt_L,-1.4713117685473778
A4_L,-0.7774759543845756
STSva_L,-2.704269581456481
TE1m_L,-1.5452302191902514
PI_L,-2.1238623719891887
a32pr_L,-1.5995901726928556
p24_L,-3.75297763183781
V1_R,-0.8219972665029601
MST_R,-0.24680134319979588
V6_R,2.887104423085005
V2_R,-0.7833911855344522
V3_R,0.2463446753629922
V4_R,1.638621657596972
V8_R,1.2435649297389377
4_R,-0.7959356632970046
3b_R,-0.5363428040422583
FEF_R,0.9325495258913856
PEF_R,0.46943791478022595
55b_R,-0.16342000679305638
V3A_R,0.5834064653434888
RSC_R,-1.6839253844818447
POS2_R,2.4914241833087245
V7_R,6.114571522923689
IPS1_R,8.59986637452351
FFC_R,1.147730423023967
V3B_R,5.085530609089705
LO1_R,0.6597726981373423
LO2_R,0.3662298933980287
PIT_R,2.734662615733773
MT_R,-1.005178734154119
A1_R,-1.5456882130848395
PSL_R,0.21032062519416594
SFL_R,-1.7021348929364566
PCV_R,1.123530116014017
STV_R,-0.47383367618947503
7Pm_R,6.469576230802711
7m_R,-0.9953676501340503
POS1_R,-1.8297395576979318
23d_R,-1.2002111398808177
v23ab_R,-2.20425684236567
d23ab_R,-1.6639983503446893
31pv_R,-0.9525216648832614
5m_R,-0.20841438788970265
5mv_R,0.4453938644510195
23c_R,-1.0042955802002642
5L_R,0.5367857341872754
24dd_R,-0.671163651865731
24dv_R,1.105621249307307
7AL_R,2.976246495558193
SCEF_R,-0.5588626931608366
6ma_R,0.3026544772983537
7Am_R,4.266814911823363
7Pl_R,4.233820204806956
7PC_R,3.440217102827983
LIPv_R,9.012083039000775
VIP_R,5.690086729232495
MIP_R,8.054615715614304
1_R,-0.31026457158430326
2_R,0.9950850985521505
3a_R,-0.7275427471707515
6d_R,-0.19999714077471936
6mp_R,0.2967695149702953
6v_R,0.004172400134486754
p24pr_R,-0.1754839142294906
33pr_R,-2.2837061280698894
a24pr_R,-0.6696926749167113
p32pr_R,1.7476153374632457
a24_R,-3.834518405601982
d32_R,-2.4383137631953895
8BM_R,-0.7771467691595485
p32_R,-3.432372385135462
10r_R,-3.905470734704128
47m_R,-1.8422692650064094
8Av_R,-0.9149946921745529
8Ad_R,-0.954858966953675
9m_R,-2.555097805760419
8BL_R,-1.5002686229734472
9p_R,-0.9851431867370255
10d_R,-1.0222086895346325
8C_R,0.8205466167260224
44_R,-1.0101333993990513
45_R,-1.6835368258678678
47l_R,-1.5912432693477252
a47r_R,-0.7121330144111346
6r_R,1.2447293128689696
IFJa_R,1.493838816707318
IFJp_R,1.0479863900313644
IFSp_R,1.995330456780856
IFSa_R,0.04235556554288489
p9-46v_R,2.5033154912996918
46_R,1.3223821462614278
a9-46v_R,0.9030902862102952
9-46d_R,-0.018752357539128083
9a_R,-0.605376047394216
10v_R,-2.480826671050009
a10p_R,-0.7614494811127829
10pp_R,-0.7776034619430153
11l_R,-1.3467863285713195
13l_R,-2.6621873836237135
OFC_R,-2.020662137581392
47s_R,-1.9312909111485108
LIPd_R,10.500423100195967
6a_R,5.312056698898538
i6-8_R,1.7824915186943557
s6-8_R,-0.8895519521132745
43_R,-0.6819355211895498
OP4_R,-0.9671696894108238
OP1_R,-0.10538032372389854
OP2-3_R,-1.0239781557372385
52_R,-2.396289276569584
RI_R,-0.4679064122853208
PFcm_R,0.5898065078112735
PoI2_R,-1.9344828278686754
TA2_R,-1.9510770671794677
FOP4_R,-0.4265876548707189
MI_R,0.0791469333400461
Pir_R,-2.5581169777786603
AVI_R,0.8610380713453392
AAIC_R,-0.8173215983496049
FOP1_R,-1.1780463451488146
FOP3_R,-0.4816504249468543
FOP2_R,-1.0805555976081969
PFt_R,0.8759538701582994
AIP_R,7.9949013287463835
EC_R,-2.433250169834925
PreS_R,-2.280966616752066
H_R,-2.6127386656045974
ProS_R,-1.4905796877837292
PeEc_R,-1.8092133178453196
STGa_R,-2.37057833673936
PBelt_R,-2.3605960451839003
A5_R,-2.128373333683261
PHA1_R,-1.6789574487997145
PHA3_R,-0.6042119093320588
STSda_R,-2.311388184302459
STSdp_R,-2.12935187714116
STSvp_R,-1.54685984768714
TGd_R,-1.750557406991026
TE1a_R,-1.5683887097470002
TE1p_R,-0.24365436492983703
TE2a_R,-1.3336948728855857
TF_R,-0.503627602877199
TE2p_R,-0.9200850035957496
PHT_R,0.8575289919100821
PH_R,3.1027840312095027
TPOJ1_R,-0.4487019906654416
TPOJ2_R,-0.7302823112675432
TPOJ3_R,-0.5896794689872916
DVT_R,3.529794669042621
PGp_R,1.1304662626142263
IP2_R,9.669615948299835
IP1_R,6.687325114170077
IP0_R,6.3054913622274
PFop_R,0.26832912998586433
PF_R,1.6100820992889846
PFm_R,3.137974110657364
PGi_R,0.708307675792466
PGs_R,2.544178735603806
V6A_R,3.3725725380609783
VMV1_R,-0.08354107332034458
VMV3_R,1.4178903525546924
PHA2_R,-1.6349966223015748
V4t_R,0.4250483179454366
FST_R,0.565000208672738
V3CD_R,2.2015710944209235
LO3_R,-0.9006709854690178
VMV2_R,0.45841982449223656
31pd_R,-0.08175830902902755
31a_R,-1.411790143970346
VVC_R,1.4743185140114214
25_R,-3.3156593083149857
s32_R,-3.1575087661920267
pOFC_R,-2.8655322703313355
PoI1_R,-2.630328389006037
Ig_R,-1.595844139049374
FOP5_R,-1.0852966954515182
p10p_R,-0.9251454389786082
p47r_R,-0.1557764544075988
TGv_R,-0.8692844300034464
MBelt_R,-2.3340575625555733
LBelt_R,-2.1824517915929507
A4_R,-1.825924456606953
STSva_R,-1.916720526596026
TE1m_R,-1.2199761308579478
PI_R,-2.710396097493711
a32pr_R,-0.617180984017774
p24_R,-3.214013228512174
