region,manipulation
V1_L,-1.5471396644080813
MST_L,-1.0138911047103987
V6_L,0.9371292703221284
V2_L,-1.0325780968762945
V3_L,-0.3212045134398681
V4_L,0.6591546564951144
V8_L,3.1715196589805386
4_L,-0.2561447522069945
3b_L,-0.31401505761100285
FEF_L,2.9293015133727445
PEF_L,2.03581915226442
55b_L,0.7261994408298506
V3A_L,0.37803272414040284
RSC_L,-2.0489243856330535
POS2_L,1.8654933379552976
V7_L,3.3146466833217567
IPS1_L,9.086725855556724
FFC_L,3.192234393774849
V3B_L,2.389763512199344
LO1_L,1.159345056617214
LO2_L,2.1128996626552348
PIT_L,4.364580445385821
MT_L,-1.0023650907746595
A1_L,-1.2444032710474817
PSL_L,1.1044085212489134
SFL_L,-1.366274729283163
PCV_L,-0.9749903555652338
STV_L,0.34235077539990716
7Pm_L,3.6693068880633533
7m_L,-1.9056403582061905
POS1_L,-0.6989822494882636
23d_L,-1.0115012660918228
v23ab_L,-2.088680901797089
d23ab_L,-2.074228492440868
31pv_L,-1.5092109540755714
5m_L,-1.0880180190819284
5mv_L,-1.2814049550006892
23c_L,-1.2911928909637742
5L_L,0.06040402916229575
24dd_L,-0.09290185375507981
24dv_L,1.2403506686254657
7AL_L,1.510674619640291
SCEF_L,0.7832470315830797
6ma_L,0.016598962240714277
7Am_L,2.189936387571838
7Pl_L,5.847846572245854
7PC_L,4.503623085687494
LIPv_L,9.653194402459718
VIP_L,3.8003709273022968
MIP_L,9.098756851209474
1_L,-0.3576140944233168
2_L,1.4488291159343958
3a_L,-0.09437834390356464
6d_L,-0.04384408108306985
6mp_L,-1.3555905686511298
6v_L,2.070183706193983
p24pr_L,-0.21482875546406982
33pr_L,-2.2460091117012646
a24pr_L,-1.3184101303456213
p32pr_L,1.890939165047516
a24_L,-3.3684544262846376
d32_L,-3.182469692088226
8BM_L,-1.0359449880405074
p32_L,-2.75801134187654
10r_L,-3.3114201223073456
47m_L,-2.55570229619302
8Av_L,0.30640309969810464
8Ad_L,-0.9404909736023168
9m_L,-2.6871385231873957
8BL_L,-0.7711442864050854
9p_L,-1.4340446296151226
10d_L,-1.5610272060825023
8C_L,1.1089057517419505
44_L,-0.13141885032947176
45_L,-1.86427400192268
47l_L,-2.3666702185505115
a47r_L,-0.8168236735196334
6r_L,2.378171942342822
IFJa_L,2.113699145627347
IFJp_L,2.9048208353865315
IFSp_L,1.3601611293666422
IFSa_L,-0.0004621445934169267
p9-46v_L,1.8202656113056235
46_L,0.3852215117186966
a9-46v_L,0.36510831595095755
9-46d_L,-0.47528982152221955
9a_L,-1.384018601009369
10v_L,-2.0233836764374753
a10p_L,-1.442889381113936
10pp_L,-1.2033486231475188
11l_L,-1.7517675204955023
13l_L,-2.8733287478765788
OFC_L,-1.8473744958014462
47s_L,-2.7209139473091333
LIPd_L,11.900994036734204
6a_L,4.56014745919104
i6-8_L,3.589679307553752
s6-8_L,-0.4043097138305963
43_L,0.4583396544050629
OP4_L,0.19282898727478856
OP1_L,-0.6639250206525005
OP2-3_L,-0.5391561070692289
52_L,-1.311278434466455
RI_L,0.16427315218232255
PFcm_L,0.7164695155775995
PoI2_L,-1.341742533325942
TA2_L,-2.171060590552255
FOP4_L,-0.38407828203350647
MI_L,0.13905385130705708
Pir_L,-3.0991832292876618
AVI_L,0.7225710557104298
AAIC_L,-1.52534008692088
FOP1_L,0.17316333511443996
FOP3_L,0.31928267290511314
FOP2_L,0.4292934923310539
PFt_L,2.824377537034465
AIP_L,9.517678870271235
EC_L,-2.5778586297544477
PreS_L,-2.2745547419036924
H_L,-2.508083299592968
ProS_L,-1.1895174872401386
PeEc_L,-1.9789735630783034
STGa_L,-2.0197124066133023
PBelt_L,-1.4534415602166448
A5_L,-1.3347514132825447
PHA1_L,-1.233836514942246
PHA3_L,-0.23101888032600612
STSda_L,-2.3526637354171696
STSdp_L,-1.7392934269690314
STSvp_L,-1.9658700020983886
TGd_L,-2.2618653480278907
TE1a_L,-1.3997251348693176
TE1p_L,-0.42379901981067875
TE2a_L,-1.3632467905910741
TF_L,-1.1301557384368501
TE2p_L,-0.33253758719029175
PHT_L,-0.676374322182002
PH_L,2.6601432097247177
TPOJ1_L,0.09762240869208283
TPOJ2_L,-1.0488846268502523
TPOJ3_L,-0.8825400559558042
DVT_L,3.8120737832969973
PGp_L,0.8884139687150635
IP2_L,12.416670976647655
IP1_L,8.603681321965302
IP0_L,5.161372609458121
PFop_L,1.0306036470848448
PF_L,2.399642998475528
PFm_L,3.9304567366341767
PGi_L,0.694922000191222
PGs_L,0.873364541025942
