region,object recognition
V1_L,0.3710560130749505
MST_L,1.461811353813239
V6_L,0.3805114669792703
V2_L,0.43726504960307255
V3_L,1.1288042849682667
V4_L,2.7487136891038686
V8_L,6.990045777216074
4_L,-0.415738228200659
3b_L,-0.0010732314603378204
FEF_L,0.3256842397899551
PEF_L,-1.1805937745491224
55b_L,-0.74908327951113
V3A_L,0.35799449360967406
RSC_L,-1.106267516719064
POS2_L,0.1331095751708717
V7_L,1.7614717423852781
IPS1_L,3.4041406889913532
FFC_L,8.047536615393605
V3B_L,2.8767030539799534
LO1_L,2.238213522273227
LO2_L,4.417066625041677
PIT_L,7.929102587054776
MT_L,1.955382922862049
A1_L,-0.04496068610369834
PSL_L,-0.0009535841040402042
SFL_L,-1.2930250845564473
PCV_L,-0.953090874164935
STV_L,0.5765798576110851
7Pm_L,-0.32320056276491677
7m_L,-1.2504220475207064
POS1_L,-0.2182488039317189
23d_L,0.4361218379546395
v23ab_L,-1.3337256842079335
d23ab_L,-1.3250639998612308
31pv_L,-0.6538620534426575
5m_L,-1.232413655506369
5mv_L,-1.0697868325195101
23c_L,-0.2736342705806084
5L_L,-0.800571306227198
24dd_L,-1.035689048190006
24dv_L,-1.200413390461569
7AL_L,-0.6529291308690814
SCEF_L,-1.3729311251364398
6ma_L,-0.6103246942250288
7Am_L,-0.46855876791367684
7Pl_L,0.8197289137811941
7PC_L,1.3635628889832792
LIPv_L,2.9016098790024154
VIP_L,0.5291567132704065
MIP_L,1.584221957572553
1_L,-0.018012293381557132
2_L,1.1437696013002943
3a_L,-0.17630533689442907
6d_L,-0.556665518481576
6mp_L,-1.0921093410050426
6v_L,0.38488680012261856
p24pr_L,-0.37356519456728954
33pr_L,-0.916318730713905
a24pr_L,-1.2289419678890248
p32pr_L,-0.3047581588748493
a24_L,-1.6665053329979505
d32_L,-1.3438097778182116
8BM_L,-1.3465952283491194
p32_L,-1.494708897392834
10r_L,-1.4664299460920487
47m_L,-0.7689583674466604
8Av_L,-0.6544170649262578
8Ad_L,-1.1970674880267544
9m_L,-1.2552065294205812
8BL_L,-0.5791970370411259
9p_L,-1.1188101092224862
10d_L,-0.6708990557509349
8C_L,-1.0251134359235523
44_L,-0.9037108288425298
45_L,-0.9952308596787299
47l_L,-1.5414419860732025
a47r_L,-0.5986150734884829
6r_L,0.4638822049794785
IFJa_L,0.45278914674248405
IFJp_L,0.25202334553976113
IFSp_L,-0.5478266982852065
IFSa_L,0.25817843254796535
p9-46v_L,-0.6076728573114835
46_L,-0.7601650224772468
a9-46v_L,-1.1221230023811357
9-46d_L,-1.0426945166041475
9a_L,-1.1043584469861834
10v_L,-0.7257693013648601
a10p_L,-0.9498087935667076
10pp_L,-0.4976338232931594
11l_L,-0.8389505108823412
13l_L,-1.0408543653232052
OFC_L,-0.8301758592173862
47s_L,-0.9777591258313575
LIPd_L,3.1928133311484332
6a_L,1.2324035525720787
i6-8_L,-0.13346627139012596
s6-8_L,-0.7616053691153813
43_L,0.31219926667954145
OP4_L,0.09641019740680529
OP1_L,-0.3964648802588768
OP2-3_L,-0.3097386825484965
52_L,0.08675757056779435
RI_L,-0.059615997154619564
PFcm_L,-0.1797567138499741
PoI2_L,-0.4686739153196308
TA2_L,-1.38846134077321
FOP4_L,-0.7351902282839261
MI_L,-1.0695210319331594
Pir_L,-1.4471593141876196
AVI_L,-0.8829695147901243
AAIC_L,-1.4513114661107123
FOP1_L,0.4276579853115902
FOP3_L,0.0629671944544434
FOP2_L,0.6962890785088508
PFt_L,2.0513059233444113
AIP_L,3.804718004427972
EC_L,-0.4332430549651625
PreS_L,0.07007141652358621
H_L,-0.009198042654969093
ProS_L,0.7105603925300127
PeEc_L,0.005720729546128565
STGa_L,-0.8081551559358642
PBelt_L,-0.27724587703250436
A5_L,-0.7018468151395602
PHA1_L,1.680393863011771
PHA3_L,2.8429754199947697
STSda_L,-1.176668575676426
STSdp_L,-0.47721019951769134
STSvp_L,-0.4762608748481123
TGd_L,-0.9085874842241964
TE1a_L,-0.5605446719503702
TE1p_L,1.0329473749956493
TE2a_L,-0.4901548171967186
TF_L,0.9361939885379438
TE2p_L,1.8395186497010507
PHT_L,0.7673043774602814
PH_L,5.762962482930213
TPOJ1_L,0.8389822826326758
TPOJ2_L,-0.010035709485394968
TPOJ3_L,-0.23087152438710867
DVT_L,1.7642592381839295
PGp_L,0.7167363869131574
IP2_L,2.7792307238488347
IP1_L,1.4809447050195252
IP0_L,2.4817078235020795
PFop_L,0.1214461239074554
PF_L,0.48866061654567816
PFm_L,0.14767259660278542
PGi_L,-0.4948859574315938
PGs_L,-0.7351352402929892
V6A_L,1.5559649942016442
VMV1_L,1.341620622759752
VMV3_L,3.705774636128659
PHA2_L,1.200610394031209
V4t_L,3.2159354804205
FST_L,3.3521460380602743
V3CD_L,3.5253839419166346
LO3_L,0.9030660599702919
VMV2_L,1.4263396218144722
31pd_L,-0.7912331473355136
31a_L,-0.948345330455369
VVC_L,6.703622261992799
25_L,-1.7197016974514152
s32_L,-1.1915113294296564
pOFC_L,-1.2792935558263079
PoI1_L,-0.4677333492025684
Ig_L,-0.3061934751798166
FOP5_L,-0.6256023746452647
p10p_L,-0.989718172917889
p47r_L,-0.8896064440368936
TGv_L,-0.4348748847598261
MBelt_L,-0.08910503128889423
LBelt_L,-0.16073533691169087
A4_L,-0.37415345517230136
STSva_L,-1.1718146134461935
TE1m_L,-0.5985756180914248
PI_L,-1.0123409646743642
a32pr_L,-1.6088848582804456
p24_L,-1.9616717442367153
V1_R,1.2433988784241479
MST_R,1.4393912077530693
V6_R,1.5537670774302967
V2_R,0.8062802722588283
V3_R,1.4427122618831285
V4_R,3.8790023423826443
V8_R,4.818212453539186
4_R,-0.5805008365328255
3b_R,-0.275873849548988
FEF_R,-0.31880270598251276
PEF_R,-0.9111166677103976
55b_R,-0.8949548383825718
V3A_R,0.22878245171110864
RSC_R,-0.33776832473561025
POS2_R,-0.3685017082483145
V7_R,3.9467704714688323
IPS1_R,2.8166927592448676
FFC_R,5.532240474332234
V3B_R,4.3779644239544515
LO1_R,2.5206224936996806
LO2_R,3.8508286947122627
PIT_R,6.8701646625603905
MT_R,0.5442801880584041
A1_R,0.23678609305885548
PSL_R,-0.3394035333479935
SFL_R,-0.8537350176031486
PCV_R,-0.6119706935736267
STV_R,-1.1591709301744597
7Pm_R,0.08145232026624546
7m_R,-0.7049159170442141
POS1_R,-0.47439039584874115
23d_R,-0.11439006450355867
v23ab_R,-0.6011841514786584
d23ab_R,-0.9301591008641658
31pv_R,-0.403135140906478
5m_R,-0.5876960685000919
5mv_R,-0.13342055301871278
23c_R,-0.6860357074403891
5L_R,0.27032095811451845
24dd_R,-1.3271652023630651
24dv_R,0.4251542306280779
7AL_R,0.8321852789892826
SCEF_R,-1.5384774869549651
6ma_R,-0.7179672942241133
7Am_R,1.033869613402602
7Pl_R,0.23298283039435022
7PC_R,0.6095244747996553
LIPv_R,2.6300871675531097
VIP_R,2.2214120159068504
MIP_R,2.065565209579256
1_R,-0.28385754372268457
2_R,-0.04254875571256004
3a_R,-0.5397672997826558
6d_R,-0.3006034019291121
6mp_R,-0.8307543216546149
6v_R,-0.48630690076605804
p24pr_R,0.3073170498518271
33pr_R,-1.2503100204178532
a24pr_R,-1.4804327924781477
p32pr_R,-0.6824873579251176
a24_R,-1.7451705521844623
d32_R,-1.6223299614326714
8BM_R,-1.1459553980975832
p32_R,-1.3951608773895483
10r_R,-1.6356743240039462
47m_R,-1.0653155723368704
8Av_R,-1.1119001801399473
8Ad_R,-1.1590519841331
9m_R,-1.3222368207763853
8BL_R,-0.9065790319326931
9p_R,-1.26099648235702
10d_R,-0.6684807880943004
8C_R,-1.0538132720841655
44_R,-0.7568401732720855
45_R,-0.9576837822744247
47l_R,-0.695535107014772
a47r_R,-0.7024990443106487
6r_R,-0.21825145667850385
IFJa_R,-0.1987537504154199
IFJp_R,0.24861754424571197
IFSp_R,-0.6847444390481465
IFSa_R,-0.5134138456579425
p9-46v_R,-0.5181225557016428
46_R,-0.7079652508351953
a9-46v_R,-0.7337376880881141
9-46d_R,-1.4378417415627096
9a_R,-0.8506709480801403
10v_R,-1.1096546521684172
a10p_R,-0.29938955091149433
10pp_R,-0.6086576147642492
11l_R,-0.9356696762622666
13l_R,-1.2208152241022026
OFC_R,-0.8260774700629445
47s_R,-1.495562499284285
LIPd_R,0.16755415762693945
6a_R,0.1794881358920278
i6-8_R,-0.7813220000396761
