region,object recognition
s6-8_R,-0.6656526130764182
43_R,0.03981771982022087
OP4_R,-0.28777083386379304
OP1_R,0.10865074378188602
OP2-3_R,-0.06537090219180547
52_R,-0.8170977262051018
RI_R,-0.3282170824619185
PFcm_R,0.0623070507724213
PoI2_R,-0.7887967764928238
TA2_R,-1.3398921333019689
FOP4_R,-1.2979352491101028
MI_R,-0.8845241912323443
Pir_R,-1.1877300651735372
AVI_R,-0.8354135469273962
AAIC_R,-1.8657691801876108
FOP1_R,-1.1968416729974292
FOP3_R,-0.6710814827975118
FOP2_R,-0.1788826652981266
PFt_R,0.5194041810476541
AIP_R,1.0528013540142598
EC_R,-0.25264298007515734
PreS_R,0.3140107306568415
H_R,-0.05436183858865885
ProS_R,0.526093211435377
PeEc_R,0.12062306874943225
STGa_R,-1.054697111271879
PBelt_R,-0.7790864319508627
A5_R,-0.9421086765304998
PHA1_R,1.112579953495649
PHA3_R,3.0575737676877095
STSda_R,-1.154003992930748
STSdp_R,-0.7644264818210773
STSvp_R,-0.5855241637125659
TGd_R,-0.4105176183408511
TE1a_R,-0.581863504692898
TE1p_R,-0.009065713747518453
TE2a_R,-0.5797066809188408
TF_R,1.286338423759942
TE2p_R,0.5802528275488367
PHT_R,1.3817698828865819
PH_R,6.156350002443616
TPOJ1_R,-0.04949570544702406
TPOJ2_R,-0.03810523083260977
TPOJ3_R,-0.8262062699656479
DVT_R,0.856850604732511
PGp_R,0.5625153306866189
IP2_R,-0.036306223072978316
IP1_R,0.6585299007369124
IP0_R,4.330394624611413
PFop_R,-0.10375744491074938
PF_R,0.25817042227469184
PFm_R,-0.4712925731546648
PGi_R,-0.6810144515316892
PGs_R,-0.49645859811551885
V6A_R,0.5128900723981491
VMV1_R,2.356808650118771
VMV3_R,5.502956055104731
PHA2_R,1.5579620100773959
V4t_R,3.653012639144347
FST_R,2.7836449612489753
V3CD_R,3.2271168327748754
LO3_R,-0.14703896509831252
VMV2_R,3.875609685147881
31pd_R,-0.14729197969134486
31a_R,-0.8062479026864667
VVC_R,5.623874769648828
25_R,-1.363761529814782
s32_R,-1.5142434971896623
pOFC_R,-1.1491891525040612
PoI1_R,-0.9022304411197395
Ig_R,-0.6915975491614941
FOP5_R,-0.9746568334302612
p10p_R,-0.84783578120971
p47r_R,-0.7959050995180216
TGv_R,0.6651958923175805
MBelt_R,-0.4059609416777458
LBelt_R,-0.3613362897714848
A4_R,-0.668536562384388
STSva_R,-1.1045546463097593
TE1m_R,-0.4475124029618976
PI_R,-1.1540925662200798
a32pr_R,-1.4615530682642945
p24_R,-1.84018567641511
