region,fear
STV_R,-0.7083513938187714
7Pm_R,-1.4000501213803602
7m_R,-2.087320583145075
POS1_R,-1.6979462784834547
23d_R,-0.5808280700294295
v23ab_R,-1.3406238245046465
d23ab_R,-0.9368183505693489
31pv_R,-0.04706006257286885
5m_R,0.03863602707384311
5mv_R,-0.31613873371515916
23c_R,-0.4376376413167956
5L_R,-0.18496726952680806
24dd_R,-0.22130000099321157
24dv_R,-0.27458630678254087
7AL_R,-0.05505803895442155
SCEF_R,-0.8321289621595404
6ma_R,-0.8784561215550748
7Am_R,-1.0152594656073706
7Pl_R,-1.3766813895576546
7PC_R,-0.11426378440378843
LIPv_R,-1.1016343409261022
VIP_R,-0.3425844611856542
MIP_R,-1.9066212581652553
1_R,-0.5378420125545109
2_R,-1.049741860473388
3a_R,-1.1915392755659275
6d_R,-1.1779939306481477
6mp_R,-1.0260905061257797
6v_R,-1.2713932487044985
p24pr_R,0.5994184810063695
33pr_R,0.8455360469216621
a24pr_R,-1.0154364618583143
p32pr_R,-1.5935603866605492
a24_R,2.192867069680272
d32_R,-0.2401687317287293
8BM_R,-1.2314527011221452
p32_R,0.4748689838866642
10r_R,-0.0666831282417237
47m_R,2.0037085312845404
8Av_R,-0.8293490363675222
8Ad_R,-0.6086123113254795
9m_R,-0.5604301168281236
8BL_R,-0.37637918859235053
9p_R,-1.073107332277895
10d_R,0.31563469987421583
8C_R,-1.9662969067602685
44_R,-0.9022646373642865
45_R,-0.32336143246332644
47l_R,-0.3367487997946255
a47r_R,0.19353289568852697
6r_R,-1.7392442785030269
IFJa_R,-1.5317825375721577
IFJp_R,-2.252649921505475
IFSp_R,-1.7882071963196111
IFSa_R,-0.8008880659954076
p9-46v_R,-1.909550924497969
46_R,-1.3850961088397007
a9-46v_R,-0.8413599164680085
9-46d_R,-0.47600292697365276
9a_R,0.1727176892583268
10v_R,0.09056549727545996
a10p_R,-0.7961099806294435
10pp_R,0.43079160264150496
11l_R,0.7310827245310676
13l_R,0.34572908203708247
OFC_R,-0.1833287231013892
47s_R,1.8736489647622914
LIPd_R,-2.9624859905089704
6a_R,-2.1352897072599295
i6-8_R,-0.8611693652031742
s6-8_R,0.06468326396802121
43_R,-1.2536669303676478
OP4_R,-0.7613183876944012
OP1_R,1.2299585616287747
OP2-3_R,1.2051776796375735
52_R,3.116816967306456
RI_R,-0.3876707341266922
PFcm_R,-0.5101189115390784
PoI2_R,3.0090441923309372
TA2_R,0.5985938335088463
FOP4_R,0.11817989488693402
MI_R,1.4236394047784273
Pir_R,6.841665334370461
AVI_R,-0.042979801900348454
AAIC_R,0.7496265251707698
FOP1_R,0.22425994715333372
FOP3_R,0.8358062780075383
FOP2_R,0.18950044952805015
PFt_R,-0.696141274953669
AIP_R,-2.4690591798750248
EC_R,9.362187134541001
PreS_R,2.4994835699247084
H_R,4.118571486763482
ProS_R,-0.046541952119362975
PeEc_R,2.066040695340145
STGa_R,0.7421486781459712
PBelt_R,-0.7992593465741343
A5_R,-0.9024219929191434
PHA1_R,2.295594275010006
PHA3_R,1.7100776465174028
STSda_R,0.2415074990171425
STSdp_R,-0.28409411170415555
STSvp_R,-0.9189943325624346
TGd_R,1.0182268381686606
TE1a_R,-0.9413138356684736
TE1p_R,-0.8049378147531338
TE2a_R,-0.18508271055264738
TF_R,1.4754296796639126
TE2p_R,1.122157213793062
PHT_R,-0.6590830116824927
PH_R,-0.535956566886396
TPOJ1_R,-0.840687924146629
TPOJ2_R,-0.40704062358403603
TPOJ3_R,-2.178969716575863
DVT_R,-1.5892109631074998
PGp_R,-1.4372124535409967
IP2_R,-2.411920011474202
IP1_R,-2.15690514829478
IP0_R,-1.6661815286501889
PFop_R,0.37334128295109587
PF_R,-0.676577070571483
PFm_R,-1.0254140895075703
PGi_R,-2.0766830466888573
PGs_R,-1.4191312871707362
V6A_R,-1.2899333974220886
VMV1_R,0.01500201811475885
VMV3_R,0.693056420946623
PHA2_R,2.0629737431528143
V4t_R,0.25026921986427136
FST_R,0.24063056054720022
V3CD_R,-0.1984337458542461
LO3_R,0.1613225944162441
VMV2_R,-0.11601179941807768
31pd_R,-0.10028184292746994
31a_R,-0.5088221553828116
VVC_R,1.4775552030334695
25_R,3.501330785543725
s32_R,1.1811812755689592
pOFC_R,2.2777746849548337
PoI1_R,4.376831956463563
Ig_R,2.5554503722347377
FOP5_R,-0.1473991145221302
p10p_R,-0.6135249690810921
p47r_R,-1.412399821655995
TGv_R,0.2161577701510563
MBelt_R,1.4313064838189555
LBelt_R,0.008052547777526599
A4_R,-1.0807815499211704
STSva_R,-0.36273995454474084
TE1m_R,-0.8309114095070455
PI_R,2.360480408243127
a32pr_R,-0.7790558118986443
p24_R,1.3515811232207895
