region,language
V1_L,-0.5455989012942084
MST_L,1.0571476853251347
V6_L,-0.5669036385976881
V2_L,-0.5655176084567599
V3_L,-0.38223895382042467
V4_L,-0.2803940159828844
V8_L,-0.1568340088425627
4_L,-0.03159860839468283
3b_L,-0.2798671280378414
FEF_L,3.364350091151024
PEF_L,3.7040190326508196
55b_L,2.458732503632769
V3A_L,-1.0134157029718658
RSC_L,-0.6178875931282408
POS2_L,-0.678516663870303
V7_L,-0.7241886629550001
IPS1_L,0.5241559181200801
FFC_L,1.4652846437795097
V3B_L,-0.7608930037161419
LO1_L,-1.0028312218440383
LO2_L,0.3814966100437645
PIT_L,1.0464013035154052
MT_L,0.04580181138432381
A1_L,-0.22723009016841209
PSL_L,0.8006984776606263
SFL_L,0.3490951105072934
PCV_L,-1.5791539934085146
STV_L,1.9464025615007574
7Pm_L,-0.611895282968917
7m_L,-1.3407523205796386
POS1_L,-0.5953720719734609
23d_L,-0.6860501697949908
v23ab_L,-1.6323800421840275
d23ab_L,-0.7154585624613843
31pv_L,-0.9118085261131158
5m_L,-1.1431645018307603
5mv_L,-1.452078071156231
23c_L,-1.108138145474953
5L_L,-0.6929281447332305
24dd_L,-0.35547516351816744
24dv_L,1.3165013097656142
7AL_L,-1.1067975581411877
SCEF_L,3.4599291461308814
6ma_L,-0.25830822419178345
7Am_L,-0.5967258861925007
7Pl_L,0.043064440073841984
7PC_L,-0.2801393670927105
LIPv_L,5.051978520348038e-06
VIP_L,-0.792953831340929
MIP_L,0.6630942227035921
1_L,-0.35958440041052314
2_L,-1.1271569245771702
3a_L,-0.5183258334318142
6d_L,0.4604298293121087
6mp_L,-0.10853152632185001
6v_L,2.0380242158660278
p24pr_L,-0.8034402279113
33pr_L,-0.9130888722490353
a24pr_L,-0.0920208930243907
p32pr_L,1.8358356189703566
a24_L,-1.4817990490544355
d32_L,-1.2447799177381431
8BM_L,0.5532867243500224
p32_L,-1.4844986272775613
10r_L,-0.5073664026951396
47m_L,1.6342687311144657
8Av_L,0.012566452402626382
8Ad_L,-0.4657909225331464
9m_L,-0.8932136922828039
8BL_L,0.6698536603778014
9p_L,0.08605747656811051
10d_L,-0.7597205006782345
8C_L,0.98095762497779
44_L,6.092814063603601
45_L,4.878337781725443
47l_L,4.458377851729053
a47r_L,0.49420334313316655
6r_L,5.351647016527399
IFJa_L,4.376014841719586
IFJp_L,3.9563224877188428
IFSp_L,3.7081621550191066
IFSa_L,3.1633376757632843
p9-46v_L,1.057892321433935
46_L,0.4242819998973513
a9-46v_L,0.07195388123313493
9-46d_L,-0.8594866416067145
9a_L,-0.3959222022243496
10v_L,-0.5726696583178789
a10p_L,-1.0391742146733245
10pp_L,-0.40680770171636726
11l_L,-0.5737759839390054
13l_L,-0.22699370449599535
OFC_L,-0.919087309343502
