region,utility
V1_L,-0.6976621476053096
MST_L,0.5965792616901858
V6_L,-0.3313328076884697
V2_L,-0.8114716264058096
V3_L,-0.9026414584419375
V4_L,-1.1618532132963584
V8_L,-1.286147607267842
4_L,-1.2710295418917017
3b_L,-0.9501839533051758
FEF_L,-0.2846000279367189
PEF_L,-0.841452250108265
55b_L,-0.011513114267466288
V3A_L,-0.2882162772768969
RSC_L,-0.2717493778318576
POS2_L,-0.40177962971387754
V7_L,0.26300335661310453
IPS1_L,-0.1554499968009566
FFC_L,-0.11808752397336403
V3B_L,-0.7540397569441513
LO1_L,0.12210852245287933
LO2_L,0.5031983772852225
PIT_L,0.6307894492434615
MT_L,1.1034505554412666
A1_L,0.9410360453204196
PSL_L,0.20517758363111607
SFL_L,-1.1864290820035275
PCV_L,-0.7586118324358212
STV_L,0.23991971159649372
7Pm_L,-0.9801567796834414
7m_L,-1.9324070082527443
POS1_L,-0.6347234173073959
23d_L,0.7238604759822445
v23ab_L,0.02767540694063447
d23ab_L,-0.7996797695433724
31pv_L,-1.7673165899933796
5m_L,0.22521376555247635
5mv_L,-0.5900370528279018
23c_L,-0.5694932048731434
5L_L,0.1408680094531161
24dd_L,-0.21033763324559848
24dv_L,0.5075213481123847
7AL_L,-0.20836234511672405
SCEF_L,-0.8534159203056713
6ma_L,-0.7033116764123165
7Am_L,0.6155624621238847
7Pl_L,0.1910692753380344
7PC_L,-0.08238278626276718
LIPv_L,-1.4867561894875279
VIP_L,-0.45995411625354693
MIP_L,-1.7591367912409845
1_L,-0.34384000046888835
2_L,-0.744655989229004
3a_L,-1.137526117685987
6d_L,-0.6737909821144283
6mp_L,-1.0592589622461097
6v_L,-0.8726364529830747
p24pr_L,1.2755968243161597
33pr_L,1.413671982139464
a24pr_L,0.4657714195929433
p32pr_L,-0.24397349074014643
a24_L,-0.6714808282055813
d32_L,-1.3914695472446876
8BM_L,-1.3357538198205066
p32_L,-1.29917804325574
10r_L,0.5243728753495287
47m_L,-1.0902317431516315
8Av_L,-0.48662919371540553
8Ad_L,-0.20494340970129377
9m_L,-1.430708611866854
8BL_L,-0.6158116288263713
9p_L,-0.9706132302612218
10d_L,-0.5565326271292115
8C_L,-1.5777530683503034
44_L,-1.1436418434633928
45_L,-0.6776861267665945
47l_L,-0.8182747423358308
a47r_L,-0.4457278387183759
6r_L,-1.9619471028714057
IFJa_L,-2.1715052618368977
IFJp_L,-2.998885374661568
IFSp_L,-0.6965010157242952
IFSa_L,-1.467803669319042
p9-46v_L,-0.7254910601955447
46_L,-0.6450812724127408
a9-46v_L,-0.9565114323523526
9-46d_L,-0.8208150468356923
9a_L,-0.8623382797458237
10v_L,0.2574891840453928
a10p_L,-0.23159617352804876
10pp_L,0.0957634929060735
11l_L,-0.9398756757632404
13l_L,-1.4298580356473707
OFC_L,-0.3972615102276815
47s_L,-1.0799899694392125
LIPd_L,-0.9585636062547324
6a_L,-0.9222072582925095
i6-8_L,-0.7279698692597509
s6-8_L,-0.13320046690015108
43_L,0.1343368549603988
OP4_L,1.0125654973091942
OP1_L,0.5177232706202892
OP2-3_L,0.5314168339714443
52_L,1.9559385266503053
RI_L,0.7126871235454758
PFcm_L,0.46405005464673205
PoI2_L,2.0611585067557523
TA2_L,2.382243905874799
FOP4_L,-0.41655620397985843
MI_L,1.3131040226141393
Pir_L,0.1411414562302161
AVI_L,-0.6288444910296209
AAIC_L,-0.3420505447361855
FOP1_L,1.3495134228849863
FOP3_L,0.9646247106209836
FOP2_L,1.017707335310694
