region,memory retrieval
V1_L,-1.3536131793257908
MST_L,-0.8784201247745764
V6_L,3.0892383720197194
V2_L,-0.394323132145303
V3_L,-0.06786285472567653
V4_L,-0.2579602649242974
V8_L,-0.47037198989173246
4_L,-1.064108955597359
3b_L,-1.4973855070558502
FEF_L,1.6393492417572344
PEF_L,1.2072687463772895
55b_L,0.5552616579679728
V3A_L,0.5958270024695637
RSC_L,0.5285090174789309
POS2_L,5.154170111625087
V7_L,3.0143913637498745
IPS1_L,7.831723605228515
FFC_L,0.04196215570828122
V3B_L,1.9219574585513215
LO1_L,0.9362255344005281
LO2_L,-0.7014063603264346
PIT_L,-0.2621090918205304
MT_L,-1.0471842544274037
A1_L,-2.2134874552183628
PSL_L,1.4912678743105405
SFL_L,0.4329235904565612
PCV_L,1.062800639659641
STV_L,0.07259292129029651
7Pm_L,5.387800262932376
7m_L,1.8017271239399226
POS1_L,2.3607665957619814
23d_L,-1.1511079632723296
v23ab_L,1.1757408523189987
d23ab_L,0.8617876816340464
31pv_L,1.3174282962352601
5m_L,-0.10882652377341022
5mv_L,-0.08733205257831263
23c_L,-0.5415543124584042
5L_L,0.5537661382871296
24dd_L,-0.5298809316816225
24dv_L,0.49842151882798424
7AL_L,2.27551596955493
SCEF_L,0.6131227587830321
6ma_L,0.048465842117553413
7Am_L,3.390506750323111
7Pl_L,5.761862616641148
7PC_L,2.750904354216154
LIPv_L,7.3245911771744385
VIP_L,3.459171838153993
MIP_L,8.288261824175292
1_L,-0.9632980688837941
2_L,-0.41363039141472224
3a_L,-0.7410430737502937
6d_L,-0.320444539526084
6mp_L,-1.3286731501759228
6v_L,0.9714364635094953
p24pr_L,-1.4792025545783516
33pr_L,-2.746381458786257
a24pr_L,-2.3740251357915456
p32pr_L,0.6114536378325774
a24_L,-3.3170070467826607
d32_L,-2.685274202076392
8BM_L,0.8486234371740445
p32_L,-2.160494304111284
10r_L,-2.1430496241400943
47m_L,-0.7988227319654091
8Av_L,0.8287985679937843
8Ad_L,0.5831220435287892
9m_L,-2.083211311260918
8BL_L,0.36464385170403574
9p_L,-0.6598026633673256
10d_L,-0.8297534217770622
8C_L,1.6728296472900772
44_L,-0.26923976859793475
45_L,-0.8209415769728976
47l_L,-0.6264570067423896
a47r_L,0.00624468565137604
6r_L,0.23912356107204408
IFJa_L,1.8029362348899598
IFJp_L,1.5484067054274289
IFSp_L,1.9677803241922271
IFSa_L,0.021929957077166367
p9-46v_L,1.6749549455130026
46_L,0.25401436469870964
a9-46v_L,0.9412204204295187
9-46d_L,-0.383266666052262
9a_L,-0.7826907894973101
10v_L,-1.213654524087769
a10p_L,-0.8463894579037232
10pp_L,-0.9039215037878766
11l_L,-1.4634490200015635
13l_L,-2.089716502127346
OFC_L,-1.2738302289794239
47s_L,-1.882676972573165
LIPd_L,9.231601738850745
6a_L,2.9687416711751435
i6-8_L,3.1371932431396576
s6-8_L,1.09649728295845
43_L,-1.4212535648224591
OP4_L,-0.41937882213848976
OP1_L,-0.467312671530553
OP2-3_L,-0.08853009204956183
52_L,-2.025671309287217
RI_L,0.45554969169240933
PFcm_L,0.7258142010607594
PoI2_L,-1.9184733395450204
TA2_L,-1.9951069517073456
FOP4_L,-1.1926157112869542
MI_L,-0.9625332774312987
Pir_L,-1.7526792797135968
AVI_L,0.2501540413683789
AAIC_L,-1.2621054698766683
FOP1_L,-2.3333401098701296
FOP3_L,-0.06664860802658858
FOP2_L,-0.25757091521182984
PFt_L,0.8119682374276918
AIP_L,5.380972753189673
EC_L,0.27663597540437257
PreS_L,2.053505063518816
H_L,2.696413466342813
ProS_L,-0.44220134110489184
PeEc_L,0.3385372705720738
STGa_L,-1.3126380673734916
PBelt_L,-2.0795591328749325
A5_L,-1.6884064344122882
PHA1_L,2.085468798452007
PHA3_L,2.504717835410834
STSda_L,-1.4135881586074406
STSdp_L,-2.486328204838592
STSvp_L,-1.7263296057837878
TGd_L,-1.0875370816105243
TE1a_L,-0.7938574831753616
TE1p_L,0.6650706350063692
TE2a_L,-0.4641605612361348
TF_L,0.09705445995261046
TE2p_L,0.06361273710230385
PHT_L,-0.9546479953571038
PH_L,-0.0025956476397222196
TPOJ1_L,-0.6620876932178402
TPOJ2_L,-0.2625233110322731
TPOJ3_L,1.6885838000778626
DVT_L,4.658214651081706
PGp_L,2.187307168689237
IP2_L,9.597898096218435
IP1_L,9.11501269626426
IP0_L,5.598034977585632
PFop_L,0.5263406962641195
PF_L,2.2673942677940184
PFm_L,4.310821342314861
PGi_L,3.0671700944420053
PGs_L,2.8416631492049627
V6A_L,2.9496061901740336
VMV1_L,-0.9680070775895421
VMV3_L,-1.156829489840876
PHA2_L,4.216860685549942
V4t_L,-1.2098121308719993
FST_L,-1.971927885998641
V3CD_L,1.0430206333490872
LO3_L,0.5351218571297741
VMV2_L,-0.2725252175774868
31pd_L,1.3347445458657445
31a_L,0.4994474998760056
VVC_L,0.11732410386956499
25_L,-2.7014219878371386
s32_L,-2.42560703759129
pOFC_L,-1.9921633119100468
PoI1_L,-1.7455480920800068
Ig_L,-1.2512020608420404
FOP5_L,-0.08093447379155214
p10p_L,-0.9332165119470297
p47r_L,0.7631118007626755
TGv_L,0.20281862684840246
MBelt_L,-2.392106439834882
LBelt_L,-2.358092181391393
A4_L,-1.0664172308698499
STSva_L,-1.451274733677714
TE1m_L,-0.6836881547377036
PI_L,-1.1111860164898923
a32pr_L,-0.8930555309930841
p24_L,-3.3287936639324616
V1_R,-1.3795069781699965
MST_R,-0.37404279818414804
V6_R,3.516579959668562
