region,strength
V1_L,-1.4145825247606898
MST_L,-0.14081487444973387
V6_L,1.3251720361075905
V2_L,-0.9826893596132323
V3_L,-0.8033529934355612
V4_L,-0.9472198676372099
V8_L,-1.1199375746883864
4_L,2.975115130869136
3b_L,3.3338090781169205
FEF_L,3.419667418771427
PEF_L,0.40796340537497106
55b_L,0.6178566486446087
V3A_L,0.12605438761909943
RSC_L,0.12956346322381387
POS2_L,1.861966710052012
V7_L,1.4175359470818067
IPS1_L,3.212279300370132
FFC_L,0.07707300682656143
V3B_L,0.17925740745522706
LO1_L,0.32779366604503307
LO2_L,0.47160710548622536
PIT_L,0.6935067753810711
MT_L,0.25674419102475105
A1_L,4.856016540956201
PSL_L,1.0594291126698312
SFL_L,-0.3501240032793164
PCV_L,0.23924694728877127
STV_L,-0.10566043305773326
7Pm_L,1.2427375974931052
7m_L,-0.1520771045292731
POS1_L,0.7962987111261477
23d_L,-0.4495577075200714
v23ab_L,1.5404934502443857
d23ab_L,-0.02040357284505375
31pv_L,-0.36628117695569784
5m_L,1.9513326907408104
5mv_L,0.9243651489710344
23c_L,-0.07220811526756575
5L_L,1.6433815338167836
24dd_L,2.3929187807215184
24dv_L,1.0376980133788367
7AL_L,1.7949356504303715
SCEF_L,0.4806971556103051
6ma_L,-0.15751624165568565
7Am_L,1.8874565057576311
7Pl_L,2.4666379728867835
7PC_L,3.044662526633492
LIPv_L,3.1676681775269486
VIP_L,1.561938369189147
MIP_L,2.613445881986047
1_L,1.9880279374148826
2_L,3.8682518406583357
3a_L,2.2197050699237764
6d_L,1.9828805867652648
6mp_L,0.877889134022299
6v_L,0.8298609169292462
p24pr_L,-0.2959795913969669
33pr_L,-2.965778951061456
a24pr_L,-3.489609158507046
p32pr_L,-1.774268154231775
a24_L,-3.536902318167248
d32_L,-3.281236698447282
8BM_L,-1.4936465953023152
p32_L,-3.0790950320366193
10r_L,-2.4812435106412574
47m_L,-2.135306213900016
8Av_L,-0.10333984671459548
8Ad_L,-0.37637316210935007
