region,consciousness
V1_L,0.7042405894266198
MST_L,1.072745055732426
V6_L,1.6672130052753282
V2_L,1.0147115621107847
V3_L,0.11916513859753608
V4_L,-0.5393282039213261
V8_L,-0.25032439727570294
4_L,-1.5546355460585617
3b_L,-1.450277203199084
FEF_L,-1.7634565051702507
PEF_L,-2.8516733883588206
55b_L,-1.1282343249129685
V3A_L,0.8621777595749258
RSC_L,4.249570438922337
POS2_L,4.8172015628861535
V7_L,0.7134828002235455
IPS1_L,0.2613438424223059
FFC_L,-0.5893470757308091
V3B_L,0.014420518742861422
LO1_L,0.48543800229498446
LO2_L,-0.42684230088003755
PIT_L,-0.5765854235111819
MT_L,1.776837962440819
A1_L,-1.4118499058998029
PSL_L,-0.7300241457214756
SFL_L,1.3889999101121475
PCV_L,2.3094673850676335
STV_L,-0.23524265312340037
7Pm_L,2.7044243631931666
7m_L,10.18721524339865
POS1_L,7.075081663032152
23d_L,0.8976164851240185
v23ab_L,17.958445876945124
d23ab_L,7.786654341088703
31pv_L,6.237551574064523
5m_L,-0.7202758192499957
5mv_L,-0.7325177246312495
23c_L,-0.5701693740478448
5L_L,-0.11241000915604749
24dd_L,-1.1828586819308473
24dv_L,-2.4036361887207005
7AL_L,-0.29316135413250294
SCEF_L,-2.640728004984794
6ma_L,-0.8960476523540132
7Am_L,0.9323505533937287
7Pl_L,-0.2919407944903028
7PC_L,-0.8986834948753585
LIPv_L,-0.26614853596708204
VIP_L,-0.2781970139683494
MIP_L,-0.6993572887262327
1_L,-0.7492987081461913
2_L,-1.3506888661424559
3a_L,-1.110162688908898
6d_L,-0.925667093214032
6mp_L,-1.1677624997593403
6v_L,-1.7292349922644688
p24pr_L,-1.8137611007705539
33pr_L,-0.9799647252303758
a24pr_L,-1.2455107085720554
p32pr_L,-3.15011318887826
a24_L,5.149109551536075
d32_L,3.0004222671518166
8BM_L,0.4869914503289509
p32_L,3.0537371734882797
10r_L,5.914023159997851
47m_L,-1.1919886779770026
8Av_L,0.12547490328274027
8Ad_L,3.472603763362603
