region,consciousness
7m_R,10.36894284294878
POS1_R,6.213840778821766
23d_R,1.7171606570780196
v23ab_R,11.537234232030336
d23ab_R,6.048676162625086
31pv_R,3.5360055433749893
5m_R,-0.7656886266264594
5mv_R,-0.35077812440568007
23c_R,0.8386724328393048
5L_R,-0.2547392500249713
24dd_R,-0.747910991800397
24dv_R,-1.128403624897609
7AL_R,-0.16315792486820455
SCEF_R,-1.8303309577706879
6ma_R,-0.8077262636413454
7Am_R,0.18741379899067892
7Pl_R,0.6246048345641368
7PC_R,-0.4208970809653501
LIPv_R,-0.5272184832053045
VIP_R,0.49229774753638283
MIP_R,0.6164756724432933
1_R,-0.7070121391879206
2_R,-0.9418530706821862
3a_R,-0.9880586418726792
6d_R,-0.9957196151869219
6mp_R,-0.4597266189999729
6v_R,-1.743576806355038
p24pr_R,-1.2509515937890576
33pr_R,-1.328352799761386
a24pr_R,-1.4695543838172413
p32pr_R,-2.0853950642532793
a24_R,2.9014136219426767
d32_R,1.954075752942762
8BM_R,-0.42520554415828365
p32_R,4.298341892208518
10r_R,4.308151499035351
47m_R,-1.2213814999031862
8Av_R,-0.39706172083716784
8Ad_R,3.0729004327047194
9m_R,3.4552971137770117
8BL_R,0.5191419880026025
9p_R,0.4343122775005532
10d_R,2.017255922145294
8C_R,-0.7790610495866145
44_R,-2.0428003410567603
45_R,-2.0690338155248456
47l_R,-1.3736876935039206
a47r_R,-0.9855439355842696
6r_R,-2.488681764697412
IFJa_R,-2.594863069807143
IFJp_R,-2.6211309256805104
IFSp_R,-2.0947542721457797
IFSa_R,-1.4830534976439296
p9-46v_R,-1.3301722684533974
46_R,-0.5015796732225214
a9-46v_R,-0.7064969255234708
9-46d_R,-0.027456922600758545
9a_R,0.8441011253144542
10v_R,2.4155976688466954
a10p_R,-0.674429400043394
10pp_R,0.014550158530380216
11l_R,-1.2550541414653038
13l_R,-1.7807387215008081
OFC_R,0.3312704020232471
47s_R,-2.0194443459615616
LIPd_R,-1.2595521026055234
6a_R,-0.959646775703997
i6-8_R,-0.13295359319664038
s6-8_R,0.4788983395950981
43_R,-1.394615704773418
OP4_R,-0.7875319858570168
OP1_R,-1.0162586196141665
OP2-3_R,-0.7268284187269944
52_R,-0.07048831209630918
RI_R,-0.5361383675911263
PFcm_R,-0.6934749124700135
PoI2_R,-1.5910310679820585
TA2_R,-1.566279147919228
FOP4_R,-1.711879544928951
MI_R,-1.5368615632053169
Pir_R,-1.7309333051765796
AVI_R,-2.7476267394609826
AAIC_R,-2.988181977309392
FOP1_R,-1.3663650666123093
FOP3_R,-1.4884785619826197
FOP2_R,-1.494431154043248
PFt_R,-1.0193062735476306
AIP_R,-1.077693804270962
EC_R,3.004116883624601
PreS_R,2.0569172124962223
H_R,2.2313620242886745
ProS_R,0.17721766254715676
PeEc_R,1.0230407937968438
STGa_R,-1.204742601028931
PBelt_R,-0.6918793303245094
A5_R,-1.014648187752506
PHA1_R,2.830567044406251
PHA3_R,0.461184068244442
STSda_R,0.4878736843014537
STSdp_R,-1.2532294261167418
STSvp_R,0.11261381252141218
TGd_R,0.07317920844327074
TE1a_R,3.683055212612149
TE1p_R,0.296745763908343
TE2a_R,1.6931722440142298
TF_R,0.52481229089306
TE2p_R,0.19167960097022482
PHT_R,0.13553039987401794
PH_R,-0.7223089025247295
TPOJ1_R,-1.002059983220099
TPOJ2_R,1.005517858644766
TPOJ3_R,5.528521671121679
DVT_R,1.0268342988110848
PGp_R,6.094298494358993
IP2_R,-0.5601367411458688
IP1_R,0.7436387377343714
IP0_R,1.1924136517574846
PFop_R,-0.03628534941753078
PF_R,-0.002822081669482309
PFm_R,0.06350385931740621
PGi_R,5.18913058038394
PGs_R,3.6749447134287347
V6A_R,1.1547125329528523
VMV1_R,-0.20576949817149126
VMV3_R,-0.8849220284154337
PHA2_R,2.187561448758554
V4t_R,-1.0732297366884593
FST_R,-0.56959028640714
V3CD_R,0.3789843457008251
LO3_R,3.886666395845983
VMV2_R,-0.8972954008902044
31pd_R,3.6872752910785884
31a_R,2.4629243320860628
VVC_R,0.5356300440790422
25_R,-0.10096416835725358
s32_R,3.2390391243874816
pOFC_R,-0.8186543352296287
PoI1_R,-0.7593783019711879
Ig_R,-0.31672485844669773
FOP5_R,-1.5573935643256585
p10p_R,0.4388780611922893
p47r_R,-1.4813854460887161
TGv_R,-0.14535548865421358
MBelt_R,-1.0725679842487736
LBelt_R,-1.227405415176556
A4_R,-1.0142507107127634
STSva_R,3.6709679959500328
TE1m_R,3.1324067952711054
PI_R,-1.0208238815845547
a32pr_R,-1.2998131317164916
p24_R,1.2894719959961212
