region,discrimination
V1_L,0.5295523366370131
MST_L,0.09582385334938459
V6_L,-0.6622524218678434
V2_L,-0.1943127208785431
V3_L,-0.03277811084545749
V4_L,0.8838821216180893
V8_L,2.374529349962576
4_L,1.3814139032883566
3b_L,3.022309269072015
FEF_L,0.5844179769852732
PEF_L,-1.3987691892633691
55b_L,-0.12850699609007174
V3A_L,-0.20653481601919568
RSC_L,-1.3621661381861898
POS2_L,-1.6209379642752562
V7_L,0.26488012399335276
IPS1_L,-0.17407852554836933
FFC_L,3.2560158889691824
V3B_L,-0.05315763895262979
LO1_L,0.9192600532354434
LO2_L,2.0054534957176564
PIT_L,2.7927427568626455
MT_L,0.15850065562128024
A1_L,9.305553464751682
PSL_L,0.9028277936118875
SFL_L,-1.4121149194806297
PCV_L,-0.028449203949014193
STV_L,0.3600634378306274
7Pm_L,-1.4940973946536995
7m_L,-2.947489879632201
POS1_L,-1.9831266638173652
23d_L,-0.5459612029677071
v23ab_L,-2.2054720978729665
d23ab_L,-2.0904567204095885
31pv_L,-2.1038915929877966
5m_L,2.843011665599633
5mv_L,0.8770910803745515
23c_L,-0.320418682610247
5L_L,1.674116593529448
24dd_L,1.3821440554362145
24dv_L,0.25139592191635923
7AL_L,1.2949017041069562
SCEF_L,-0.5935240376199437
6ma_L,-0.4586213320985997
7Am_L,0.5169820182336476
7Pl_L,-0.4132724767971837
7PC_L,2.47941611108715
LIPv_L,-0.3141504695109724
VIP_L,-0.3065202670130676
MIP_L,-1.880161916169601
1_L,3.3724830973715965
2_L,7.144474066669639
3a_L,1.7057670280868464
6d_L,0.3171829983430254
6mp_L,-0.34684777950871065
6v_L,0.26116091167917416
p24pr_L,0.5872757420303959
33pr_L,-1.8032255926735732
a24pr_L,-2.9900898118952117
p32pr_L,-2.1961929591299625
a24_L,-3.7653148785619925
d32_L,-3.090291661509805
8BM_L,-2.659070869949294
p32_L,-3.643762556720781
10r_L,-3.335539434812433
47m_L,-3.2277434547438615
8Av_L,-1.3210826097172288
8Ad_L,-2.0392359547222867
9m_L,-2.8582768417086424
8BL_L,-1.6637191416408506
9p_L,-2.423791117635352
10d_L,-2.0282354308957933
8C_L,-2.5709814991131434
44_L,-1.7026956560832471
45_L,-1.933336384239305
47l_L,-2.6784163251103785
a47r_L,-1.6923777970635436
6r_L,-0.7128479896367561
IFJa_L,-2.0879920981808335
IFJp_L,-1.9934021578379242
IFSp_L,-2.0695090174612836
IFSa_L,-1.7867477170967034
p9-46v_L,-1.424008935129919
46_L,-2.0510648650871617
a9-46v_L,-2.0906680996548284
9-46d_L,-2.553303895934328
9a_L,-1.855411192296303
10v_L,-1.5469530999442764
a10p_L,-2.078634336175087
10pp_L,-0.7525411310551295
11l_L,-1.76967269440508
13l_L,-2.6274225821252637
OFC_L,-1.5771974937605668
47s_L,-3.0495129978505107
LIPd_L,-1.1981857033882293
6a_L,-1.0352747675298606
i6-8_L,-1.94299777046303
s6-8_L,-0.967367248253102
43_L,1.9587907829941231
OP4_L,4.219624678937064
OP1_L,8.340260536512817
OP2-3_L,2.118709925823708
52_L,3.0673380874827605
RI_L,3.221547760623386
PFcm_L,8.504972747882514
PoI2_L,0.9554930786247178
TA2_L,0.7735102980343157
FOP4_L,-1.485528571480136
MI_L,-1.3894589822332901
Pir_L,-2.0256257396981048
AVI_L,-2.9873184134369657
AAIC_L,-3.559859216492976
FOP1_L,1.0483187369410016
FOP3_L,0.2938328068506134
FOP2_L,1.5459387596251257
PFt_L,5.614347257305018
AIP_L,2.576220793513988
EC_L,-0.5032860587082315
PreS_L,-0.5536222760608008
H_L,-0.5498611057685281
ProS_L,-1.2502896537237103
PeEc_L,0.22329813953116023
STGa_L,-0.7447495097829938
PBelt_L,11.41462568699594
A5_L,4.536056342692945
PHA1_L,0.3433679137737754
PHA3_L,0.42590340340485766
STSda_L,2.423294000646833
STSdp_L,7.507743416301638
STSvp_L,2.845642852911172
TGd_L,-0.3697532133530817
TE1a_L,0.15359812747197432
TE1p_L,0.22741104731381465
TE2a_L,-0.34676046447872555
TF_L,0.1757045824797115
TE2p_L,0.22723286900811857
PHT_L,0.5791905295524525
PH_L,1.936507644597078
TPOJ1_L,3.989742269947352
TPOJ2_L,-0.9119501091721529
TPOJ3_L,-1.810002740841187
DVT_L,-0.6027191174126081
PGp_L,-0.45050087463263055
IP2_L,-0.018580606496085693
IP1_L,-1.7896482872464419
IP0_L,-0.21138815724714788
PFop_L,4.137471560518987
PF_L,1.9294980832368416
PFm_L,0.33467220362475564
PGi_L,-2.118647552915029
PGs_L,-1.2244110736571254
V6A_L,-0.10194813165705818
VMV1_L,-0.4955072101105741
VMV3_L,1.2625487343492054
PHA2_L,-0.17542167988761476
V4t_L,1.7681684825572002
FST_L,1.4336550672197783
V3CD_L,0.22458147396247324
LO3_L,-0.24550219348097538
VMV2_L,-0.6351828336842296
31pd_L,-2.8087911826893803
31a_L,-1.1702016009803462
