region,encoding
V1_L,0.0433536900477478
MST_L,-1.3545814152748685
V6_L,0.6376188289732013
V2_L,0.6316602381491239
V3_L,0.7580522755846683
V4_L,1.5944411180233045
V8_L,2.3734439412826056
4_L,-1.6638456712552114
3b_L,-1.7430925366253192
FEF_L,0.7541477758515543
PEF_L,0.328913050903656
55b_L,0.1381589924786941
V3A_L,0.7085357864121825
RSC_L,1.212483724032895
POS2_L,0.7697009002085166
V7_L,1.4939921975523083
IPS1_L,1.5529697415701922
FFC_L,4.263822435638594
V3B_L,0.8684307403592473
LO1_L,1.752235060790563
LO2_L,0.012680676792349748
PIT_L,0.939694346208407
MT_L,-1.0983856490371502
A1_L,-2.0476432516106384
PSL_L,-2.0707968231827145
SFL_L,-0.27711467847485627
PCV_L,-1.4154362790572828
STV_L,-1.8435019290765442
7Pm_L,-0.20113119199573484
7m_L,-1.6572914515417874
POS1_L,1.9888489293448521
23d_L,-1.85845096462321
v23ab_L,0.2300830546909613
d23ab_L,-0.9094735857086707
31pv_L,-0.642197861220071
5m_L,-1.5025730741389427
5mv_L,-1.6221529138469046
23c_L,-1.4305432564468787
5L_L,-0.8246059458931725
24dd_L,-1.7088558864872176
24dv_L,-0.959900546177826
7AL_L,-1.3869115812632566
SCEF_L,-0.3742467529060656
6ma_L,-0.8000999186768526
7Am_L,-0.4297025497645224
7Pl_L,0.9333926631012608
7PC_L,-1.2094249492349152
LIPv_L,-1.4396735381337065
VIP_L,-0.3755155460004099
MIP_L,0.49733592188836645
1_L,-1.0873666362997099
2_L,-1.9871047267494995
3a_L,-1.4823305082022733
6d_L,-0.9886800839475062
6mp_L,-1.8185519241062285
6v_L,-0.15591209229466338
p24pr_L,-1.9982824223154119
33pr_L,-3.2074766125940517
a24pr_L,-2.8642808935377193
p32pr_L,0.20296065440842662
a24_L,-1.5465392128835607
d32_L,-1.8956930622001624
8BM_L,-0.13057107621947261
p32_L,-0.9484093085371106
10r_L,-1.1604765614103427
47m_L,1.2960234128468466
8Av_L,0.3231259018888266
8Ad_L,0.22827914616854542
9m_L,-1.2868388822940133
8BL_L,-0.5893343285808169
9p_L,-0.7667553493929893
10d_L,-0.21324991668137863
8C_L,0.09349709168448776
44_L,0.11716162906515415
45_L,-0.08256595494874229
47l_L,0.2855499544567107
a47r_L,-0.12882915725384944
6r_L,-0.3256603284471761
IFJa_L,1.2507376976532956
IFJp_L,0.883759634172485
IFSp_L,2.2173432563460973
IFSa_L,0.41705971703024486
p9-46v_L,0.831797382767172
46_L,-0.49142954904577035
a9-46v_L,0.1287935943750965
9-46d_L,-0.5409640785201383
9a_L,-0.8198194351322812
10v_L,-0.5603845692582418
a10p_L,-0.7278242470215895
10pp_L,-0.5324025152492597
11l_L,-0.9078948793830203
13l_L,-0.905796475655402
OFC_L,-0.7775332141670431
47s_L,-0.2971239346728848
LIPd_L,0.6079526406408544
6a_L,0.19160525765529796
i6-8_L,1.285796732879821
s6-8_L,0.6780440348693687
43_L,-1.4427260338630943
OP4_L,-1.1235754059278038
OP1_L,-1.900152484101087
OP2-3_L,-0.7132676757926915
52_L,-0.7737331885351614
RI_L,-0.9596255929473481
PFcm_L,-2.377462509520226
PoI2_L,-1.7646836857110717
TA2_L,-1.8331551331864624
FOP4_L,-1.4821830597025962
MI_L,-1.9141406045846936
Pir_L,-0.27524548262059
AVI_L,0.32002934588274007
AAIC_L,-0.6267825787174741
FOP1_L,-2.2522224783697076
FOP3_L,-0.7893403955604333
FOP2_L,-0.6963058820323911
PFt_L,-2.322478357329202
AIP_L,-1.450348604632157
EC_L,6.791171886120952
PreS_L,11.729287499659804
H_L,14.536356572264316
ProS_L,2.1017392826606245
PeEc_L,4.572342124611007
STGa_L,-0.5245204337915719
PBelt_L,-1.9922224089506764
A5_L,-1.2149979954361745
PHA1_L,11.242836111638129
PHA3_L,9.96019041810009
STSda_L,-0.815809313414801
STSdp_L,-2.3574254750216377
STSvp_L,-1.9631435319998887
TGd_L,-0.3147357218085538
TE1a_L,-0.29133841626755824
TE1p_L,0.47823433475611443
TE2a_L,0.3448148276720207
TF_L,3.712765918845404
TE2p_L,1.8238116833916387
PHT_L,-1.4943040728328667
PH_L,0.8045382378507233
TPOJ1_L,-2.049870505728874
TPOJ2_L,-1.5140941093754545
TPOJ3_L,0.8315485472110563
DVT_L,1.1976406855503903
PGp_L,1.8815176491504584
IP2_L,-0.6955689999876653
IP1_L,2.4107222559481762
IP0_L,3.052194747515206
PFop_L,-1.739773586084543
PF_L,-1.6494585560894397
PFm_L,-0.6561808296619859
PGi_L,-0.5442250572681143
PGs_L,0.4055755630710694
V6A_L,0.7777305020424371
VMV1_L,4.364089132900647
VMV3_L,2.7920638092387993
PHA2_L,16.003891127525215
V4t_L,-0.959512336596676
FST_L,-1.820339543566226
V3CD_L,2.44332399986582
LO3_L,0.29492411418380887
VMV2_L,5.584625830148493
31pd_L,-0.9323996423971908
31a_L,-1.3595531880531937
VVC_L,6.325560157220663
25_L,-0.9093953799434311
s32_L,-1.1037354553880285
pOFC_L,-0.29223659826279036
PoI1_L,-1.0090531497783446
Ig_L,-0.7142943534596189
FOP5_L,-0.15085839720621957
p10p_L,-0.41512984239285666
p47r_L,0.25899325995474115
TGv_L,0.7073356350974512
MBelt_L,-1.7277746441301738
LBelt_L,-1.8995385082056968
A4_L,-1.2284136612508756
STSva_L,-0.36073163457561547
TE1m_L,-0.332495870494935
PI_L,-0.14258571711058457
a32pr_L,-1.5417885523931731
p24_L,-2.3096606016829577
V1_R,0.8221789133365974
