region,expertise
V1_L,0.8601756001440836
MST_L,-0.4246562909975499
V6_L,-0.4198009261391209
V2_L,0.7101678844671763
V3_L,1.9654484068314881
V4_L,5.045028662260886
V8_L,12.357884846105494
4_L,0.9103356032917811
3b_L,0.7408845417863135
FEF_L,0.6114371669799982
PEF_L,-0.8040443281493673
55b_L,-0.33002854050772557
V3A_L,0.08247900416754148
RSC_L,-1.1839081818404307
POS2_L,-1.4721869814883248
V7_L,0.9272009697138178
IPS1_L,0.9637192637414164
FFC_L,14.831611764626778
V3B_L,1.6430800719188159
LO1_L,2.7611825022682677
LO2_L,3.8255583619984335
PIT_L,7.486990144111099
MT_L,-0.22720819939414816
A1_L,0.38174093822252875
PSL_L,-0.6145097056735118
SFL_L,-1.594176164555651
PCV_L,-1.8519575200211156
STV_L,-0.7131897212509838
7Pm_L,-1.5498864572206992
7m_L,-2.6866953469724133
POS1_L,-1.1883083917830997
23d_L,-1.7184498096340715
v23ab_L,-2.162676306053749
d23ab_L,-2.205649871541302
31pv_L,-2.19166040640917
5m_L,-0.6907560014367061
5mv_L,-1.4339789707082695
23c_L,-1.8187739321208207
5L_L,0.10582816664088551
24dd_L,0.6188292686153856
24dv_L,0.1501882842972
7AL_L,-0.09030821978714129
SCEF_L,-0.1281436025087597
6ma_L,-0.8188907346181238
7Am_L,-0.0687801697400214
7Pl_L,0.4167005313898026
7PC_L,0.36594762917568413
LIPv_L,1.2885241820582158
VIP_L,0.8961649946420839
MIP_L,0.5413965917747117
1_L,-0.0287100278430571
2_L,-0.12693529929223799
3a_L,0.2611772537188086
6d_L,0.7786385650980175
6mp_L,-0.08799613653267976
6v_L,0.04120296614902078
p24pr_L,-0.8422354133804756
33pr_L,-2.3032836261981235
a24pr_L,-2.327625396313262
p32pr_L,-0.8431899188828603
a24_L,-3.5972283512725447
d32_L,-3.037982734569126
8BM_L,-2.1345252364973457
p32_L,-3.183235002349781
10r_L,-3.194243937569922
47m_L,-0.37862834691372516
8Av_L,-1.0935464039677067
8Ad_L,-2.33534746156979
9m_L,-3.0988814627086962
8BL_L,-1.5465465366649036
9p_L,-2.312514186220753
10d_L,-1.846214711038632
8C_L,-2.063961277670488
44_L,-1.852301678610053
45_L,-1.936776491612283
47l_L,-2.3246998006245394
a47r_L,-0.8569880543612862
6r_L,-1.2714634435436472
IFJa_L,-0.9693970189324831
IFJp_L,-0.4129900778917023
IFSp_L,-1.6444814890994623
IFSa_L,-1.5609688078518194
p9-46v_L,-1.850111313392305
46_L,-1.7714822634313614
a9-46v_L,-1.760316939912762
9-46d_L,-2.4941327227536045
9a_L,-1.944454326518763
10v_L,-1.552541397096493
a10p_L,-1.4733997856829466
10pp_L,-0.6394177412519211
11l_L,-1.1248998487790636
13l_L,-0.46460500798182264
OFC_L,-0.958398737774284
47s_L,-1.4995087861526462
LIPd_L,0.8893243865364103
6a_L,0.3795792031676228
i6-8_L,-1.1223222279367788
s6-8_L,-1.395708714771957
43_L,-0.900490426340847
OP4_L,0.2705592872372162
OP1_L,0.19880460816188725
OP2-3_L,-0.7054480754896238
52_L,-0.7648274666975745
RI_L,0.4081277218176098
PFcm_L,-0.23569922713707775
PoI2_L,-1.0477435835007158
TA2_L,-1.528137101439815
FOP4_L,-2.081435000219248
MI_L,-1.7064456526489935
Pir_L,-0.9228971500532166
AVI_L,-1.6001999916505523
AAIC_L,-2.175169449918405
FOP1_L,-1.6398969785262483
FOP3_L,-0.8017458010984051
FOP2_L,-1.0510584047034726
PFt_L,-0.3186003912733436
AIP_L,1.014100414164274
EC_L,-0.7335605748740535
PreS_L,-1.087588913739062
H_L,-1.05057667529579
ProS_L,-0.0787674162252874
PeEc_L,-0.3013629100968581
STGa_L,-1.334070434376822
PBelt_L,1.2582395989529973
A5_L,0.5180583167127899
PHA1_L,-0.2167836169960024
PHA3_L,3.1106525394530107
STSda_L,-1.0400931011151207
STSdp_L,1.0954023070707686
STSvp_L,-0.3386340571948335
TGd_L,-1.415248006980104
TE1a_L,-1.3691155770499968
TE1p_L,0.43538000301532664
TE2a_L,-0.8876469184028318
TF_L,1.0672467172801003
TE2p_L,3.921460593831756
PHT_L,1.3583176474491006
PH_L,6.072618105282589
TPOJ1_L,0.5916784014855503
TPOJ2_L,-1.4231918538474415
TPOJ3_L,-1.5855418164772557
DVT_L,0.08725491876670108
PGp_L,0.39907647661422424
IP2_L,0.1952549687486745
IP1_L,0.27983124675700977
IP0_L,1.3454566308453886
PFop_L,0.028955565877843897
PF_L,-0.680987095721225
PFm_L,-0.7280408280629465
PGi_L,-2.5496959524567093
PGs_L,-1.556253077049346
V6A_L,-0.20326126723369456
VMV1_L,3.0104321350040255
VMV3_L,9.166494173488685
PHA2_L,0.903682447593611
V4t_L,2.4751814106509378
FST_L,1.6689053514220182
V3CD_L,3.2373147023646793
LO3_L,-0.22441930503028548
VMV2_L,2.2786051494007893
31pd_L,-2.244796352102101
31a_L,-2.4040791572031
VVC_L,12.000675965699388
25_L,-2.651318205642841
s32_L,-2.400871201603905
pOFC_L,-1.5457989510263657
PoI1_L,-1.1277945694101372
Ig_L,-0.9758093817896673
FOP5_L,-0.9899787796400017
p10p_L,-1.4896807160623189
p47r_L,-1.5716474963670943
TGv_L,-0.4495217250272926
MBelt_L,-0.10535995747760284
LBelt_L,1.49250053751464
A4_L,0.2783273411980188
STSva_L,-1.8875433398769743
TE1m_L,-1.100366254374446
PI_L,-1.423213614830695
a32pr_L,-3.2212045420736746
p24_L,-3.2028147889900667
V1_R,1.463692725382899
MST_R,4.393818426853775
