region,anticipation
V1_L,-0.9415662854482613
MST_L,-1.7831457862129423
V6_L,-0.8206097555977526
V2_L,-1.1113544827516333
V3_L,-0.7527354091631049
V4_L,-0.6966738189312276
V8_L,0.19373674527688411
4_L,0.018017432490949056
3b_L,0.29776298074413465
FEF_L,0.22833571704601968
PEF_L,-1.9008899479445858
55b_L,-0.9656006858476313
V3A_L,-0.5735100272654707
RSC_L,-0.6789436228488026
POS2_L,-1.6966572327262583
V7_L,-0.664624399025706
IPS1_L,-1.3018407986875027
FFC_L,-1.92942692439747
V3B_L,-0.8664606267240507
LO1_L,-0.6467528767677715
LO2_L,-0.5674240482438422
PIT_L,-0.7633460557787382
MT_L,-1.2354053585200022
A1_L,2.4396154194013113
PSL_L,-0.7826936586290418
SFL_L,-1.0912190624349132
PCV_L,-0.5588362736843226
STV_L,-1.466419877375921
7Pm_L,-1.4973751758769442
7m_L,-3.022407994079671
POS1_L,-2.2442664257351193
23d_L,1.3291513663959118
v23ab_L,-2.5711395449695655
d23ab_L,-1.9586988254015532
31pv_L,-2.665232499339647
5m_L,1.219226376229636
5mv_L,0.900370389583226
23c_L,0.6704282230086062
5L_L,0.4440524701546858
24dd_L,1.4118978604621917
24dv_L,2.63008443531512
7AL_L,0.361306645587357
SCEF_L,0.46483210053110763
6ma_L,-0.6593735423945447
7Am_L,-0.13225629940113665
7Pl_L,-0.5325277734268721
7PC_L,1.1194739026719915
LIPv_L,-0.8394733960568488
VIP_L,-0.5001151509486599
MIP_L,-2.055382036789893
1_L,0.19260088150156315
2_L,0.3433524021601257
3a_L,0.11988106683692137
6d_L,-0.49834291014673493
6mp_L,0.13048414840299552
6v_L,-0.7376409586468347
p24pr_L,3.5103230053378107
33pr_L,4.1958739087175925
a24pr_L,3.9894429593587524
p32pr_L,2.115511961234531
a24_L,-1.2848672480574586
d32_L,-1.0100044296572883
8BM_L,-1.2209398559103877
p32_L,-1.7109317473455856
10r_L,-1.1559589985313838
47m_L,-1.8956731681987926
8Av_L,-1.0196976613536965
8Ad_L,-0.6917837424852281
9m_L,-1.8195659354940563
8BL_L,-0.8979096874647837
9p_L,-1.5456519288523949
10d_L,-1.1775195608708975
8C_L,-1.9387435470067254
44_L,-3.0629380873239316
45_L,-2.193746359061626
47l_L,-1.8367958121672652
a47r_L,-1.317669690832391
6r_L,-1.7404699063012912
IFJa_L,-2.8304879453283087
IFJp_L,-1.9565786591228054
IFSp_L,-2.9717761162728933
IFSa_L,-2.43236938241467
p9-46v_L,-1.8701181290265703
46_L,-0.8832315424317929
a9-46v_L,-1.1336672698972818
9-46d_L,-0.9535856982699662
9a_L,-1.151893688169103
10v_L,-0.4413499034477413
a10p_L,-0.5360629279821173
10pp_L,-0.13106881846864515
11l_L,-1.006677566472188
13l_L,-1.2260273911461386
OFC_L,-0.9903745068714623
47s_L,-1.1755330298313307
LIPd_L,-1.6691360638108315
6a_L,0.20286996358734238
i6-8_L,-0.8842598373269096
s6-8_L,-0.7049971483365052
43_L,1.569618998690722
OP4_L,1.3113385718766142
OP1_L,1.966398811628009
OP2-3_L,2.014362622894761
52_L,2.967476306226237
RI_L,1.2196185354081948
PFcm_L,1.408913532222349
PoI2_L,5.683978180664303
TA2_L,1.5812782959487766
FOP4_L,1.8917884934639848
MI_L,6.298507840332985
Pir_L,-0.011837119163639803
AVI_L,0.717456708662751
AAIC_L,2.2386383392043796
FOP1_L,2.8029935821120464
FOP3_L,4.58674294859425
FOP2_L,2.1022089552852683
PFt_L,0.9731022764595941
AIP_L,0.22340515513695863
EC_L,-1.3512434873107473
PreS_L,0.37467390904970577
H_L,-1.4233407392258741
ProS_L,-0.6734672902458764
PeEc_L,-1.2506300228193201
STGa_L,-0.8170979414938853
PBelt_L,-0.4067286533231568
A5_L,-1.3328469553598017
PHA1_L,-0.575040305711473
PHA3_L,-1.8252255924421512
STSda_L,-1.3449329114540869
STSdp_L,-2.728540830478691
STSvp_L,-3.7500791430446463
TGd_L,-1.203992012195301
TE1a_L,-1.3442343384753064
TE1p_L,-2.4599747494941266
TE2a_L,-0.712536103345858
TF_L,-1.2006366627000118
TE2p_L,-1.5849626093796885
PHT_L,-1.9297205457218112
PH_L,-1.639376175689816
TPOJ1_L,-1.9901179539185117
TPOJ2_L,-2.477323148728539
TPOJ3_L,-2.933825555018561
DVT_L,-0.7348898870663484
PGp_L,-1.1762186301802195
IP2_L,-0.8862137855196093
IP1_L,-2.818012033013873
IP0_L,-1.4423581828289267
PFop_L,2.616328638385768
PF_L,0.2863666555474535
PFm_L,-1.30931962560713
PGi_L,-3.0128945579550437
PGs_L,-1.5621143169208354
V6A_L,-0.45558139277935034
VMV1_L,-1.2996990690414851
VMV3_L,-0.6074794846852465
PHA2_L,-2.3411291984751124
V4t_L,-0.29564686839567506
FST_L,-1.2680743494905622
V3CD_L,-0.9350131771035218
LO3_L,-1.0257361923933308
VMV2_L,-1.142025888544975
31pd_L,-3.0006661440902196
31a_L,-0.4966330211050835
VVC_L,-1.373643703385441
25_L,-1.1367496530579162
s32_L,-1.4738058741218958
pOFC_L,-0.747606271653711
PoI1_L,4.5482536213796925
Ig_L,3.5461435933712386
FOP5_L,0.3370151104663855
p10p_L,-0.9578189779326528
p47r_L,-2.0750069330657004
TGv_L,-1.166804585456432
MBelt_L,3.9722497282755937
LBelt_L,0.2532897393891647
A4_L,-0.16703826177260986
STSva_L,-2.4755277257732087
TE1m_L,-1.5790039198206895
PI_L,0.8343902889163513
a32pr_L,0.07106544890527759
p24_L,0.2165893375577821
V1_R,-1.1269977898820445
MST_R,-0.6064296542470975
V6_R,-0.6398852748974508
V2_R,-1.0648549160966907
V3_R,-0.8057046854207527
V4_R,-0.4810740470251993
V8_R,-0.9673277202977038
4_R,0.3542535529546587
3b_R,0.2933091433022931
FEF_R,-0.13548563885535758
PEF_R,0.4630822627413751
55b_R,-0.46670133452582596
V3A_R,-0.6046626369666044
RSC_R,-0.30627396490581155
POS2_R,-0.9545243197597113
V7_R,-1.0793308071431027
IPS1_R,-1.55455274899928
FFC_R,-1.286077652266025
V3B_R,-0.6645596175768559
LO1_R,0.202895930671512
LO2_R,-0.4331098012417638
PIT_R,-0.23246969608214885
MT_R,-1.2301995812620006
A1_R,3.0588526331075854
PSL_R,0.6455581535727417
SFL_R,-0.4290267007832666
PCV_R,-1.0710870649703592
STV_R,-0.5155092123779511
7Pm_R,-0.7994430136917868
7m_R,-2.3074965272407675
POS1_R,-1.5749817927910867
23d_R,0.8298247743453934
v23ab_R,-1.8693091306658094
d23ab_R,-1.697892653807488
31pv_R,-1.376000718513102
5m_R,2.110283591158217
5mv_R,0.8382821502706239
23c_R,0.1297180278939652
5L_R,1.7288175355371607
24dd_R,2.179386200666659
24dv_R,2.420618750209598
7AL_R,0.11907835593386235
SCEF_R,1.672550308649657
6ma_R,-0.936641139004148
7Am_R,-0.9603762272404675
7Pl_R,-0.8748502121561814
7PC_R,1.0400555939386233
LIPv_R,-0.4530346617914534
VIP_R,-0.4849694261727354
MIP_R,-1.3103715023608187
1_R,-0.14480757083192916
2_R,0.639892100661857
3a_R,0.4186510236214071
6d_R,-0.36402111976190504
6mp_R,0.34320760439485254
6v_R,-0.3904000480719137
p24pr_R,3.6327517120912205
33pr_R,4.076607830277936
a24pr_R,2.8056010164736995
