region,anticipation
p32pr_R,1.4488842211557678
a24_R,-0.568195504049696
d32_R,-0.6530380413970748
8BM_R,-0.4299645672212349
p32_R,-0.2785986810228848
10r_R,-1.0701701879586463
47m_R,-1.2299934176576888
8Av_R,-1.189879398618338
8Ad_R,-0.2563131851188402
9m_R,-1.4320908149629177
8BL_R,-0.912788913040595
9p_R,-0.18685371805181442
10d_R,-0.8441636298517728
8C_R,-1.4953158801607611
44_R,-1.6621370742358896
45_R,-1.1249870277231193
47l_R,-0.9175081104134644
a47r_R,-1.022639317115115
6r_R,-0.38929053866506524
IFJa_R,-2.2612421917990617
IFJp_R,-2.0810067623420307
IFSp_R,-1.660114163715286
IFSa_R,-1.1494549181039344
p9-46v_R,-0.5843249782273012
46_R,-0.2261135696060649
a9-46v_R,-0.6356933352531781
9-46d_R,0.12364125541804433
9a_R,-0.4824284756196211
10v_R,-0.9162329740537755
a10p_R,-0.850556855403041
10pp_R,-0.49454483910034736
11l_R,-0.9794117761431035
13l_R,-1.0794286031833449
OFC_R,-0.6437107237661123
47s_R,-0.34643745132399406
LIPd_R,-1.9971851717477656
6a_R,-0.3207501122517003
i6-8_R,-0.7888988585931958
s6-8_R,-0.6996170130580743
43_R,1.6967212415854163
OP4_R,0.5367074316292316
OP1_R,3.4533342208817817
OP2-3_R,3.1916654936727182
52_R,4.79619820453081
RI_R,3.7235336502104524
PFcm_R,3.757221707865118
PoI2_R,6.676228844600057
TA2_R,1.79933291923058
FOP4_R,4.039900370185073
MI_R,8.222677303841454
Pir_R,0.6212137703840931
AVI_R,1.5451120536815999
AAIC_R,3.651022438037548
FOP1_R,5.378066271720748
FOP3_R,4.896804476171874
FOP2_R,2.92489000914011
PFt_R,1.291586764748743
AIP_R,-0.14199341051088218
EC_R,-0.900197233240836
PreS_R,0.18837664475763188
H_R,-1.2387546171152337
ProS_R,-0.9311760117562188
PeEc_R,-0.8915606589216588
STGa_R,-0.28100844943325204
PBelt_R,-0.04861241977072147
A5_R,-2.033275980120694
PHA1_R,-0.40405524531592535
PHA3_R,-1.1827883857002648
STSda_R,-0.6869955730775722
STSdp_R,-1.9085700318309755
STSvp_R,-2.5866195343989262
TGd_R,-0.7750181820713916
TE1a_R,-1.3247973817466994
TE1p_R,-1.3384721547977558
TE2a_R,-0.6287871721979623
TF_R,-0.6993426116884569
TE2p_R,-0.6546745877608336
PHT_R,-1.4657165539208776
PH_R,-1.2278068577663777
TPOJ1_R,-1.2736031039278572
TPOJ2_R,-1.9310888188930324
TPOJ3_R,-2.9040048045260467
DVT_R,-0.5090318048955097
PGp_R,-1.8350060391052934
IP2_R,-0.9815534688633455
IP1_R,-1.7779848112616874
IP0_R,-0.947386202101101
PFop_R,3.0301417792127716
PF_R,1.4842916047033368
PFm_R,-0.8696961575553931
PGi_R,-2.5205425779926984
PGs_R,-1.6248432644534385
V6A_R,-0.5011766222695427
VMV1_R,0.05558845408776855
VMV3_R,-1.2247339125218906
PHA2_R,-1.2490503996630031
V4t_R,-0.16222482205977318
FST_R,-0.728378237428993
V3CD_R,0.29808755658842445
LO3_R,-1.0232079441214752
VMV2_R,-1.068228391095969
31pd_R,-1.3730585287658275
31a_R,-0.6254919799405869
VVC_R,-0.813686364022592
25_R,-1.0464274283720258
s32_R,-0.9639615160582077
pOFC_R,-1.2298913816407746
PoI1_R,5.1723999966927705
Ig_R,5.743873899232558
FOP5_R,0.34781128820836227
p10p_R,-1.1002504933594701
p47r_R,-1.5486414697930426
TGv_R,-0.9109065055469814
MBelt_R,1.501729257207212
LBelt_R,1.1066118149218667
A4_R,-0.8566026641758299
STSva_R,-1.463945559933598
TE1m_R,-1.350959302317815
PI_R,1.8982553213219806
a32pr_R,0.5490297375111931
p24_R,0.5974631010878559
