region,listening
V1_L,-0.9983135637045899
MST_L,-1.1359954610862761
V6_L,-0.9974071557354135
V2_L,-1.0770067028300836
V3_L,-1.0966656505040324
V4_L,-1.1143571174141425
V8_L,-1.263831156832527
4_L,0.08933100347463974
3b_L,0.7749034954539422
FEF_L,1.7484081814603492
PEF_L,1.7568790093104873
55b_L,1.8158585343393363
V3A_L,-0.7827067288240072
RSC_L,-1.1198007233426526
POS2_L,-1.3153344474245192
V7_L,-1.820917206175209
IPS1_L,-1.875665796007863
FFC_L,-0.8096104389367814
V3B_L,-2.742785677865549
LO1_L,-1.2638911651014084
LO2_L,-0.31301114560296656
PIT_L,-0.050555354357945934
MT_L,-1.3939477356796097
A1_L,13.120270863897687
PSL_L,2.6616243619252167
SFL_L,-0.5534201292155544
PCV_L,-1.5766725183045252
STV_L,2.7667819591929264
7Pm_L,-1.3250823233772862
7m_L,-1.3404487674833754
POS1_L,-1.3321554358070617
23d_L,-1.0046667410904548
v23ab_L,-1.6133934231002138
d23ab_L,-1.5076124246394391
31pv_L,-1.8716357689952596
5m_L,-1.4212276660355057
5mv_L,-1.4051302651877793
23c_L,-0.8869786870391072
5L_L,-1.0220317808520747
24dd_L,-1.2285798199078748
24dv_L,-0.6058958463640742
7AL_L,-1.4898485075139245
SCEF_L,0.7033289580238505
6ma_L,-0.8189695221178112
7Am_L,-1.0144265333313194
7Pl_L,-1.2278974110589163
7PC_L,-1.3031776657928498
LIPv_L,-2.4730544811022193
VIP_L,-1.673234562781962
MIP_L,-2.540940052066541
1_L,-0.32512369405885605
2_L,-0.8031602758394784
3a_L,0.5630674220204773
6d_L,-0.6918180064626955
6mp_L,-0.6641053146222033
6v_L,1.8897614454580238
p24pr_L,-0.7735178148942911
33pr_L,-0.5639087048812258
a24pr_L,-0.514358720372491
p32pr_L,-0.7428050985543279
a24_L,-1.304185515216833
d32_L,-1.9227312518360913
8BM_L,-1.457557714404658
p32_L,-1.1529438238088705
10r_L,-2.3300596907531244
47m_L,-1.120147234688739
8Av_L,-0.7267358759543383
8Ad_L,-0.6714043189672144
9m_L,-1.417716332439937
8BL_L,-1.056853991910096
9p_L,-1.0440752017813915
10d_L,-1.3761011058367254
8C_L,-0.5785850501462142
44_L,2.394585340101543
45_L,1.0077396828253231
47l_L,0.5956212875879887
a47r_L,-0.7010010760327766
6r_L,3.5451447152241857
IFJa_L,-0.22673358797329765
IFJp_L,-0.6236752768962693
IFSp_L,-0.38275340306149863
IFSa_L,0.3081293533520166
p9-46v_L,-0.5724562354362609
46_L,-1.1076773829669404
a9-46v_L,-1.3298470530767248
9-46d_L,-1.557806501274179
9a_L,-1.236035502630536
10v_L,-0.896152844615839
a10p_L,-1.0702813881088937
10pp_L,-0.15870497391313976
11l_L,-0.8920632405535528
13l_L,-1.5248519148462676
OFC_L,-0.9242633815488279
47s_L,-1.366771933875886
LIPd_L,-2.1423856967685304
6a_L,-1.4629721307114127
i6-8_L,-1.7520450753849277
s6-8_L,-0.5133516007832805
43_L,4.977598575326411
OP4_L,4.998412127945218
OP1_L,3.6750887376959724
OP2-3_L,1.576737567444493
52_L,8.544904095048336
RI_L,5.736506666884746
PFcm_L,5.561415482728681
PoI2_L,1.6123034153526365
TA2_L,4.33349628922378
FOP4_L,1.839760223475458
MI_L,1.8694662535549524
Pir_L,-1.493982751330391
AVI_L,0.9664937014682295
AAIC_L,-0.6552476533675816
FOP1_L,4.657740432589584
FOP3_L,0.1386381525562904
FOP2_L,1.0492515492756973
PFt_L,0.3921635434594475
AIP_L,-1.5102808365352283
EC_L,-1.807763663239685
PreS_L,-0.7195780360998734
H_L,-1.419323132925933
ProS_L,-0.7212276569496646
PeEc_L,-1.3501204284360446
STGa_L,1.593621297994891
PBelt_L,19.323141242624555
A5_L,13.502747344214002
PHA1_L,-0.8250481830214736
PHA3_L,-1.1884604802048027
STSda_L,7.7533318279697685
STSdp_L,19.274134836490113
STSvp_L,10.579218568862126
TGd_L,-0.9167559982780891
TE1a_L,1.9876990849958829
TE1p_L,2.1517934075175886
TE2a_L,-0.29372105791709835
TF_L,-0.797883505357837
TE2p_L,-0.8501397591027057
PHT_L,1.0235277337104545
PH_L,-1.0883822058982622
TPOJ1_L,10.291269061240136
TPOJ2_L,0.01526452901448502
TPOJ3_L,-0.8206502883288816
DVT_L,-1.4246757133061707
PGp_L,-1.4391682661897929
IP2_L,-1.8490950829564565
IP1_L,-1.5758022825353422
IP0_L,-2.485012058587408
PFop_L,1.6527390255867453
PF_L,-0.16825913410801938
PFm_L,-0.8625805863909222
PGi_L,-0.602051481979297
PGs_L,-0.8390267925554099
V6A_L,-0.9305221335268221
VMV1_L,-1.5071864138898994
VMV3_L,-1.709070351495318
PHA2_L,-1.286782924783471
V4t_L,-0.4748594175977858
FST_L,-1.1808111151177276
V3CD_L,-2.4579256919437453
LO3_L,-0.8815296721514368
VMV2_L,-2.0661948809684985
31pd_L,-1.7727230151175335
31a_L,-1.8951836310287151
VVC_L,-1.6347143113237645
25_L,-1.8620590132903696
s32_L,-1.5789306492762696
pOFC_L,-1.7177092852312623
PoI1_L,3.2400501225564167
Ig_L,0.8799431771787638
FOP5_L,1.471793417601006
p10p_L,-1.0875386179242186
p47r_L,-1.191038621883393
TGv_L,-0.7433440400633291
MBelt_L,11.107651794008694
LBelt_L,18.849392778783066
A4_L,10.192690184793346
STSva_L,4.446840616083546
TE1m_L,2.731671825398319
PI_L,1.6215056140216173
a32pr_L,-1.880840930735456
p24_L,-1.7916503955211562
V1_R,-1.045742599566048
MST_R,-0.8192013579346087
V6_R,-1.9196037341745154
V2_R,-0.9918664617360053
V3_R,-1.2184789540167578
V4_R,-1.2209551665361498
V8_R,-1.8101054660006288
4_R,0.1940231049159222
3b_R,0.9725299083574774
FEF_R,1.7206206258135364
PEF_R,0.7929281039758086
55b_R,1.8020131653020517
V3A_R,-1.3364689832050007
RSC_R,-0.8279003718500236
POS2_R,-1.2537804712733434
V7_R,-2.0920997427069756
IPS1_R,-2.7449580386440493
FFC_R,-1.4789787321789203
V3B_R,-1.922535698834032
LO1_R,-1.7074611742454482
LO2_R,-0.8972207272098386
PIT_R,-1.4049907566976576
MT_R,-1.8520859138220616
A1_R,13.79485388568082
PSL_R,0.28523535958955626
SFL_R,-1.0635655603158791
PCV_R,-0.9936802606146606
STV_R,2.0421725230895977
7Pm_R,-1.4598032578413727
7m_R,-1.9391261433837201
POS1_R,-1.5634318566052872
23d_R,-1.3346785383940771
v23ab_R,-1.2771591621994332
d23ab_R,-0.9216140332522602
31pv_R,-1.0495419555279166
5m_R,-0.7773323549805297
5mv_R,-1.1298558064692574
23c_R,-1.2682502142854015
5L_R,-0.5035539414773125
24dd_R,-1.0234576589862026
24dv_R,-0.6017841081055456
7AL_R,-1.1490705761814783
SCEF_R,-0.258721677426467
6ma_R,-0.8575408855810749
7Am_R,-1.3607204539234674
7Pl_R,-1.4126020576241975
7PC_R,-0.809181445797624
LIPv_R,-1.9741291791927555
VIP_R,-2.0298601278265505
MIP_R,-2.2559912826716264
1_R,0.6404942828846473
2_R,-0.40160200071927615
3a_R,-0.01627279843270035
6d_R,0.2645168606815382
6mp_R,-1.5312980680842838
6v_R,0.9325462233061894
p24pr_R,-1.0083671274227464
33pr_R,-0.8392271496861178
a24pr_R,-1.0833229851591486
p32pr_R,-0.8191794825056075
a24_R,-1.9692025668319537
d32_R,-1.9197040419186082
8BM_R,-1.7743570917700888
p32_R,-2.2907755597846884
10r_R,-2.339317193386741
47m_R,-1.6146261584546238
8Av_R,-1.3574801254186202
8Ad_R,-1.8467222164051085
9m_R,-1.495859995510027
8BL_R,-1.1216774254672792
9p_R,-0.26699791102172404
10d_R,-1.0971651379810223
8C_R,-1.579172307043281
44_R,0.37095969626007474
45_R,0.023962358380886836
47l_R,-0.9986677604769976
a47r_R,-1.2820584309917884
6r_R,0.3307271384206216
IFJa_R,-0.030795804562454693
IFJp_R,-1.1343906286008687
IFSp_R,-1.3560948869264557
IFSa_R,-1.2355504836712354
p9-46v_R,-1.4175868347205858
46_R,-1.5732239083600927
a9-46v_R,-1.6436835996801686
9-46d_R,-0.913415107149926
9a_R,-0.9189599918307605
10v_R,-1.4860286975524022
a10p_R,-1.2001198608550845
10pp_R,-0.5788685307746303
11l_R,-0.8891748491409506
13l_R,-1.487229616816799
OFC_R,-0.9200253901722076
47s_R,-1.683198241451766
LIPd_R,-1.823983921763692
6a_R,-1.6955809535724826
i6-8_R,-0.9289793963602988
s6-8_R,-0.8648045580841329
43_R,2.083055360022188
OP4_R,5.235902493267696
OP1_R,4.256187554765488
OP2-3_R,0.9458319841757742
52_R,9.140703261023862
RI_R,3.28822078162902
PFcm_R,2.2524946399596257
PoI2_R,1.1570347540772035
TA2_R,5.89581698827743
FOP4_R,1.155659051931096
MI_R,0.29052887139955047
Pir_R,-1.4505298139330771
AVI_R,0.08636860853966405
AAIC_R,-1.2712550262827838
FOP1_R,1.6925436330648111
FOP3_R,0.17046073439996767
FOP2_R,0.2522866897645833
PFt_R,-0.9732821410665472
AIP_R,-1.703861698268197
EC_R,-1.3954759139855726
PreS_R,-1.33299249405891
H_R,-1.6257104354018055
ProS_R,-0.981066240269836
PeEc_R,-1.1227336151390144
STGa_R,1.4016159287870367
PBelt_R,13.819976785058534
A5_R,14.887165976865566
PHA1_R,-1.1208613815112978
PHA3_R,-1.4447373174324403
STSda_R,8.399109730918049
STSdp_R,16.60264850277671
STSvp_R,12.521167077831455
TGd_R,-0.7453813229732003
TE1a_R,1.1250488245993413
TE1p_R,2.425808494431244
TE2a_R,-0.3046778105061954
TF_R,-0.8226351175918738
TE2p_R,-0.5353007681126588
PHT_R,0.5010573688860533
PH_R,-0.979204767404474
TPOJ1_R,6.484556333895642
TPOJ2_R,-0.790855174853193
TPOJ3_R,-0.7490768691075388
DVT_R,-1.6167330672047533
PGp_R,-1.722253984262849
IP2_R,-1.4100457726292739
IP1_R,-2.0581570061172623
IP0_R,-2.192746255661532
PFop_R,0.6721123623936502
PF_R,-0.42612663682597396
PFm_R,-1.0200297414189676
PGi_R,-1.3430154535942616
PGs_R,-1.278130352852216
V6A_R,-1.5028794883469363
VMV1_R,-1.4118963184421953
VMV3_R,-1.4846876516281196
PHA2_R,-1.4947011655532978
V4t_R,-0.7109100122689535
FST_R,-0.6959704117651174
V3CD_R,-1.6627084121612044
LO3_R,-1.6012207460281733
VMV2_R,-1.4514035689264464
31pd_R,-1.6049907070860694
31a_R,-1.4842799734246122
VVC_R,-1.5672730857002584
25_R,-2.0155210127944416
s32_R,-1.940839764259891
pOFC_R,-1.8338378644881923
PoI1_R,2.3393327389392664
Ig_R,0.8299850014094936
FOP5_R,-0.006656417976670993
p10p_R,-1.8416450516395997
p47r_R,-1.7459968392323533
TGv_R,-0.7418730501246802
MBelt_R,13.701620506193688
LBelt_R,17.377083571036795
A4_R,9.099977708691402
STSva_R,6.064748158459335
TE1m_R,2.8775891671817173
PI_R,2.263766696394767
a32pr_R,-2.1528996298227985
p24_R,-1.8800913506712738
