region,reward anticipation
V1_L,-0.16111078672622578
MST_L,-1.2797668187268498
V6_L,-0.9479442984426618
V2_L,-0.026606280665231526
V3_L,-0.2992197340347391
V4_L,-0.293706613723048
V8_L,-0.5656967963882747
4_L,-0.7335948137110565
3b_L,-0.7945362125888807
FEF_L,-0.9122341452459815
PEF_L,-1.3584861703887725
55b_L,-0.8914722516453155
V3A_L,-0.3793258423310569
RSC_L,0.3561394595071874
POS2_L,-0.7730233958644463
V7_L,-0.686432049163585
IPS1_L,-0.51751263237253
FFC_L,-0.6955420858273718
V3B_L,-0.7779507727590638
LO1_L,-0.2633204651460252
LO2_L,-0.5378224098375359
PIT_L,-0.1172328610702884
MT_L,-1.270839326670335
A1_L,-1.0499972993325217
PSL_L,-0.9312775509997522
SFL_L,-0.3376170897487758
PCV_L,-0.9515059998816605
STV_L,-1.0433918061309464
7Pm_L,-1.0082350053438678
7m_L,-1.6439666605127357
POS1_L,-0.11233667611045149
23d_L,0.6810397381019885
v23ab_L,0.4450016385856966
d23ab_L,0.31052710003942874
31pv_L,-0.1679322657581649
5m_L,-0.6985911665722434
5mv_L,-1.0860370501315897
23c_L,-0.5443023820947369
5L_L,-0.3360859306333492
24dd_L,-0.3831195398754247
24dv_L,-0.5805632322156798
7AL_L,-0.825251271749503
SCEF_L,-0.9261852752839137
6ma_L,0.08143946811218052
7Am_L,-0.2780501809200008
7Pl_L,-0.5207728071541058
7PC_L,-0.9218212381383285
LIPv_L,-0.949320147655696
VIP_L,-0.5508124309418608
MIP_L,-0.745998423021077
1_L,-0.6400242186499726
2_L,-1.2809805389824067
3a_L,-0.7533604575130088
6d_L,-0.38627592360917246
6mp_L,-0.787325559450551
6v_L,-0.8116797514297798
p24pr_L,-0.002653219518763887
33pr_L,0.985703517566431
a24pr_L,0.9164864185445675
p32pr_L,-0.1698218828704703
a24_L,2.619447556184478
d32_L,-0.08563502909751639
8BM_L,-1.7022733125108163
p32_L,1.6747503814991596
10r_L,2.283481335570269
47m_L,-0.8176833682272439
8Av_L,-0.21361579278546777
8Ad_L,0.24911119945354745
9m_L,-0.0187381603933934
8BL_L,-0.41978034269536396
9p_L,-0.8233628290354356
10d_L,1.0082530305930804
8C_L,-1.1481903540654932
44_L,-1.7955229598808717
45_L,-1.078159117863331
47l_L,-1.4152595218934998
a47r_L,-0.6407032483273971
6r_L,-1.3331930343965999
IFJa_L,-1.3585158352014246
IFJp_L,-0.40146283985181275
IFSp_L,-1.1528264898138534
IFSa_L,-1.228734745292387
p9-46v_L,-0.7981026455887426
46_L,-0.7567615397909561
a9-46v_L,-0.506183745951074
9-46d_L,-0.5027208105566362
9a_L,-0.6590647062846738
10v_L,-0.14879611677044374
a10p_L,-0.5235973068937939
10pp_L,-0.268575689987847
11l_L,0.0683535294849286
13l_L,-0.03618291057009389
OFC_L,-0.12343340355740795
47s_L,0.061871668984105704
LIPd_L,0.00729305395661592
6a_L,-0.540245667126789
i6-8_L,-0.6011249833317062
s6-8_L,1.1643053746260263
43_L,-0.4543475102879385
OP4_L,0.13902752371292262
OP1_L,-0.7858851081980285
OP2-3_L,-0.33341268206401775
52_L,-0.16821458306693635
RI_L,-0.7182166254684268
PFcm_L,-1.5146930725291
PoI2_L,1.1772598807411014
TA2_L,-0.5019867744810055
FOP4_L,-0.6558814948308742
MI_L,0.5868579236066678
Pir_L,0.23216259171987583
AVI_L,1.1711487941899192
AAIC_L,0.21997519332498558
FOP1_L,-0.439698731605579
FOP3_L,0.2592476591618657
FOP2_L,-0.38304111526099216
PFt_L,-1.173532560329197
AIP_L,-0.4847119536201892
EC_L,-0.775725438424032
PreS_L,-0.8941250867966288
H_L,-0.9516501545291388
ProS_L,-0.8584688253682053
PeEc_L,-0.7726389424273974
STGa_L,-1.2305773589792903
PBelt_L,-1.2918109726652203
A5_L,-0.8215361071091797
PHA1_L,-0.880995002794586
PHA3_L,-1.049385302187679
STSda_L,-0.38759551261955644
STSdp_L,-1.9224385232931167
STSvp_L,-2.0596495985446803
TGd_L,-1.1802344211348106
TE1a_L,-0.6518304426299318
TE1p_L,-0.6191522932774159
TE2a_L,-0.43271892970561576
TF_L,-0.5647045404793902
TE2p_L,-0.16088651660546655
PHT_L,-0.9825743805441294
PH_L,-1.0166318634770288
TPOJ1_L,-1.830156644252684
TPOJ2_L,-1.8045464287100579
TPOJ3_L,-0.7868975597861539
DVT_L,-0.8029821129612394
PGp_L,-0.3793631516039446
IP2_L,-0.655444890617395
IP1_L,-0.616764468868854
IP0_L,-0.673184506062373
PFop_L,-1.052323531501095
PF_L,-0.7967266571245492
PFm_L,-0.6066041403976233
PGi_L,-1.271223684556523
PGs_L,-0.5252986161977757
V6A_L,-0.6645947029700883
VMV1_L,-0.7225730506403644
VMV3_L,-0.7882350172383006
PHA2_L,-1.2785361155433792
V4t_L,-0.925757129708393
FST_L,-1.6252750616315679
V3CD_L,0.7313389959224554
LO3_L,-0.6568511249284242
VMV2_L,-1.4636576879054222
31pd_L,-1.160285954014832
31a_L,0.40754720318970616
VVC_L,-0.7116241956353592
25_L,1.772660533507652
s32_L,1.989353584202805
pOFC_L,3.34214937231935
PoI1_L,0.397252047492257
Ig_L,-0.791577205368488
FOP5_L,0.048453549049359175
p10p_L,-0.39618551795389956
p47r_L,-1.1568979076829589
TGv_L,-0.5747261452719139
MBelt_L,0.0036084572591338544
LBelt_L,-0.8976274023597928
A4_L,-0.6322716403391297
STSva_L,-1.4178382992038496
TE1m_L,-1.2523967486248335
PI_L,-0.4393042421291268
