region,reward anticipation
SFL_R,-0.39097824157326255
PCV_R,-0.05742911272799324
STV_R,-0.7126401178260846
7Pm_R,0.011855449131561304
7m_R,-1.1952168784328419
POS1_R,-0.41948803679715924
23d_R,0.07674840551892179
v23ab_R,-0.40306556245478997
d23ab_R,0.3724822869610956
31pv_R,0.2955957830165901
5m_R,-0.06310004545402892
5mv_R,-0.4635986690794342
23c_R,-0.16556648175380495
5L_R,-0.5665336280946529
24dd_R,-0.0605458651446826
24dv_R,1.6335141673529174
7AL_R,-0.8058136184547955
SCEF_R,0.4365662005899153
6ma_R,-0.2191265516198867
7Am_R,-0.13982479301256603
7Pl_R,-0.43161063082115514
7PC_R,-0.4061350282919429
LIPv_R,-0.30957073515133693
VIP_R,-0.6916718530647292
MIP_R,0.2699086626733852
1_R,-0.17579310006773777
2_R,-0.7836949853296117
3a_R,-0.41089359779839635
6d_R,-0.4851751885346091
6mp_R,-0.7602074517856728
6v_R,-1.1728369786136041
p24pr_R,0.5995299757581236
33pr_R,1.1646178152125992
a24pr_R,0.4625569470694185
p32pr_R,0.04910171170057776
a24_R,1.8115444287811515
d32_R,0.7496389686980911
8BM_R,-0.2561532207372668
p32_R,1.4619746140761054
10r_R,2.4288572242506152
47m_R,1.1225950510973066
8Av_R,-0.8135127345664008
8Ad_R,-0.4920704945337215
9m_R,-0.06585381789435767
8BL_R,-0.6568739440140074
9p_R,-0.16150495659409944
10d_R,-0.045047128794462446
8C_R,-0.8082159200332315
44_R,-1.3401623962305007
45_R,-1.014275651819441
47l_R,0.3260621155089383
a47r_R,1.356352972957312
6r_R,-0.6214394441086037
IFJa_R,-1.0141172398639395
IFJp_R,-0.7682227201191004
IFSp_R,-0.7630702288778933
IFSa_R,-0.3268446463115892
p9-46v_R,-0.5557516535320974
46_R,-0.5198488273466154
a9-46v_R,0.375120856651717
9-46d_R,-0.22572312534976918
9a_R,-0.6699695035835506
10v_R,0.3906410597048804
a10p_R,0.5410903227495565
10pp_R,0.11956803248078375
11l_R,0.3927537747908231
13l_R,0.5487277771140153
OFC_R,-0.09275053297608465
47s_R,1.2431691720903164
LIPd_R,0.2384902021883331
6a_R,0.14433954796306714
i6-8_R,-0.4810153032514095
s6-8_R,-0.48824759694842074
43_R,-0.6244740867059605
OP4_R,-0.5184765620475812
OP1_R,-0.8633021256844828
OP2-3_R,-0.6658247457361972
52_R,-1.2893965402814267
RI_R,-1.580054341242373
PFcm_R,-1.211539494258112
PoI2_R,0.335152283382176
TA2_R,-0.2510181423805427
FOP4_R,0.33317902487273415
MI_R,0.5382878332879613
Pir_R,0.18323739918031426
AVI_R,2.090424889432343
AAIC_R,2.1327173346145654
FOP1_R,0.016303770612065772
FOP3_R,0.5184303262840838
FOP2_R,0.11691862498927258
PFt_R,-0.3316875921449456
AIP_R,-0.45191359413701543
EC_R,-0.034616450149470214
PreS_R,-0.9466397546231274
H_R,-0.9789911800102046
ProS_R,0.23121084810858078
PeEc_R,-0.4629386159094742
STGa_R,-0.4748738806769423
PBelt_R,-1.4526901153220009
A5_R,-1.2984877501396808
PHA1_R,-0.31914441929113496
PHA3_R,-0.6969204763036321
STSda_R,-1.1561173647917815
STSdp_R,-0.9090857289879817
STSvp_R,-1.400743383756386
TGd_R,-0.1690249786595468
TE1a_R,-0.9914673710431359
TE1p_R,-0.6625503549455499
TE2a_R,-0.6036689794531613
TF_R,-0.608266139178822
TE2p_R,-0.5189251893422754
PHT_R,-0.7335234068558178
PH_R,-0.8165026360452173
TPOJ1_R,-0.9359499345033506
TPOJ2_R,-1.643264768847981
TPOJ3_R,-1.8779647506741861
DVT_R,-0.3451699420548629
PGp_R,-1.286445416580418
IP2_R,-0.397769199775548
IP1_R,0.6207977762044192
IP0_R,-0.20483912981383035
PFop_R,-0.9526108258359697
PF_R,-0.34571014243266246
PFm_R,-0.2738679274467203
PGi_R,-1.3109235401236534
PGs_R,-0.37563450580600727
V6A_R,-0.35174528948159606
VMV1_R,0.3884138705124687
VMV3_R,-0.041797059864557576
PHA2_R,-0.5064843594029749
V4t_R,-0.6624867655391719
FST_R,-1.2950611088224728
V3CD_R,-0.36699677871788977
LO3_R,-0.9943236011735955
VMV2_R,-0.11960525218860049
31pd_R,-0.5501145796640516
31a_R,0.48462516936559846
VVC_R,-0.36435838811367316
25_R,3.6581464287764485
s32_R,1.5926021057602051
pOFC_R,4.139389724187092
PoI1_R,-0.23728981166933927
Ig_R,-0.4448156424993172
FOP5_R,-0.38320132170258847
p10p_R,0.045395306735740354
p47r_R,0.38739674803076446
TGv_R,-0.8207207595296548
MBelt_R,-1.1883692707932743
LBelt_R,-1.732381920524984
A4_R,-0.9832172762526386
STSva_R,-1.0477892082236742
TE1m_R,-0.6789939052266454
PI_R,-0.23116257043787614
a32pr_R,1.5316014600813588
p24_R,1.7509245658106503
