region,valence
V1_L,0.3122679290971599
MST_L,-0.010242317740345423
V6_L,-0.3856373341456089
V2_L,0.48643728937859265
V3_L,0.8921692426461524
V4_L,2.206888707309567
V8_L,5.517123745372997
4_L,-1.805837819311247
3b_L,-2.055921697960134
FEF_L,-1.2451928397323697
PEF_L,-2.5767665855812014
55b_L,-0.8629706831796853
V3A_L,-0.2280886233628982
RSC_L,0.22944559266932735
POS2_L,0.17753465959074788
V7_L,-0.5648403823539394
IPS1_L,-1.2091039470494103
FFC_L,6.090057691744946
V3B_L,-0.019687839654556557
LO1_L,2.138792420764571
LO2_L,1.5536348928721453
PIT_L,3.2220274975392487
MT_L,-0.21834243822994742
A1_L,-2.8289541714614765
PSL_L,-1.7981936130563603
SFL_L,0.24520740808102237
PCV_L,-0.6039550172573752
STV_L,-1.3866147466690446
7Pm_L,-1.0877541312486483
7m_L,0.28366084389445045
POS1_L,0.8761492484574446
23d_L,-0.8667272579979634
v23ab_L,1.7764071258390077
d23ab_L,0.08538926363254316
31pv_L,0.20215623504706287
5m_L,-1.3698588801161617
5mv_L,-0.91640686334236
23c_L,-0.720043570061416
5L_L,-0.7108630388428168
24dd_L,-1.9392319342684552
24dv_L,-1.801748937982917
7AL_L,-1.5909410967838948
SCEF_L,-2.0746368899657117
6ma_L,-0.7721908538513758
7Am_L,-0.35315186937811044
7Pl_L,-0.8452100879204055
7PC_L,-1.8384519035380977
LIPv_L,-2.1935520067373044
VIP_L,-1.3701535581515534
MIP_L,-2.680936398723768
1_L,-1.2891664263314269
2_L,-2.391603610263241
3a_L,-2.2292172215796526
6d_L,-1.512417287292144
6mp_L,-1.9757144802542064
6v_L,-1.6758110002008284
p24pr_L,-1.1305203445811587
33pr_L,-0.33985955756988945
a24pr_L,-0.6002521050371317
p32pr_L,-1.4041686914798814
a24_L,1.542842169427048
d32_L,-0.014938713957556212
8BM_L,-0.7808539053315077
p32_L,1.5857629609158208
10r_L,0.7532454072893214
47m_L,-0.6323454097486128
8Av_L,-0.19371634731128598
8Ad_L,0.03192383881935694
9m_L,0.20054053985989614
8BL_L,0.014554885931549386
9p_L,-0.4723784928221422
10d_L,-0.06539070918562787
8C_L,-1.9643047727979066
44_L,-1.1531100605867204
45_L,-0.6484709140365913
47l_L,-0.5127699683232979
a47r_L,-0.6734794024344232
6r_L,-2.9696829596494103
IFJa_L,-1.8693806431309923
IFJp_L,-3.1963351428635707
